run_id,operating_point,kind,repeat,protocol_version,K,C,freq_state,requested_freq_MHz,actual_freq_mean_MHz,admission_fps_per_stream,source_fps,aggregate_admitted_fps,aggregate_ready_fps,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,g_B,backlog_at_active_end,backlog_peak,queue_stable,avg_power_W,median_power_W,active_energy_J,energy_per_frame_J,temperature,OC3_delta,integrity_status,hardware_status,supply_status,active_concurrency_peak,active_concurrency_mean,frontend_ready_deficit_fraction,frontend_pending_slope,source_pending_slope,pipeline_audit_status,per_stream_completed_fps,backlog_after_drain,child_returncode,child_exit_signal,frequency_restore_ok,PROCESS_LIFECYCLE
CRG_20260919_SMOKE,B,smoke,,2,7,1,MID,1260,1260.0,27,210.0,189.0,189.0,161.3,23.0,23.042857142857144,25.976495993138062,277,282,False,34.526526360324596,,345.26526360324596,,41.314729166666666,0,VALID,CLEAN,NORMAL,1,0.989657674199999,0.0,0.012056832207691543,0.00016625965022893142,PASS,"[23.1, 23.1, 23.0, 23.0, 23.0, 23.1, 23.0]",0,0,,True,PASS
CRG_20260919_P01,A,primary,1,2,6,1,MID,1260,1260.0,30,180.0,180.0,180.0,174.98333333333332,29.15,29.16388888888889,4.541346363088231,301,307,False,38.52273801902849,,2311.3642811417094,,48.08693934142114,0,VALID,CLEAN,NORMAL,1,0.9943337938166608,0.0,-0.00012260581579527573,0.000252781635343894,PASS,"[29.166666666666668, 29.166666666666668, 29.166666666666668, 29.15, 29.166666666666668, 29.166666666666668]",0,0,,True,PASS
CRG_20260919_P02,B,primary,1,2,7,2,MID,1260,1260.0,27,210.0,189.0,189.0,188.78333333333333,26.966666666666665,26.96904761904762,0.003966242463565114,13,24,True,41.83752857635689,,2510.251714581413,0.2216166429400029,54.10321739130435,0,VALID,CLEAN,NORMAL,2,1.9581762676500107,0.0,0.002240345390191586,0.00022815715886509045,PASS,"[26.966666666666665, 26.966666666666665, 26.966666666666665, 26.966666666666665, 26.983333333333334, 26.966666666666665, 26.966666666666665]",0,0,,True,PASS
CRG_20260919_P03,C,primary,1,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.95,29.983333333333334,29.992857142857144,0.004845158693952196,3,18,True,51.30067159980145,,3078.0402959880867,0.24434709025863988,60.818641739130435,14,VALID,PROTECTION_LIMITED,NORMAL,4,3.2510624843166385,0.0,0.004678594663838223,0.0020418401888644723,PASS,"[30.0, 30.0, 30.0, 30.0, 29.983333333333334, 29.983333333333334, 29.983333333333334]",0,0,,True,PASS
CRG_20260919_P04,A,primary,1,2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,1.9469309053129614e-05,2,12,True,40.70262532003054,,2442.1575192018327,0.2261675791074118,60.14676776429809,0,VALID,CLEAN,NORMAL,2,1.733506662166672,0.0,-0.00026502188405405825,-2.8542354952343924e-05,PASS,"[29.983333333333334, 30.0, 30.0, 29.983333333333334, 30.0, 30.0]",0,0,,True,PASS
CRG_20260919_P05,B,primary,1,2,7,4,MID,1260,1260.0,27,210.0,189.0,189.0,188.91666666666666,26.983333333333334,26.988095238095237,-0.0022907811325422107,5,20,True,42.683512510902645,,2561.0107506541585,0.22593831060027866,62.005977430555554,0,VALID,CLEAN,NORMAL,4,3.4141374749166613,0.0,-0.0009023357363106123,0.0010356593428156459,PASS,"[27.0, 26.983333333333334, 27.0, 26.983333333333334, 26.983333333333334, 26.983333333333334, 26.983333333333334]",0,0,,True,PASS
CRG_20260919_P06,C,primary,1,2,7,1,HIGH,1575,1575.0,30,210.0,210.0,210.0,186.2,26.6,26.6,24.228345967732206,1428,1435,False,46.284889848664925,,2777.0933909198957,,64.33192708333334,0,VALID,CLEAN,NORMAL,1,0.9942448484000003,0.0,0.000293441997463276,0.0006174053132563683,PASS,"[26.6, 26.6, 26.6, 26.6, 26.6, 26.6, 26.6]",0,0,,True,PASS
CRG_20260919_P07,A,primary,1,2,6,4,MID,1260,1260.0,30,180.0,180.0,180.0,179.96666666666667,29.983333333333334,29.994444444444444,0.00154939577568538,2,12,True,41.35738635207464,,2481.4431811244785,0.22980581414377463,64.15685590277778,0,VALID,CLEAN,NORMAL,4,2.9559619916666606,0.0,0.00048306133790577933,-0.00042990375759049314,PASS,"[30.0, 29.983333333333334, 30.0, 30.0, 29.983333333333334, 30.0]",0,0,,True,PASS
CRG_20260919_P08,B,primary,1,2,7,1,MID,1260,1260.0,27,210.0,189.0,189.0,165.55,23.65,23.65,23.27948849871677,1407,1413,False,38.234080292502675,,2294.0448175501606,,63.26007452339688,0,VALID,CLEAN,NORMAL,1,0.994211389766667,0.0,-0.0003349691040246938,0.00029323328832740953,PASS,"[23.65, 23.65, 23.65, 23.65, 23.65, 23.65, 23.65]",0,0,,True,PASS
CRG_20260919_P09,C,primary,1,2,7,2,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.91666666666666,29.983333333333334,29.988095238095237,0.0018118483573374975,5,17,True,52.098445845181864,,3125.9067507109116,0.24818632399451462,68.59705381944444,33,VALID,PROTECTION_LIMITED,NORMAL,2,1.950398250549995,0.0,-0.0005071863923568854,-0.0003516107942988636,PASS,"[30.0, 29.983333333333334, 30.0, 29.983333333333334, 29.983333333333334, 29.983333333333334, 29.983333333333334]",0,0,,True,PASS
