K,run_id,pre_enqueue_depth,frames,queue_wait_mean_ms,queue_wait_p95_ms,deadline_miss_pct
5,run01,0,5022,2.038079932696137,7.928281149999999,0.05973715651135006
5,run01,1,2111,6.191294432496448,8.399598000000001,0.09474182851729038
5,run01,2,1776,12.351182233671171,15.397521000000001,23.76126126126126
5,run01,3,7,17.62902085714286,38.481826500000004,42.857142857142854
5,run01,4,4,28.1183725,45.006225750000006,100.0
5,run01,5,2,39.7229865,51.26135865,100.0
5,run01,6,3,39.38528633333333,49.1188086,100.0
5,run01,7,3,40.31108733333333,57.5939872,100.0
5,run01,8,3,47.391864,56.2022584,100.0
5,run01,9,5,49.2834192,63.50581279999999,100.0
5,run01,10,4,54.924215000000004,62.70738295,100.0
5,run01,11,4,61.6738045,68.4200951,100.0
5,run01,12,2,63.63395250000001,67.09718805,100.0
5,run01,13,3,71.94530400000001,77.8113811,100.0
5,run01,14,3,73.176855,76.14665529999999,100.0
5,run01,15,3,71.49315,80.25405939999999,100.0
5,run01,16,4,75.2621305,80.831458,100.0
5,run01,17,4,81.138881,84.3299012,100.0
5,run01,18,4,86.26881325,91.49127705000001,100.0
5,run01,19,5,86.5385744,89.4549164,100.0
5,run01,20,4,94.48364624999999,96.8893247,100.0
5,run01,21,3,94.87253666666668,96.1033536,100.0
5,run01,22,3,103.41135966666667,103.94893689999999,100.0
5,run01,23,4,103.596918,104.40950685,100.0
5,run01,24,5,113.3606452,117.8980658,100.0
5,run01,25,4,112.44536925,114.08687825000001,100.0
5,run01,26,3,118.90731266666667,123.4791042,100.0
5,run01,27,2,120.870519,121.3977219,100.0
5,run02,0,5119,2.3350944170736474,7.965660600000002,0.019535065442469232
5,run02,1,1990,6.870092466331658,8.36875545,0.05025125628140704
5,run02,2,1808,14.216027218473451,15.71080755,1.9358407079646018
5,run02,3,10,19.8252956,42.592057749999995,50.0
5,run02,4,5,26.9886466,43.024302799999994,100.0
5,run02,5,3,32.89733966666667,48.209539799999995,100.0
5,run02,6,2,43.776316,51.510048399999995,100.0
5,run02,7,3,40.799232333333336,53.381560699999994,100.0
5,run02,8,3,47.32532233333333,56.4954366,100.0
5,run02,9,2,49.9856515,59.68917834999999,100.0
5,run02,10,3,50.856827,60.5221961,100.0
5,run02,11,6,51.32443466666666,61.12347875,100.0
5,run02,12,3,60.18051633333334,64.1796987,100.0
5,run02,13,3,61.036509333333335,65.3100173,100.0
5,run02,14,3,67.746466,69.84489749999999,100.0
5,run02,15,4,71.44131675,73.48087785,100.0
5,run02,16,6,75.856034,80.022155,100.0
5,run02,17,3,76.01224933333333,76.4454073,100.0
5,run02,18,3,80.17636,83.5774942,100.0
5,run02,19,3,83.43940233333333,85.40494050000001,100.0
5,run02,20,3,89.22231566666667,92.6657845,100.0
5,run02,21,7,90.463167,93.6775712,100.0
5,run02,22,3,94.64032166666667,96.2193573,100.0
5,run02,23,2,103.48780450000001,105.19175965000001,100.0
5,run02,24,3,103.38448266666667,106.31246410000001,100.0
5,run03,0,5062,2.2926398597392335,7.95715955,0.039510075069142635
5,run03,1,2034,6.833707141101279,8.466548249999999,0.049164208456243856
5,run03,2,1802,14.10115390954495,15.7582074,2.386237513873474
5,run03,3,12,14.767246416666667,24.97263064999999,16.666666666666668
5,run03,4,3,27.625740333333333,42.7489096,100.0
5,run03,5,4,27.561480250000002,39.007568850000006,100.0
5,run03,6,3,35.771376,47.2813794,100.0
5,run03,7,3,38.88584866666667,46.5651034,100.0
5,run03,8,3,44.25110466666667,52.6556754,100.0
5,run03,9,3,44.49755233333333,51.8028684,100.0
5,run03,10,3,51.79942066666667,58.988364499999996,100.0
5,run03,11,5,54.0905148,59.3069468,100.0
5,run03,12,3,61.49212566666667,65.4565605,100.0
5,run03,13,4,62.32339775,63.88808535,100.0
5,run03,14,4,70.2075605,74.558706,100.0
5,run03,15,5,71.06421040000001,74.7187224,100.0
5,run03,16,7,79.43432328571429,85.5208538,100.0
5,run03,17,6,82.8654945,88.55551449999999,100.0
5,run03,18,4,92.96667825,97.3136137,100.0
5,run03,19,4,95.935801,102.30279205000001,100.0
5,run03,20,4,103.69929400000001,107.49636439999999,100.0
5,run03,21,4,102.49301975,107.60197570000001,100.0
5,run03,22,5,111.5399276,119.4218178,100.0
5,run03,23,6,111.3130825,115.93856075,100.0
5,run03,24,4,119.02989525000001,124.23833015000001,100.0
5,run03,25,2,118.91347350000001,124.38151755000001,100.0
5,run03,26,1,121.46448,121.46448,100.0
5,run04,0,5468,1.8084861947695683,7.88694885,0.0548646671543526
5,run04,1,2317,6.219730802762193,8.6272028,0.4747518342684506
5,run04,2,1126,12.868566130550622,16.011070500000002,4.8845470692717585
5,run04,3,30,14.1167222,17.18924895,6.666666666666667
5,run04,4,3,24.762463,34.6103198,100.0
5,run04,5,3,29.089698333333335,34.6980381,100.0
5,run04,6,4,31.987573,38.9259902,100.0
5,run04,7,2,38.2159255,40.20790495,100.0
5,run04,8,4,43.2518295,46.670352349999995,100.0
5,run04,9,4,43.514944,46.69735765,100.0
5,run04,10,4,51.77950175,56.34683265,100.0
5,run04,11,4,53.20869225,55.704854,100.0
5,run04,12,4,56.010602750000004,59.0062096,100.0
5,run04,13,3,58.727113,59.0967659,100.0
5,run04,14,3,64.47074,67.4073587,100.0
5,run04,15,4,67.29425475,69.5198959,100.0
5,run04,16,5,73.68587839999999,77.2189746,100.0
5,run04,17,5,77.3830732,80.5230384,100.0
5,run04,18,3,79.81570466666666,82.64477640000001,100.0
5,run04,19,1,86.01367,86.01367,100.0
5,run04,20,3,87.656295,91.1220961,100.0
5,run05,0,5027,2.3256386733638355,8.054668799999998,0.039785160135269546
5,run05,1,2048,6.864235331542969,8.53520065,0.146484375
5,run05,2,1808,14.183441123893806,15.955077450000001,2.6548672566371683
5,run05,3,13,18.315747,35.945853200000016,30.76923076923077
5,run05,4,3,38.712603333333334,61.9442695,100.0
