K,run_id,actual_start_s,actual_end_s,waiting_time_mean,active_time_mean
5,run01,0,10,1.4129879637,1.18189047
5,run01,10,20,0.7455461886,1.1674874254
5,run01,20,30,0.7375003246,1.1581359839
5,run01,30,40,0.7325405659,1.1585876720000001
5,run01,40,50,0.7847403731,1.1604943944
5,run01,50,60,0.7699709581,1.1605357725
5,run02,0,10,1.3328414362,1.1678959731
5,run02,10,20,0.863809345,1.1496629870000001
5,run02,20,30,0.8432643039,1.1483618285
5,run02,30,40,0.8705257164,1.1502810697
5,run02,40,50,0.8725855803,1.1508473504999999
5,run02,50,60,0.8570083737,1.1519002332
5,run03,0,10,1.5208183483,1.1809100685
5,run03,10,20,0.8560535795,1.1524183055
5,run03,20,30,0.8660518268,1.1554973542
5,run03,30,40,0.8553727134,1.1569257325
5,run03,40,50,0.8454101141,1.1459075329
5,run03,50,60,0.8529238204,1.1513531999
5,run04,0,10,0.7886072746,1.151741248
5,run04,10,20,0.4430473754,1.1186333905
5,run04,20,30,0.4637033132,1.143321379
5,run04,30,40,0.7789559266,1.1648060484
5,run04,40,50,0.8529698893,1.1605919726
5,run04,50,60,0.9280134034,1.1598910363
5,run05,0,10,1.7220850314,1.1845021038
5,run05,10,20,0.8617260263,1.15135655
5,run05,20,30,0.8743636702,1.155231358
5,run05,30,40,0.8786573156999999,1.1534064248
5,run05,40,50,0.8611714783,1.1542846047
5,run05,50,60,0.8756740646,1.1537456484
6,run01,0,10,4.0709790793,1.5541654001
6,run01,10,20,1.2846154017,1.5219345604
6,run01,20,30,1.2724893203,1.5152786438999999
6,run01,30,40,1.2833208527,1.5227848616
6,run01,40,50,1.2796272535,1.5143535708
6,run01,50,60,1.2918525525,1.5213998849
6,run02,0,10,3.0847910441,1.589597302
6,run02,10,20,1.2822860992,1.5506834216
6,run02,20,30,1.3084146503,1.5424427051
6,run02,30,40,1.3128481444,1.5457807072
6,run02,40,50,1.2997674695,1.54260442
6,run02,50,60,1.2997438647,1.532508503
6,run03,0,10,4.6088245607,1.5614992743
6,run03,10,20,1.2865231188,1.5192824261
6,run03,20,30,1.2859671449,1.5110662335
6,run03,30,40,1.2839485388,1.51427038
6,run03,40,50,1.2776208377,1.5089377745
6,run03,50,60,1.2847583197,1.5269657736
6,run04,0,10,5.2592436373,1.6284790825
6,run04,10,20,1.2103608537,1.5573392898
6,run04,20,30,1.2009796578,1.5070052600000001
6,run04,30,40,1.2942862214,1.530247291
6,run04,40,50,1.273194255,1.5146913921
6,run04,50,60,1.2963918624,1.522756716
6,run05,0,10,3.2511191001000004,1.5604407514
6,run05,10,20,1.3355895216,1.5342005
6,run05,20,30,1.3384444812,1.5385715992
6,run05,30,40,1.3268008693,1.5365713629
6,run05,40,50,1.3264046627,1.5312479667
6,run05,50,60,1.3327342229,1.5325445229
7,run01,0,10,44.6683982206,1.9586080513
7,run01,10,20,41.2880519748,1.9838931498
7,run01,20,30,33.5469227646,1.9839001936
7,run01,30,40,17.9646246196,1.927454009
7,run01,40,50,2.008162764,1.7723105703
7,run01,50,60,2.0044130679,1.7630941014
7,run02,0,10,45.9805518125,1.9424681770999999
7,run02,10,20,45.528763709,1.9827435384
7,run02,20,30,26.8152929311,1.9838070447
7,run02,30,40,2.2648239691,1.776362833
7,run02,40,50,2.011348134,1.7566082148
7,run02,50,60,2.0249689897,1.7631378759
7,run03,0,10,42.1279305454,1.9485862612
7,run03,10,20,40.1390502682,1.9843393593
7,run03,20,30,44.2587631411,1.9849759738
7,run03,30,40,9.9950462874,1.8709393786
7,run03,40,50,2.0049136635,1.7705770513
7,run03,50,60,2.0168830539,1.7634367293
7,run04,0,10,44.2950448005,1.9603612595
7,run04,10,20,45.1174994231,1.9840802637
7,run04,20,30,42.2349504634,1.9847118231
7,run04,30,40,43.0537879002,1.9827210289
7,run04,40,50,37.1556224432,1.9843328277
7,run04,50,60,24.2166148061,1.9822781283
7,run05,0,10,44.7070083779,1.9490268026
7,run05,10,20,29.2630299252,1.9633068004
7,run05,20,30,2.0270206092,1.7689245629
7,run05,30,40,2.0152660727,1.7737731429
7,run05,40,50,2.0118500562,1.7726023367
7,run05,50,60,2.0922228634,1.7764666944
