index,round,position,shift,trace,policy,acquisition_id,duration_s,expected_frames
1,1,1,4,B,FIXED_C4,primary_01,60,11700
2,1,2,4,A,FIXED_C2,primary_02,60,11700
3,1,3,4,A,K_LOOKUP_C2_C4,primary_03,60,11700
4,1,4,4,B,FIXED_C2,primary_04,60,11700
5,1,5,4,B,K_LOOKUP_C2_C4,primary_05,60,11700
6,1,6,4,A,FIXED_C4,primary_06,60,11700
7,2,1,1,B,FIXED_C2,primary_07,60,11700
8,2,2,1,B,K_LOOKUP_C2_C4,primary_08,60,11700
9,2,3,1,A,FIXED_C4,primary_09,60,11700
10,2,4,1,B,FIXED_C4,primary_10,60,11700
11,2,5,1,A,FIXED_C2,primary_11,60,11700
12,2,6,1,A,K_LOOKUP_C2_C4,primary_12,60,11700
13,3,1,0,A,K_LOOKUP_C2_C4,primary_13,60,11700
14,3,2,0,B,FIXED_C2,primary_14,60,11700
15,3,3,0,B,K_LOOKUP_C2_C4,primary_15,60,11700
16,3,4,0,A,FIXED_C4,primary_16,60,11700
17,3,5,0,B,FIXED_C4,primary_17,60,11700
18,3,6,0,A,FIXED_C2,primary_18,60,11700
19,4,1,2,B,K_LOOKUP_C2_C4,primary_19,60,11700
20,4,2,2,A,FIXED_C4,primary_20,60,11700
21,4,3,2,B,FIXED_C4,primary_21,60,11700
22,4,4,2,A,FIXED_C2,primary_22,60,11700
23,4,5,2,A,K_LOOKUP_C2_C4,primary_23,60,11700
24,4,6,2,B,FIXED_C2,primary_24,60,11700
25,5,1,5,A,FIXED_C2,primary_25,60,11700
26,5,2,5,A,K_LOOKUP_C2_C4,primary_26,60,11700
27,5,3,5,B,FIXED_C2,primary_27,60,11700
28,5,4,5,B,K_LOOKUP_C2_C4,primary_28,60,11700
29,5,5,5,A,FIXED_C4,primary_29,60,11700
30,5,6,5,B,FIXED_C4,primary_30,60,11700
