index,round,position,shift,trace,policy,acquisition_id,duration_s,stage,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms,completed_frames,expected_frames,integrity,observed_max_A,completed_FPS,drain_duration,time_weighted_mean_A,time_weighted_ready_waiting,time_weighted_generated_backlog,time_weighted_due_not_generated,fraction_A_eq_C,fraction_A_gt_C,fraction_A_ge_C_and_waiting,peak_ready_waiting,peak_generated_backlog,peak_due_not_generated,status
1,1,1,4,B,FIXED_C4,primary_01,60,primary,11700,4858,41.52136752136752,1.6907894269230768,3.070223849999992,7.4900606600000135,12.992914366666668,16.7049786,19.78732425,9.771211536837608,16.99935575,177.07992091000014,14.608987909230768,18.783452899999997,20.979165470000005,39.06390323965812,47.545939399999945,240.20772841000004,11700,11700,PASS,4,194.977908115861,0.006798273,2.8485504063666665,1.9053862496833334,7.577013082483333,0.04024581331666666,0.49282929378333334,0.0,0.44056902993333336,49,67,7,PASS
2,1,2,4,A,FIXED_C2,primary_02,60,primary,11700,4662,39.84615384615385,1.0487575183760685,2.423381799999996,4.776318530000009,12.57969181974359,16.058468499999996,18.299365220000002,10.634703934273503,22.565465099999994,105.43991390000014,8.618059117094017,10.43171925,12.293357190000005,32.88121238948718,45.43664624999999,149.34805202000004,11700,11700,PASS,2,194.95523831627364,0.013775988,1.6801991938666667,2.0736376685666666,6.3774742308166665,0.03391025255,0.7819718591333333,0.0,0.6352086751,34,40,7,PASS
3,1,3,4,A,K_LOOKUP_C2_C4,primary_03,60,primary,11700,4864,41.572649572649574,1.727687107948718,2.9858741999999983,6.243147420000003,12.82776798008547,16.32674505,18.572166420000002,10.176849731965811,16.49192145,171.97612140000007,12.133332105128204,18.18788145,20.187980830000004,36.86563692512821,45.926040699999994,230.48465280000016,11700,11700,PASS,4,194.94993863305262,0.015407453,2.365238092083333,1.9843817956833334,7.1493435245166665,0.038590105416666666,0.6311442530833333,0.0001354039,0.4856347098,53,59,7,PASS
4,1,4,4,B,FIXED_C2,primary_04,60,primary,11700,5705,48.76068376068376,1.3261881845299146,2.4755725499999994,5.416952800000001,12.77598151991453,16.397386949999998,18.951930700000002,33.88571519196581,196.85973614999946,259.26039394,8.72177773008547,10.6267953,12.838704460000002,56.70966262649573,232.34168039999994,290.57656432,11700,11700,PASS,2,194.99173844703154,0.002542124,1.7007041004166668,6.607714462433333,11.024519238733333,0.03382241648333333,0.8044011942833333,0.0,0.6609885897333333,60,65,7,PASS
5,1,5,4,B,K_LOOKUP_C2_C4,primary_05,60,primary,11700,4891,41.8034188034188,1.3637333364957267,2.921913449999998,5.660462440000008,12.990668764957263,16.849951649999998,19.915412870000008,10.386253396068376,16.88321704999999,147.15279538,12.141572201794872,18.336256149999993,20.845544590000035,36.88222769931624,47.00268194999999,207.32520004000006,11700,11700,PASS,4,194.98794618964527,0.003709094,2.36748526235,2.0253194122333333,7.152030415816666,0.03988266855,0.6380560035166667,0.0001432922,0.48723045195,47,57,7,PASS
6,1,6,4,A,FIXED_C4,primary_06,60,primary,11700,4738,40.495726495726494,1.3741947288034189,2.9924005999999985,5.819256090000029,12.926676940085471,16.380714949999998,18.759280140000005,6.204108638803419,15.4453464,74.90463771,14.595547556666666,18.842187099999997,21.00338464,35.10052786435897,44.88237285,141.94788933000007,11700,11700,PASS,4,194.95559076379874,0.013667493,2.845581131133333,1.2098011845666667,6.805520629033333,0.0385316621,0.4822976944833333,0.0,0.42752002633333336,39,52,7,PASS
7,2,1,1,B,FIXED_C2,primary_07,60,primary,11700,6432,54.97435897435897,1.8111882017948717,2.594365,6.646429930000002,12.97095156017094,16.9519905,19.51262119,93.26551524307692,336.9851797,346.28906765000005,8.832518826153846,11.185142849999998,13.572150440000005,116.88017383119657,361.87632484999995,374.31501468,11700,11700,PASS,2,194.98225101266783,0.005461724,1.7221662473166666,18.1867754724,22.758228419,0.0332305543,0.8211287527,0.0,0.6888236885666666,77,82,7,PASS
8,2,2,1,B,K_LOOKUP_C2_C4,primary_08,60,primary,11700,5021,42.914529914529915,2.213325821196581,3.130532099999991,52.47544004000047,13.155923404615386,17.1209404,23.638659760000014,12.842416648803418,27.855978149999633,190.59125104000003,12.20437133025641,18.51263975,21.07050071,40.4160372048718,62.56960234999997,285.5742516300003,11700,11700,PASS,4,194.9741899114108,0.007942617,2.37958910675,2.5042712465166668,7.8416534465,0.0392105058,0.6450621629666666,0.00018685005,0.4949524637,50,73,7,PASS
9,2,3,1,A,FIXED_C4,primary_09,60,primary,11700,4729,40.41880341880342,1.4559917282905983,3.094796849999998,6.627999950000008,12.975531515811968,16.552891849999998,19.773033010000006,5.821174647692308,15.436522849999998,48.51829992000006,14.622834394017096,18.798196949999998,20.670151540000003,34.87553228581197,44.69830105,112.09280666000002,11700,11700,PASS,4,194.97689789903362,0.007109181,2.8512251032666667,1.1351290563,6.7623706354,0.038130556766666664,0.4852027761,0.0,0.4324064165,26,50,7,PASS
10,2,4,1,B,FIXED_C4,primary_10,60,primary,11700,4844,41.401709401709404,1.3276883575213676,2.920514999999999,5.864926710000002,13.022814359829061,16.8388305,20.327746750000003,7.793528953846153,16.205085399999998,121.80741143000002,14.610524245555556,18.81022455,21.06858668000001,36.75455591675214,46.22319644999998,178.53065276,11700,11700,PASS,4,194.9822750875376,0.005454315,2.8489613226333335,1.519738146,7.128869318733333,0.038178179783333335,0.4893975063166667,0.0,0.4364256719333333,39,52,7,PASS
11,2,5,1,A,FIXED_C2,primary_11,60,primary,11700,4669,39.9059829059829,1.1296810497435896,2.413045149999999,4.519452770000002,12.636277812393162,16.194284949999997,18.596380560000007,10.874204844957264,22.268436199999996,114.6380841000001,8.59063470008547,10.352108599999998,11.945876480000004,33.230798407179485,44.89343744999999,161.06542871000005,11700,11700,PASS,2,194.9404187515585,0.018338295,1.6747192184833333,2.12015011795,6.444099517083333,0.03513179746666667,0.7772051885333333,0.0,0.63018465035,43,49,7,PASS
12,2,6,1,A,K_LOOKUP_C2_C4,primary_12,60,primary,11700,4842,41.38461538461539,1.628988946923077,2.9717653499999996,5.6849314200000025,12.698017796923077,16.1286919,18.20799769000001,10.145512285470085,16.576794299999996,159.23825068000005,12.139053157264957,18.2286015,20.319141260000002,36.61157218658119,45.91209614999999,227.28428983000006,11700,11700,PASS,4,194.97934736507185,0.00635533,2.3669214063666666,1.9783748956666667,7.101628231683334,0.0374343854,0.6297178148,7.127026666666667e-05,0.48800003876666664,50,56,7,PASS
13,3,1,0,A,K_LOOKUP_C2_C4,primary_13,60,primary,11700,4788,40.92307692307692,1.2185731054700855,2.8265589499999986,5.288738370000002,12.889713926068376,16.448349099999998,18.548491590000005,8.582994382564102,16.104145449999997,114.30637774000002,12.051927967264957,18.120596449999997,20.331151120000005,34.74320938136752,45.258380700000004,164.88268775000012,11700,11700,PASS,4,194.97045691954284,0.009091556,2.3498116444,1.6736839046,6.736112833716667,0.03849868643333333,0.6256780762666667,2.9548383333333333e-05,0.48093593603333334,39,48,7,PASS
14,3,2,0,B,FIXED_C2,primary_14,60,primary,11700,6433,54.98290598290598,1.3482708922222222,2.5441866999999996,6.141479020000003,13.011885461538462,17.049863099999996,20.11914646,73.79617874957265,278.3181133,293.09586029,8.836248706239317,11.2049406,13.76441117,96.99258380957265,303.27857385,320.23108527000005,11700,11700,PASS,2,194.954066108914,0.014136835,1.7226572476,14.3900592425,18.8790339415,0.03391303758333333,0.8205067453666667,0.0,0.6895662917166666,66,71,7,PASS
15,3,3,0,B,K_LOOKUP_C2_C4,primary_15,60,primary,11700,4932,42.15384615384615,1.4511743014529916,3.0324069,6.69444801000002,13.009611984273505,17.08036455,21.13436965000001,10.225816959059829,17.2926708,138.61650749000034,12.230679929487179,18.5417427,21.457407610000004,36.91728317427351,48.35312329999998,192.40175643000006,11700,11700,PASS,4,194.96836331879874,0.009735943,2.3847861433166666,1.9939473728833332,7.158425208083333,0.040161633833333335,0.6453622364666667,0.0003023580666666667,0.49238107096666667,39,52,7,PASS
16,3,4,0,A,FIXED_C4,primary_16,60,primary,11700,4796,40.99145299145299,3.172167552820513,3.290897149999997,111.68901396000008,12.945220362393163,16.496908849999993,24.08043212000001,7.224678647179487,16.034393249999997,106.64424712,14.765536212649573,18.847974699999998,20.63181359,38.107602775042736,45.405284299999984,272.85107163000004,11700,11700,PASS,4,194.97586341793183,0.00742756,2.8790122324833334,1.4088123362,7.392111499316667,0.03860371283333333,0.49309159541666664,0.0,0.44226610661666665,31,78,7,PASS
17,3,5,0,B,FIXED_C4,primary_17,60,primary,11700,5018,42.888888888888886,1.9630816269230769,3.174021349999998,29.754153030000033,13.07788911880342,16.91953675,21.880667480000003,10.699815454188034,17.95591109999995,177.84690067000003,14.814736188632478,19.03933275,21.01334607,40.55552238854701,50.54296214999991,263.5536082400001,11700,11700,PASS,4,194.99041954871566,0.002947976,2.8888187237833334,2.0864640135666668,7.86666630155,0.041605731216666664,0.50289752625,0.0,0.45080980861666664,49,69,7,PASS
18,3,6,0,A,FIXED_C2,primary_18,60,primary,11700,4710,40.256410256410255,1.4539938592307693,2.4855199999999984,5.093780340000003,12.758606184615385,16.160230499999997,18.36046904,11.881417684786326,22.545551949999997,155.27795568000002,8.604060123418805,10.40881585,11.895834660000002,34.69807785205128,45.26854949999999,219.73713645000052,11700,11700,PASS,2,194.93991046138797,0.018494788,1.67735571745,2.3166679652833335,6.731723677033333,0.03375701425,0.7788009989833333,0.0,0.6341827048333334,54,58,7,PASS
19,4,1,2,B,K_LOOKUP_C2_C4,primary_19,60,primary,11700,5599,47.85470085470085,1.5086258858119659,3.8590504999999973,7.753750530000008,14.642116976153847,19.114791850000003,21.57085421000001,9.559319507692308,17.661642749999995,134.74309432000027,12.553416307692308,19.472358649999993,23.28482783,38.26347867735043,51.01819549999999,183.06987167000003,11700,11700,PASS,4,194.98091969364725,0.005871438,2.4477370103166667,1.864067304,7.421994604,0.0392045684,0.6739141580833333,9.867773333333334e-05,0.4987905851166667,40,55,7,PASS
20,4,2,2,A,FIXED_C4,primary_20,60,primary,11700,4792,40.957264957264954,1.5374228468376068,3.0237665999999987,5.810632990000002,12.790038493418804,16.27005125,18.946047570000005,6.702664283931624,15.8224203,82.1704429400001,14.793297042649574,19.080111849999998,21.028886180000004,35.82342266683761,45.37927969999999,162.25405975000004,11700,11700,PASS,4,194.95315504104477,0.014417297,2.8839770245666667,1.3070195353666667,6.94642945675,0.038422064533333335,0.49154950108333334,0.0,0.4405887017333333,40,54,7,PASS
21,4,3,2,B,FIXED_C4,primary_21,60,primary,11700,4895,41.837606837606835,1.206244455042735,2.943848649999998,5.699914050000015,12.890533331196583,16.642150949999998,19.714215320000008,7.5509098609401715,16.379322849999998,108.88785293000004,14.784936733504273,19.052129849999996,21.16716566000001,36.432624380683755,46.315200299999994,160.06343693000008,11700,11700,PASS,4,194.96411981720226,0.011042088,2.88272675085,1.4724274228833334,7.066280496,0.03774534605,0.49946654436666665,0.0,0.44727997268333336,35,47,7,PASS
22,4,4,2,A,FIXED_C2,primary_22,60,primary,11700,4697,40.14529914529915,1.1702961005128205,2.454054699999998,4.6186445500000035,12.747903111538463,16.235246299999996,18.653277780000003,10.897101418888889,22.48591535,111.48099059000023,8.597327952478633,10.419972149999998,12.210627490000004,33.41262858341881,45.2557062,157.55579372000014,11700,11700,PASS,2,194.96283198676701,0.011438492,1.6761988937833334,2.12484575,6.4818354461166665,0.03325804401666667,0.7794238579333334,0.0,0.6327248568166667,38,46,7,PASS
23,4,5,2,A,K_LOOKUP_C2_C4,primary_23,60,primary,11700,4866,41.58974358974359,1.4936434564102565,3.0221242999999998,5.7438044700000015,12.967426657008547,16.49744845,18.632738940000003,9.887635045811965,16.32948635,155.8574453700002,12.103667273846153,18.29960325,20.491143110000003,36.452372433076924,45.983317549999995,224.40682667,11700,11700,PASS,4,194.97722590935146,0.007008231,2.35996011885,1.9280888339333333,7.068813040666667,0.039144584233333335,0.6280629389,0.00019241771666666667,0.4838444928833333,52,56,7,PASS
24,4,6,2,B,FIXED_C2,primary_24,60,primary,11700,6590,56.324786324786324,1.1398720936752136,2.8648798999999965,6.074807340000017,13.569066546666667,17.9336833,20.706255210000002,70.88960498760684,246.3241965,260.20205926,8.922961011111111,11.629932499999999,14.204219290000001,94.52150463905983,272.3773567,287.17385062,11700,11700,PASS,2,194.9695402401765,0.009373698,1.7396915186166666,13.82345324955,18.39847666575,0.032911137283333336,0.8286233204,0.0,0.6930068775666667,60,65,7,PASS
25,5,1,5,A,FIXED_C2,primary_25,60,primary,11700,4786,40.9059829059829,1.1396849506837607,2.4702620999999994,5.380295340000001,12.980809229145299,16.925895899999993,19.352229040000008,11.29823892094017,22.5779364,117.04996472000003,8.652430112222223,10.682051499999998,12.51325087,34.07116321299145,47.18863924999998,167.12426088000004,11700,11700,PASS,2,194.93861439240084,0.018893827,1.6867667916833333,2.2029509330833332,6.608479748383333,0.03473434145,0.7859098421333334,0.0,0.6367467699,42,50,7,PASS
26,5,2,5,A,K_LOOKUP_C2_C4,primary_26,60,primary,11700,4780,40.85470085470085,1.3080928073504274,2.9912958999999995,5.623782950000003,12.746475322649571,16.249220549999997,18.50166968,8.659561801794872,16.3056877,114.31252461000007,12.125886357435897,18.37005955,20.411689040000002,34.840016289230775,45.56038949999999,162.4605531400002,11700,11700,PASS,4,194.98107969246294,0.005822198,2.3643723651166666,1.68861455135,6.753627168866666,0.04000053295,0.6290803564,1.0445783333333334e-05,0.48350963886666665,43,49,7,PASS
27,5,3,5,B,FIXED_C2,primary_27,60,primary,11700,6338,54.17094017094017,2.020306731111111,2.5346822499999986,9.458827340000289,13.042001814358974,17.185689599999993,20.286241710000002,87.32096729940172,372.43463654999994,388.53071471000004,8.799239556495726,10.959272299999997,13.627012500000001,111.18251540136751,398.3602885,416.89048356,11700,11700,PASS,2,194.97911882500725,0.006425665,1.7156396446166666,17.027588623383334,21.645352158716666,0.03502627565,0.8173713175333334,0.0,0.6832446224166666,88,93,7,PASS
28,5,4,5,B,K_LOOKUP_C2_C4,primary_28,60,primary,11700,4947,42.282051282051285,1.5266611452136751,2.9805791,6.51587746,13.101096568205127,16.954479799999998,20.181307810000003,10.216629596495727,16.77657275,147.2675320900002,12.159137102820512,18.3923371,20.907896330000003,37.00352441273505,47.54872379999997,209.98773095000004,11700,11700,PASS,4,194.9427405345098,0.017623472,2.3705799930333336,1.9920435487666666,7.17653755675,0.038498739166666664,0.6401720226666666,0.00015752421666666666,0.48887287485,45,58,7,PASS
29,5,5,5,A,FIXED_C4,primary_29,60,primary,11700,4730,40.427350427350426,1.1159415032478632,2.9072625499999996,5.164223150000004,12.866446648461539,16.4956578,18.854997430000004,5.793263179230769,15.465356099999997,39.777739290000014,14.688179368290598,18.78723545,21.021737860000005,34.46383069923077,44.90251165,85.79676831000022,11700,11700,PASS,4,194.97387906346017,0.008038288,2.8639190576333333,1.1296751185166667,6.680737360416667,0.03942250531666667,0.48690862463333334,0.0,0.43253809266666665,30,42,7,PASS
30,5,6,5,B,FIXED_C4,primary_30,60,primary,11700,5019,42.8974358974359,2.336945331794872,3.3005909499999992,36.0325218100002,13.20397997974359,17.1055122,21.305793200000007,12.80526637145299,45.76121899999928,228.83235285000004,14.717031786410256,18.84539425,21.060619980000002,43.06322346940171,83.41838979999997,312.62525306,11700,11700,PASS,4,194.97904901698513,0.006447149,2.8695928634666665,2.497026942433333,8.354569315383333,0.042530926266666665,0.49905061255,0.0,0.44878020701666665,59,78,7,PASS
