acquisition_id,round,trace,policy,phase,logical_boundary_ns,notification_ns,apply_ns,old_C,new_C,active_counter_at_apply,A_service_at_apply,ready_at_apply,generated_backlog_at_apply,due_not_generated_at_apply,first_A_service_le_C_ns,first_A_service_lt_C_ns,first_counter_le_C_ns,first_counter_lt_C_ns,first_new_admission_ns,cohort_at_apply,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_01,1,B,FIXED_C4,1,85513225180489,85513225286505,85513225331718,4,4,3,3,0,3,6,85513225331718,85513225331718,85513225331718,85513225331718,85513237936004,already_service,3,3,100.0,1.5300683333333334,3.3882424999999996,3.6467036999999998,15.514643666666666,17.4051659,17.45092038,10.596762333333334,12.275609800000002,12.310601160000001,13.354081666666666,14.7600685,14.8910265,40.995556,43.2963882,43.49852004
primary_01,1,B,FIXED_C4,1,85513225180489,85513225286505,85513225331718,4,4,3,3,0,3,6,85513225331718,85513225331718,85513225331718,85513225331718,85513237936004,already_ready,0,,,,,,,,,,,,,,,,,
primary_01,1,B,FIXED_C4,1,85513225180489,85513225286505,85513225331718,4,4,3,3,0,3,6,85513225331718,85513225331718,85513225331718,85513225331718,85513237936004,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_01,1,B,FIXED_C4,1,85513225180489,85513225286505,85513225331718,4,4,3,3,0,3,6,85513225331718,85513225331718,85513225331718,85513225331718,85513237936004,generated_after_apply,8550,3171,37.08771929824562,0.7011700142690058,2.534434549999999,4.390804800000002,12.559279924093566,15.998567149999998,18.074011140000003,4.655105562807018,14.926449599999998,16.71541505,14.396500253099415,18.62144475,20.30542717,32.31205575426901,43.380683299999994,46.622464750000006
primary_01,1,B,FIXED_C4,2,85528225180489,85528225281565,85528225305250,4,4,2,2,0,2,7,85528225305250,85528225305250,85528225305250,85528225305250,85528234800255,already_service,2,2,100.0,0.45035,0.4872293,0.49050746,15.188301,15.5161323,15.545272859999999,10.4401315,11.709224650000001,11.822032929999999,10.937668,11.6023855,11.6614715,37.0164505,37.98553675,38.07167775
primary_01,1,B,FIXED_C4,2,85528225180489,85528225281565,85528225305250,4,4,2,2,0,2,7,85528225305250,85528225305250,85528225305250,85528225305250,85528234800255,already_ready,0,,,,,,,,,,,,,,,,,
primary_01,1,B,FIXED_C4,2,85528225180489,85528225281565,85528225305250,4,4,2,2,0,2,7,85528225305250,85528225305250,85528225305250,85528225305250,85528234800255,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_01,1,B,FIXED_C4,2,85528225180489,85528225281565,85528225305250,4,4,2,2,0,2,7,85528225305250,85528225305250,85528225305250,85528225305250,85528234800255,generated_after_apply,5850,2286,39.07692307692308,0.7563150461538461,2.6919875500000003,4.620753660000004,12.737545864444444,16.3183701,18.462054650000002,4.846907516581196,14.919260000000001,16.78199544000001,14.521743248888889,18.6284938,20.41916093,32.86251167606838,44.2686956,47.13167018
primary_01,1,B,FIXED_C4,3,85543225180489,85543225277052,85543225299468,4,4,4,4,0,4,6,85543225299468,85543229950873,85543225299468,85543229964929,85543236590856,already_service,4,4,100.0,0.847703,1.0732790499999998,1.1035326099999998,13.77492025,14.8179009,14.97417858,12.515908,17.06580645,17.096475690000002,17.83636825,23.40967645,24.145069689999996,44.9748995,49.19409905,49.60277981
primary_01,1,B,FIXED_C4,3,85543225180489,85543225277052,85543225299468,4,4,4,4,0,4,6,85543225299468,85543229950873,85543225299468,85543229964929,85543236590856,already_ready,0,,,,,,,,,,,,,,,,,
primary_01,1,B,FIXED_C4,3,85543225180489,85543225277052,85543225299468,4,4,4,4,0,4,6,85543225299468,85543229950873,85543225299468,85543229964929,85543236590856,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_01,1,B,FIXED_C4,3,85543225180489,85543225277052,85543225299468,4,4,4,4,0,4,6,85543225299468,85543229950873,85543225299468,85543229964929,85543236590856,generated_after_apply,2700,853,31.59259259259259,0.5544416014814815,1.8874534499999975,3.1694681399999953,12.089404856296298,14.794646049999999,16.611845409999987,4.174033698148148,14.71389305,16.32645152,14.069080533333333,18.384545249999995,19.780870229999998,30.88696068925926,38.7384522,40.19046008
primary_02,1,A,FIXED_C2,1,85577271800980,85577271901636,85577271943571,2,2,2,2,0,2,7,85577271943571,85577273805677,85577271943571,85577273820612,85577287577248,already_service,2,2,100.0,0.6025545,0.70113465,0.70989733,15.6551495,16.620497150000002,16.70630583,12.1558235,13.60523885,13.734075769999999,9.7018985,9.71558615,9.71680283,38.115426,40.6150815,40.837273100000004
primary_02,1,A,FIXED_C2,1,85577271800980,85577271901636,85577271943571,2,2,2,2,0,2,7,85577271943571,85577273805677,85577271943571,85577273820612,85577287577248,already_ready,0,,,,,,,,,,,,,,,,,
primary_02,1,A,FIXED_C2,1,85577271800980,85577271901636,85577271943571,2,2,2,2,0,2,7,85577271943571,85577273805677,85577271943571,85577273820612,85577287577248,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_02,1,A,FIXED_C2,1,85577271800980,85577271901636,85577271943571,2,2,2,2,0,2,7,85577271943571,85577273805677,85577271943571,85577273820612,85577287577248,generated_after_apply,9000,3618,40.2,0.6926739083333333,2.437839899999999,4.314263250000001,12.579937574222223,16.1723397,18.22579352,9.181381746666666,21.926836949999995,24.53893911,8.572650512222223,10.444715499999997,12.1521874,31.026643741444445,44.6271939,48.79231207
primary_02,1,A,FIXED_C2,2,85592271800980,85592271897037,85592271921731,2,2,2,2,1,3,6,85592271921731,85592275102078,85592271921731,85592275120087,85592275160513,already_service,2,2,100.0,0.447421,0.4676881,0.46948962,13.360624,13.697126800000001,13.72703816,15.182975,15.981534199999999,16.05251724,8.2631895,8.82018465,8.86969533,37.2542095,37.81200925,37.861591450000006
primary_02,1,A,FIXED_C2,2,85592271800980,85592271897037,85592271921731,2,2,2,2,1,3,6,85592271921731,85592275102078,85592271921731,85592275120087,85592275160513,already_ready,1,1,100.0,0.719534,0.719534,0.719534,14.006342,14.006342,14.006342,21.986167,21.986167,21.986167,6.050285,6.050285,6.050285,42.762328,42.762328,42.762328
primary_02,1,A,FIXED_C2,2,85592271800980,85592271897037,85592271921731,2,2,2,2,1,3,6,85592271921731,85592275102078,85592271921731,85592275120087,85592275160513,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_02,1,A,FIXED_C2,2,85592271800980,85592271897037,85592271921731,2,2,2,2,1,3,6,85592271921731,85592275102078,85592271921731,85592275120087,85592275160513,generated_after_apply,5850,2200,37.60683760683761,0.6683450858119658,2.3694275000000005,4.16305198,12.372235993675213,15.722452900000002,17.862375770000003,8.611806855726496,20.828806200000002,23.755987990000005,8.565084308888888,10.26790515,11.737841200000004,30.217472244102563,43.6366669,46.658378670000005
primary_02,1,A,FIXED_C2,3,85607271800980,85607271887046,85607271912296,2,2,2,2,0,2,7,85607271912296,85607275865796,85607271912296,85607275877027,85607285806720,already_service,2,2,100.0,0.4228675,0.51882685,0.5273565699999999,14.067211,14.5656733,14.60998106,13.5779775,14.465317650000001,14.54419233,9.6614715,10.65307485,10.74121737,37.7295275,38.02776725,38.05427745
primary_02,1,A,FIXED_C2,3,85607271800980,85607271887046,85607271912296,2,2,2,2,0,2,7,85607271912296,85607275865796,85607271912296,85607275877027,85607285806720,already_ready,0,,,,,,,,,,,,,,,,,
primary_02,1,A,FIXED_C2,3,85607271800980,85607271887046,85607271912296,2,2,2,2,0,2,7,85607271912296,85607275865796,85607271912296,85607275877027,85607285806720,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_02,1,A,FIXED_C2,3,85607271800980,85607271887046,85607271912296,2,2,2,2,0,2,7,85607271912296,85607275865796,85607271912296,85607275877027,85607285806720,generated_after_apply,3150,1348,42.79365079365079,0.7175900968253969,2.545699149999998,4.477312939999998,12.724931654920637,16.242837899999998,18.251501119999993,9.72825949936508,22.458595499999998,24.3948315,8.517773501269842,10.477337899999998,12.096678479999989,31.688554752380952,44.73325874999998,47.313025259999996
