trace,fixed,phase,window,n_pairs,mean_improvement_pp,sample_SD,improving_rounds,paired_values
A,FIXED_C2,0,startup,5,0.0,0.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
A,FIXED_C2,0,phase_remainder,5,-0.8809523809523825,2.455095584914317,2,"[-3.2142857142857153, -2.9761904761904816, 1.547619047619051, -1.6666666666666714, 1.904761904761905]"
A,FIXED_C2,1,transition,5,-2.476190476190476,2.414055591549826,1,"[-2.3809523809523796, -3.3333333333333357, -1.904761904761905, -5.714285714285715, 0.9523809523809561]"
A,FIXED_C2,1,phase_remainder,5,-1.4761904761904758,0.8613572024859519,0,"[-0.10204081632652873, -1.5306122448979593, -2.448979591836739, -1.4625850340136068, -1.8367346938775455]"
A,FIXED_C2,2,transition,5,-0.555555555555555,1.2422599874998839,1,"[-2.2222222222222214, -1.1111111111111107, 1.1111111111111143, -0.5555555555555571, 0.0]"
A,FIXED_C2,2,phase_remainder,5,-0.11111111111111142,0.6143749166191801,3,"[-1.1111111111111143, 0.07936507936508264, 0.5158730158730123, 0.15873015873015817, -0.19841269841269593]"
A,FIXED_C2,3,transition,5,-2.7619047619047636,1.6970028267814727,0,"[-1.4285714285714306, -1.904761904761905, -5.238095238095241, -3.80952380952381, -1.4285714285714306]"
A,FIXED_C2,3,phase_remainder,5,-1.4557823129251701,1.264327395592929,1,"[-2.6530612244897966, -1.4285714285714306, -1.5306122448979593, -2.278911564625851, 0.6122448979591866]"
A,FIXED_C4,0,startup,5,-1.7777777777777772,3.9752319599996246,0,"[0.0, 0.0, 0.0, 0.0, -8.888888888888886]"
A,FIXED_C4,0,phase_remainder,5,-2.8571428571428568,2.434742910672149,1,"[-4.841269841269842, -5.158730158730158, 0.9126984126984183, -2.857142857142861, -2.341269841269842]"
A,FIXED_C4,1,transition,5,0.47619047619047594,2.0481726826291964,2,"[-0.4761904761904745, -1.4285714285714306, 3.3333333333333357, 1.904761904761898, -0.952380952380949]"
A,FIXED_C4,1,phase_remainder,5,-0.14965986394557831,0.8309350467810892,3,"[0.4761904761904816, 0.408163265306122, -1.3605442176870781, -0.6802721088435391, 0.408163265306122]"
A,FIXED_C4,2,transition,5,-7.105427357601002e-16,1.7568209223157676,2,"[-0.5555555555555571, -1.6666666666666679, 0.5555555555555571, 2.7777777777777786, -1.1111111111111143]"
A,FIXED_C4,2,phase_remainder,5,0.2142857142857153,0.4832479659800294,3,"[-0.43650793650793673, 0.4761904761904745, 0.6746031746031775, 0.5158730158730194, -0.15873015873015817]"
A,FIXED_C4,3,transition,5,-0.47619047619047594,2.776643759450143,3,"[0.952380952380949, 0.4761904761904745, -3.80952380952381, -2.857142857142854, 2.857142857142861]"
A,FIXED_C4,3,phase_remainder,5,0.10884353741496824,0.2920023949841468,3,"[-0.2380952380952337, -0.06802721088435248, 0.27210884353741704, 0.06802721088435248, 0.5102040816326578]"
B,FIXED_C2,0,startup,5,0.0,0.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
B,FIXED_C2,0,phase_remainder,5,42.333333333333336,8.134039235792784,5,"[28.97959183673469, 46.08843537414966, 48.12925170068027, 40.27210884353742, 48.197278911564624]"
B,FIXED_C2,1,transition,5,44.11111111111111,31.53383446473617,4,"[0.0, 67.22222222222223, 66.66666666666666, 65.55555555555556, 21.111111111111107]"
B,FIXED_C2,1,phase_remainder,5,0.5476190476190481,0.993015416311345,3,"[0.19841269841270304, -0.07936507936507553, 1.4285714285714306, 1.7460317460317398, -0.5555555555555571]"
B,FIXED_C2,2,transition,5,-5.904761904761903,4.006796946278595,0,"[-1.904761904761905, -4.761904761904766, -8.57142857142857, -11.428571428571423, -2.857142857142854]"
B,FIXED_C2,2,phase_remainder,5,-3.3197278911564623,3.6766646471338533,0,"[-1.4625850340136068, -2.176870748299322, -1.8707482993197289, -9.863945578231288, -1.224489795918366]"
