acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,offset_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,1,85513226180489,RIGHT_CONTINUOUS,4,3,0,9,9,0,3,6,12605,85513225450960,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,3,0.333333333333333,0,0,,,,,0,,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,3,0.333333333333333,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,5,85513230180489,RIGHT_CONTINUOUS,4,3,0,9,9,0,3,6,12605,85513225450960,-5.00000066666667,-5.00000066666667,28.3333333333333,28.3333333333333,3,0.333333333333333,0,0,,,,,0,,0,0,-5.00000066666667,-5.00000066666667,28.3333333333333,28.3333333333333,3,0.333333333333333,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,10,85513235180489,RIGHT_CONTINUOUS,4,1,0,7,7,0,1,6,12607,85513232889486,-10.0000006666667,9.99999973333333,23.3333333333333,23.3333333333333,1,0.142857142857143,0,0,,,,,0,,0,0,-10.0000006666667,9.99999973333333,23.3333333333333,23.3333333333333,1,0.142857142857143,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,20,85513245180489,RIGHT_CONTINUOUS,4,4,2,6,6,0,4,6,12618,85513240438096,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,0,0,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,50,85513275180489,RIGHT_CONTINUOUS,4,3,1,6,6,0,3,6,12639,85513272131022,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0,16.6666663333333,16.6666663333333,16.6666663333333,16.6666663333333,0,0,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,100,85513325180489,RIGHT_CONTINUOUS,4,4,2,12,6,6,4,6,12666,85513307738875,-6.66666666666667e-07,-6.66666666666667e-07,16.6666663333333,33.3333333333333,6,0.5,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,6,1,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,500,85513725180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,12960,85513720131954,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,1000,85514225180489,RIGHT_CONTINUOUS,4,1,0,7,1,6,1,6,13321,85514224828910,-6.66666666666667e-07,19.9999997333333,33.3333333333333,33.3333333333333,1,0.142857142857143,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,1,85528226180489,RIGHT_CONTINUOUS,4,2,0,9,9,0,2,7,23409,85528225443353,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0,,,,,0,,0,0,-1.00000066666667,-1.00000066666667,32.3333333333333,32.3333333333333,2,0.222222222222222,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,5,85528230180489,RIGHT_CONTINUOUS,4,0,0,7,7,0,0,7,23411,85528229951257,28.3333333333333,28.3333333333333,28.3333333333333,28.3333333333333,0,0,0,0,,,,,0,,0,0,28.3333333333333,28.3333333333333,28.3333333333333,28.3333333333333,0,0,0,0
