acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,85513225180489,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,85513223823087,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,2,30,85528225180489,6,7,4,4,85528225180489,85528225281565,85528225305250,0.124761,85528225180489,LEFT_LIMIT,4,2,0,2,2,0,2,6,23400,85528221689271,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,85543225180489,LEFT_LIMIT,4,4,0,4,4,0,4,7,36000,85543223522557,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0
primary_02,1,A,FIXED_C2,1,15,85577271800980,6,7,2,2,85577271800980,85577271901636,85577271943571,0.142591,85577271800980,LEFT_LIMIT,2,2,0,2,2,0,2,6,10798,85577269667796,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,85592271800980,LEFT_LIMIT,2,2,1,3,3,0,2,7,23398,85592268674485,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_02,1,A,FIXED_C2,3,45,85607271800980,6,7,2,2,85607271800980,85607271887046,85607271912296,0.111316,85607271800980,LEFT_LIMIT,2,2,0,2,2,0,2,6,34202,85607267963572,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_03,1,A,K_LOOKUP_C2_C4,1,15,85641099785040,6,7,2,4,85641099785040,85641099880526,85641099908869,0.123829,85641099785040,LEFT_LIMIT,2,2,0,2,2,0,2,6,10798,85641095196002,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_03,1,A,K_LOOKUP_C2_C4,2,30,85656099785040,7,6,4,2,85656099785040,85656099887492,85656099909982,0.124942,85656099785040,LEFT_LIMIT,4,3,0,3,3,0,3,7,23399,85656098538269,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_03,1,A,K_LOOKUP_C2_C4,3,45,85671099785040,6,7,2,4,85671099785040,85671099869053,85671099884775,0.099735,85671099785040,LEFT_LIMIT,2,2,0,2,2,0,2,6,34202,85671095693273,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_04,1,B,FIXED_C2,1,15,85704983847952,7,6,2,2,85704983847952,85704983949740,85704983979139,0.131187,85704983847952,LEFT_LIMIT,2,2,1,3,3,0,2,7,12596,85704979278550,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
