acquisition_id,trace,policy,round,direction,unfinished_backlog,unfinished_late_fraction,unfinished_slack_p10_ms,unfinished_slack_median_ms
primary_01,B,FIXED_C4,1,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_01,B,FIXED_C4,1,K7 to K6,3.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_02,A,FIXED_C2,1,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_02,A,FIXED_C2,1,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_03,A,K_LOOKUP_C2_C4,1,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_03,A,K_LOOKUP_C2_C4,1,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_04,B,FIXED_C2,1,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_04,B,FIXED_C2,1,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_05,B,K_LOOKUP_C2_C4,1,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_05,B,K_LOOKUP_C2_C4,1,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_06,A,FIXED_C4,1,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_06,A,FIXED_C4,1,K7 to K6,5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_07,B,FIXED_C2,2,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_07,B,FIXED_C2,2,K7 to K6,30,1,-116.666667166667,-66.6666671666668
primary_08,B,K_LOOKUP_C2_C4,2,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_08,B,K_LOOKUP_C2_C4,2,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_09,A,FIXED_C4,2,K6 to K7,1.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_09,A,FIXED_C4,2,K7 to K6,4,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_10,B,FIXED_C4,2,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_10,B,FIXED_C4,2,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_11,A,FIXED_C2,2,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_11,A,FIXED_C2,2,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_12,A,K_LOOKUP_C2_C4,2,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_12,A,K_LOOKUP_C2_C4,2,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_13,A,K_LOOKUP_C2_C4,3,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_13,A,K_LOOKUP_C2_C4,3,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_14,B,FIXED_C2,3,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_14,B,FIXED_C2,3,K7 to K6,26.5,1,-100.000000666667,-50.0000006666668
primary_15,B,K_LOOKUP_C2_C4,3,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_15,B,K_LOOKUP_C2_C4,3,K7 to K6,3.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_16,A,FIXED_C4,3,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_16,A,FIXED_C4,3,K7 to K6,4,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_17,B,FIXED_C4,3,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_17,B,FIXED_C4,3,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_18,A,FIXED_C2,3,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_18,A,FIXED_C2,3,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_19,B,K_LOOKUP_C2_C4,4,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_19,B,K_LOOKUP_C2_C4,4,K7 to K6,4.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_20,A,FIXED_C4,4,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_20,A,FIXED_C4,4,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_21,B,FIXED_C4,4,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_21,B,FIXED_C4,4,K7 to K6,3.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_22,A,FIXED_C2,4,K6 to K7,1.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_22,A,FIXED_C2,4,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_23,A,K_LOOKUP_C2_C4,4,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_23,A,K_LOOKUP_C2_C4,4,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_24,B,FIXED_C2,4,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_24,B,FIXED_C2,4,K7 to K6,27,1,-100.000000666667,-50.0000006666668
primary_25,A,FIXED_C2,5,K6 to K7,1.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_25,A,FIXED_C2,5,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_26,A,K_LOOKUP_C2_C4,5,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_26,A,K_LOOKUP_C2_C4,5,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_27,B,FIXED_C2,5,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_27,B,FIXED_C2,5,K7 to K6,11.5,1,-33.3333336666667,-16.6666671666667
primary_28,B,K_LOOKUP_C2_C4,5,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_28,B,K_LOOKUP_C2_C4,5,K7 to K6,3.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_29,A,FIXED_C4,5,K6 to K7,1.5,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_29,A,FIXED_C4,5,K7 to K6,3,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_30,B,FIXED_C4,5,K6 to K7,2,1,-6.66666666666667e-07,-6.66666666666667e-07
primary_30,B,FIXED_C4,5,K7 to K6,3.5,1,-6.66666666666667e-07,-6.66666666666667e-07
