acquisition_id,round,trace,policy,phase,boundary_s,boundary_ns,K_before,K_after,C_before,C_after,logical_boundary_ns,notification_ns,apply_ns,cap_apply_delay_ms,before_sample_ns,before_sample_side,before_C,before_A,before_ready_queue,before_unfinished_backlog,before_generated_unfinished,before_due_not_generated,before_online_active_counter,before_observed_K,before_latest_event_seq,before_latest_event_ns,before_unfinished_slack_min_ms,before_unfinished_slack_p10_ms,before_unfinished_slack_median_ms,before_unfinished_slack_p90_ms,before_unfinished_late_count,before_unfinished_late_fraction,before_unfinished_urgent_5ms_count,before_unfinished_urgent_10ms_count,before_ready_slack_min_ms,before_ready_slack_p10_ms,before_ready_slack_median_ms,before_ready_slack_p90_ms,before_ready_late_count,before_ready_late_fraction,before_ready_urgent_5ms_count,before_ready_urgent_10ms_count,before_generated_slack_min_ms,before_generated_slack_p10_ms,before_generated_slack_median_ms,before_generated_slack_p90_ms,before_generated_late_count,before_generated_late_fraction,before_generated_urgent_5ms_count,before_generated_urgent_10ms_count,apply_sample_ns,apply_sample_side,apply_C,apply_A,apply_ready_queue,apply_unfinished_backlog,apply_generated_unfinished,apply_due_not_generated,apply_online_active_counter,apply_observed_K,apply_latest_event_seq,apply_latest_event_ns,apply_unfinished_slack_min_ms,apply_unfinished_slack_p10_ms,apply_unfinished_slack_median_ms,apply_unfinished_slack_p90_ms,apply_unfinished_late_count,apply_unfinished_late_fraction,apply_unfinished_urgent_5ms_count,apply_unfinished_urgent_10ms_count,apply_ready_slack_min_ms,apply_ready_slack_p10_ms,apply_ready_slack_median_ms,apply_ready_slack_p90_ms,apply_ready_late_count,apply_ready_late_fraction,apply_ready_urgent_5ms_count,apply_ready_urgent_10ms_count,apply_generated_slack_min_ms,apply_generated_slack_p10_ms,apply_generated_slack_median_ms,apply_generated_slack_p90_ms,apply_generated_late_count,apply_generated_late_fraction,apply_generated_urgent_5ms_count,apply_generated_urgent_10ms_count,before_first_admission_sample_ns,before_first_admission_sample_side,before_first_admission_C,before_first_admission_A,before_first_admission_ready_queue,before_first_admission_unfinished_backlog,before_first_admission_generated_unfinished,before_first_admission_due_not_generated,before_first_admission_online_active_counter,before_first_admission_observed_K,before_first_admission_latest_event_seq,before_first_admission_latest_event_ns,before_first_admission_unfinished_slack_min_ms,before_first_admission_unfinished_slack_p10_ms,before_first_admission_unfinished_slack_median_ms,before_first_admission_unfinished_slack_p90_ms,before_first_admission_unfinished_late_count,before_first_admission_unfinished_late_fraction,before_first_admission_unfinished_urgent_5ms_count,before_first_admission_unfinished_urgent_10ms_count,before_first_admission_ready_slack_min_ms,before_first_admission_ready_slack_p10_ms,before_first_admission_ready_slack_median_ms,before_first_admission_ready_slack_p90_ms,before_first_admission_ready_late_count,before_first_admission_ready_late_fraction,before_first_admission_ready_urgent_5ms_count,before_first_admission_ready_urgent_10ms_count,before_first_admission_generated_slack_min_ms,before_first_admission_generated_slack_p10_ms,before_first_admission_generated_slack_median_ms,before_first_admission_generated_slack_p90_ms,before_first_admission_generated_late_count,before_first_admission_generated_late_fraction,before_first_admission_generated_urgent_5ms_count,before_first_admission_generated_urgent_10ms_count,first_A_service_le_C_ns,first_A_service_le_C_ns_delay_from_apply_ms,first_A_service_lt_C_ns,first_A_service_lt_C_ns_delay_from_apply_ms,first_counter_le_C_ns,first_counter_le_C_ns_delay_from_apply_ms,first_counter_lt_C_ns,first_counter_lt_C_ns_delay_from_apply_ms,first_new_admission_ns,first_new_admission_ns_delay_from_apply_ms,ready_change_apply_to_first_admission,backlog_change_apply_to_first_admission
primary_01,1,B,FIXED_C4,1,15,85513225180489,7,6,4,4,85513225180489,85513225286505,85513225331718,0.151229,85513225180489,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,85513223823087,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85513225331718,RIGHT_CONTINUOUS,4,3,0,9,3,6,3,6,12599,85513225331718,-0.151229666666667,-0.151229666666667,33.1821043333333,33.1821043333333,3,0.333333333333333,0,0,,,,,0,,0,0,-0.151229666666667,-0.151229666666667,-0.151229666666667,-0.151229666666667,3,1,0,0,85513237936004,LEFT_LIMIT,4,0,1,6,6,0,0,6,12609,85513237863023,20.5778183333333,20.5778183333333,20.5778183333333,20.5778183333333,0,0,0,0,20.5778183333333,20.5778183333333,20.5778183333333,20.5778183333333,0,0,0,0,20.5778183333333,20.5778183333333,20.5778183333333,20.5778183333333,0,0,0,0,85513225331718,0,85513225331718,0,85513225331718,0,85513225331718,0,85513237936004,12.604286,1,-3
primary_01,1,B,FIXED_C4,3,45,85543225180489,7,6,4,4,85543225180489,85543225277052,85543225299468,0.118979,85543225180489,LEFT_LIMIT,4,4,0,4,4,0,4,7,36000,85543223522557,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,4,1,0,0,85543225299468,RIGHT_CONTINUOUS,4,4,0,10,4,6,4,6,36002,85543225299468,-0.118979666666667,-0.118979666666667,33.2143543333333,33.2143543333333,4,0.4,0,0,,,,,0,,0,0,-0.118979666666667,-0.118979666666667,-0.118979666666667,-0.118979666666667,4,1,0,0,85543236590856,LEFT_LIMIT,4,3,1,9,9,0,3,6,36010,85543236461077,-11.4103676666667,-11.4103676666667,21.9229663333333,21.9229663333333,3,0.333333333333333,0,0,21.9229663333333,21.9229663333333,21.9229663333333,21.9229663333333,0,0,0,0,-11.4103676666667,-11.4103676666667,21.9229663333333,21.9229663333333,3,0.333333333333333,0,0,85543225299468,0,85543229950873,4.651405,85543225299468,0,85543229964929,4.665461,85543236590856,11.291388,1,-1
primary_02,1,A,FIXED_C2,2,30,85592271800980,7,6,2,2,85592271800980,85592271897037,85592271921731,0.120751,85592271800980,LEFT_LIMIT,2,2,1,3,3,0,2,7,23398,85592268674485,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85592271921731,RIGHT_CONTINUOUS,2,2,1,9,3,6,2,6,23400,85592271921731,-0.120751666666667,-0.120751666666667,33.2125823333333,33.2125823333333,3,0.333333333333333,0,0,-0.120751666666667,-0.120751666666667,-0.120751666666667,-0.120751666666667,1,1,0,0,-0.120751666666667,-0.120751666666667,-0.120751666666667,-0.120751666666667,3,1,0,0,85592275160513,LEFT_LIMIT,2,1,1,8,8,0,1,6,23407,85592275120087,-3.35953366666667,-3.35953366666667,29.9738003333333,29.9738003333333,2,0.25,0,0,-3.35953366666667,-3.35953366666667,-3.35953366666667,-3.35953366666667,1,1,0,0,-3.35953366666667,-3.35953366666667,29.9738003333333,29.9738003333333,2,0.25,0,0,85592271921731,0,85592275102078,3.180347,85592271921731,0,85592275120087,3.198356,85592275160513,3.238782,0,-1
primary_03,1,A,K_LOOKUP_C2_C4,2,30,85656099785040,7,6,4,2,85656099785040,85656099887492,85656099909982,0.124942,85656099785040,LEFT_LIMIT,4,3,0,3,3,0,3,7,23399,85656098538269,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85656099909982,RIGHT_CONTINUOUS,2,3,0,9,3,6,3,6,23401,85656099909982,-0.124942666666667,-0.124942666666667,33.2083913333333,33.2083913333333,3,0.333333333333333,0,0,,,,,0,,0,0,-0.124942666666667,-0.124942666666667,-0.124942666666667,-0.124942666666667,3,1,0,0,85656111544130,LEFT_LIMIT,2,0,1,6,6,0,0,6,23411,85656111457546,21.5742433333333,21.5742433333333,21.5742433333333,21.5742433333333,0,0,0,0,21.5742433333333,21.5742433333333,21.5742433333333,21.5742433333333,0,0,0,0,21.5742433333333,21.5742433333333,21.5742433333333,21.5742433333333,0,0,0,0,85656108034216,8.124234,85656110316427,10.406445,85656108057216,8.147234,85656110330779,10.420797,85656111544130,11.634148,1,-3
primary_04,1,B,FIXED_C2,1,15,85704983847952,7,6,2,2,85704983847952,85704983949740,85704983979139,0.131187,85704983847952,LEFT_LIMIT,2,2,1,3,3,0,2,7,12596,85704979278550,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85704983979139,RIGHT_CONTINUOUS,2,2,1,9,3,6,2,6,12598,85704983979139,-0.131187666666667,-0.131187666666667,33.2021463333333,33.2021463333333,3,0.333333333333333,0,0,-0.131187666666667,-0.131187666666667,-0.131187666666667,-0.131187666666667,1,1,0,0,-0.131187666666667,-0.131187666666667,-0.131187666666667,-0.131187666666667,3,1,0,0,85704987757073,LEFT_LIMIT,2,1,1,8,8,0,1,6,12605,85704987725036,-3.90912166666667,-3.90912166666667,29.4242123333333,29.4242123333333,2,0.25,0,0,-3.90912166666667,-3.90912166666667,-3.90912166666667,-3.90912166666667,1,1,0,0,-3.90912166666667,-3.90912166666667,29.4242123333333,29.4242123333333,2,0.25,0,0,85704983979139,0,85704987711388,3.732249,85704983979139,0,85704987725036,3.745897,85704987757073,3.777934,0,-1
primary_04,1,B,FIXED_C2,3,45,85734983847952,7,6,2,2,85734983847952,85734983941261,85734983959242,0.11129,85734983847952,LEFT_LIMIT,2,2,1,3,3,0,2,7,36000,85734979591147,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85734983959242,RIGHT_CONTINUOUS,2,2,1,9,3,6,2,6,36002,85734983959242,-0.111290666666667,-0.111290666666667,33.2220433333333,33.2220433333333,3,0.333333333333333,0,0,-0.111290666666667,-0.111290666666667,-0.111290666666667,-0.111290666666667,1,1,0,0,-0.111290666666667,-0.111290666666667,-0.111290666666667,-0.111290666666667,3,1,0,0,85734987513962,LEFT_LIMIT,2,1,1,8,8,0,1,6,36009,85734987482378,-3.66601066666667,-3.66601066666667,29.6673233333333,29.6673233333333,2,0.25,0,0,-3.66601066666667,-3.66601066666667,-3.66601066666667,-3.66601066666667,1,1,0,0,-3.66601066666667,-3.66601066666667,29.6673233333333,29.6673233333333,2,0.25,0,0,85734983959242,0,85734987462146,3.502904,85734983959242,0,85734987482378,3.523136,85734987513962,3.55472,0,-1
primary_05,1,B,K_LOOKUP_C2_C4,1,15,85768868303206,7,6,4,2,85768868303206,85768868408107,85768868456561,0.153355,85768868303206,LEFT_LIMIT,4,3,0,3,3,0,3,7,12597,85768865529383,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85768868456561,RIGHT_CONTINUOUS,2,3,0,9,3,6,3,6,12599,85768868456561,-0.153355666666667,-0.153355666666667,33.1799783333333,33.1799783333333,3,0.333333333333333,0,0,,,,,0,,0,0,-0.153355666666667,-0.153355666666667,-0.153355666666667,-0.153355666666667,3,1,0,0,85768879174784,LEFT_LIMIT,2,0,1,6,6,0,0,6,12609,85768879077839,22.4617553333333,22.4617553333333,22.4617553333333,22.4617553333333,0,0,0,0,22.4617553333333,22.4617553333333,22.4617553333333,22.4617553333333,0,0,0,0,22.4617553333333,22.4617553333333,22.4617553333333,22.4617553333333,0,0,0,0,85768875844483,7.387922,85768876054753,7.598192,85768875859418,7.402857,85768876072605,7.616044,85768879174784,10.718223,1,-3
primary_05,1,B,K_LOOKUP_C2_C4,3,45,85798868303206,7,6,4,2,85798868303206,85798868389994,85798868409040,0.105834,85798868303206,LEFT_LIMIT,4,3,0,3,3,0,3,7,36001,85798864141695,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0,85798868409040,RIGHT_CONTINUOUS,2,3,0,9,3,6,3,6,36003,85798868409040,-0.105834666666667,-0.105834666666667,33.2274993333333,33.2274993333333,3,0.333333333333333,0,0,,,,,0,,0,0,-0.105834666666667,-0.105834666666667,-0.105834666666667,-0.105834666666667,3,1,0,0,85798879222485,LEFT_LIMIT,2,0,1,6,6,0,0,6,36013,85798879153476,22.4140543333333,22.4140543333333,22.4140543333333,22.4140543333333,0,0,0,0,22.4140543333333,22.4140543333333,22.4140543333333,22.4140543333333,0,0,0,0,22.4140543333333,22.4140543333333,22.4140543333333,22.4140543333333,0,0,0,0,85798869618650,1.20961,85798873755577,5.346537,85798869630900,1.22186,85798873777170,5.36813,85798879222485,10.813445,1,-3
primary_06,1,A,FIXED_C4,2,30,85847767672224,7,6,4,4,85847767672224,85847767774224,85847767800299,0.128075,85847767672224,LEFT_LIMIT,4,4,1,5,5,0,4,7,23396,85847765738793,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,5,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,5,1,0,0,85847767800299,RIGHT_CONTINUOUS,4,4,1,11,5,6,4,6,23398,85847767800299,-0.128075666666667,-0.128075666666667,33.2052583333333,33.2052583333333,5,0.454545454545455,0,0,-0.128075666666667,-0.128075666666667,-0.128075666666667,-0.128075666666667,1,1,0,0,-0.128075666666667,-0.128075666666667,-0.128075666666667,-0.128075666666667,5,1,0,0,85847768075679,LEFT_LIMIT,4,3,1,10,10,0,3,6,23405,85847768049818,-0.403455666666667,-0.403455666666667,32.9298783333333,32.9298783333333,4,0.4,0,0,-0.403455666666667,-0.403455666666667,-0.403455666666667,-0.403455666666667,1,1,0,0,-0.403455666666667,-0.403455666666667,32.9298783333333,32.9298783333333,4,0.4,0,0,85847767800299,0,85847768035874,0.235575,85847767800299,0,85847768049818,0.249519,85847768075679,0.27538,0,-1
primary_07,2,B,FIXED_C2,1,15,85896655229147,7,6,2,2,85896655229147,85896655332736,85896655357366,0.128219,85896655229147,LEFT_LIMIT,2,2,55,57,57,0,2,7,12488,85896653723326,-266.666666666667,-233.333333666667,-133.333333666667,-6.66666666666667e-07,57,1,0,0,-233.333333666667,-220.000000466667,-100.000000666667,-6.66666666666667e-07,55,1,0,0,-266.666666666667,-233.333333666667,-133.333333666667,-6.66666666666667e-07,57,1,0,0,85896655357366,RIGHT_CONTINUOUS,2,2,55,63,57,6,2,6,12490,85896655357366,-266.794885666667,-233.461552666667,-100.128219666667,-0.128219666666667,57,0.904761904761905,0,0,-233.461552666667,-220.128219466667,-100.128219666667,-0.128219666666667,55,1,0,0,-266.794885666667,-233.461552666667,-133.461552666667,-0.128219666666667,57,1,0,0,85896662437804,LEFT_LIMIT,2,1,55,62,62,0,1,6,12497,85896662396469,-273.875323666667,-237.208657366667,-107.208657666667,-7.20865766666667,56,0.903225806451613,0,0,-240.541990666667,-227.208657466667,-107.208657666667,-7.20865766666667,55,1,0,0,-273.875323666667,-237.208657366667,-107.208657666667,-7.20865766666667,56,0.903225806451613,0,0,85896655357366,0,85896662365238,7.007872,85896655357366,0,85896662396469,7.039103,85896662437804,7.080438,0,-1
