trace,phase,K,window,fixed,n_pairs,delta_DMR_percent_mean,delta_DMR_percent_SD,delta_DMR_percent_positive_rounds,delta_DMR_percent_negative_rounds,delta_DMR_percent_values,delta_miss_count_mean,delta_miss_count_SD,delta_miss_count_positive_rounds,delta_miss_count_negative_rounds,delta_miss_count_values,delta_queue_mean_ms_mean,delta_queue_mean_ms_SD,delta_queue_mean_ms_positive_rounds,delta_queue_mean_ms_negative_rounds,delta_queue_mean_ms_values,delta_queue_p95_ms_mean,delta_queue_p95_ms_SD,delta_queue_p95_ms_positive_rounds,delta_queue_p95_ms_negative_rounds,delta_queue_p95_ms_values,delta_service_mean_ms_mean,delta_service_mean_ms_SD,delta_service_mean_ms_positive_rounds,delta_service_mean_ms_negative_rounds,delta_service_mean_ms_values,delta_service_p95_ms_mean,delta_service_p95_ms_SD,delta_service_p95_ms_positive_rounds,delta_service_p95_ms_negative_rounds,delta_service_p95_ms_values,delta_local_mean_ms_mean,delta_local_mean_ms_SD,delta_local_mean_ms_positive_rounds,delta_local_mean_ms_negative_rounds,delta_local_mean_ms_values,delta_local_p95_ms_mean,delta_local_p95_ms_SD,delta_local_p95_ms_positive_rounds,delta_local_p95_ms_negative_rounds,delta_local_p95_ms_values,delta_start_lag_mean_ms_mean,delta_start_lag_mean_ms_SD,delta_start_lag_mean_ms_positive_rounds,delta_start_lag_mean_ms_negative_rounds,delta_start_lag_mean_ms_values,delta_front_end_mean_ms_mean,delta_front_end_mean_ms_SD,delta_front_end_mean_ms_positive_rounds,delta_front_end_mean_ms_negative_rounds,delta_front_end_mean_ms_values,delta_time_mean_ready_queue_mean,delta_time_mean_ready_queue_SD,delta_time_mean_ready_queue_positive_rounds,delta_time_mean_ready_queue_negative_rounds,delta_time_mean_ready_queue_values,delta_time_mean_unfinished_backlog_mean,delta_time_mean_unfinished_backlog_SD,delta_time_mean_unfinished_backlog_positive_rounds,delta_time_mean_unfinished_backlog_negative_rounds,delta_time_mean_unfinished_backlog_values,delta_calendar_completed_fps_mean,delta_calendar_completed_fps_SD,delta_calendar_completed_fps_positive_rounds,delta_calendar_completed_fps_negative_rounds,delta_calendar_completed_fps_values
A,0,6,whole_phase,FIXED_C2,5,0.822222222222221,2.29142254592003,3,2,"[3.000000000000007, 2.7777777777777715, -1.44444444444445, 1.5555555555555571, -1.7777777777777786]",22.2,61.8684087398407,3,2,"[81, 75, -39, 42, -48]",2.7612887697037,5.44408936054101,3,2,"[8.101237052222224, 6.198279839259261, -4.36011564296296, 5.548744793333331, -1.681702193333333]",20.2856903500001,42.2065073989423,3,2,"[68.06540295, 39.59693399999979, -38.811782699999526, 38.02915105000005, -5.451253549999976]",0.00915257503703693,0.0369399664203833,3,2,"[0.04087114037037054, 0.051812624444444566, -0.02623533185185245, 0.007261988518518336, -0.027947546296296366]",0.076134969999999,0.338315861603089,3,2,"[0.1386017499999994, 0.48668164999999775, -0.06662580000000062, 0.23540479999999953, -0.41338755000000127]",3.48590644162963,7.09300321142843,3,2,"[10.702178520740738, 8.080646081111098, -6.022212336296299, 6.517794915555555, -1.8488749729629603]",29.9291406600001,53.2710591273628,3,2,"[76.56986075000017, 64.94819835000007, -47.39403899999982, 59.07581115000005, -3.5541279499998097]",0.672873779481481,1.45425125307733,4,1,"[2.3231302692592597, 1.611664604444444, -1.4704493474074067, 0.7342150292592589, 0.16580834185185145]",0.0425913174074058,0.258446814725225,3,2,"[0.23694005888888903, 0.21888901296296126, -0.1654120140740769, 0.22757310444444379, -0.30503357518518825]",0.497031978546667,0.979936084897381,3,2,"[1.4582226693999996, 1.1156903710666666, -0.7848208157333332, 0.9987740628000004, -0.30270639479999994]",0.627420872106667,1.27694438962949,3,2,"[1.9263822464000002, 1.4544842508000002, -1.0844945152000003, 1.1735646478000001, -0.33283226926666654]",0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
A,0,6,whole_phase,FIXED_C4,5,2.78518518518518,2.25643417783516,4,1,"[4.518518518518526, 4.8148148148148096, -0.8518518518518547, 2.6666666666666714, 2.7777777777777715]",75.2,60.9237228015491,4,1,"[122, 130, -23, 72, 75]",10.4784928878519,4.5885297231984,5,0,"[13.547669051481485, 15.143921664074076, 3.322824067407412, 11.1003898237037, 9.27765983259259]",72.11706213,41.6394278259877,5,0,"[101.03908375000012, 105.8225079999998, 1.8876137000001023, 74.98079624999998, 76.85530895000002]",-5.70140643340741,0.132540156276353,0,5,"[-5.536540041111113, -5.647092454814814, -5.868515131481482, -5.80111584037037, -5.653768699259258]",-8.41805542,0.225292498409556,0,5,"[-8.41476345, -8.046174849999995, -8.51725355, -8.647693149999995, -8.4643921]",3.41657536785185,8.92033339424792,4,1,"[9.327947888518516, 10.057239649259245, -11.916822432222226, 5.171653785185185, 4.442857948518515]",57.4419858200004,85.5264141529757,4,1,"[101.2994996500014, 120.81972444999998, -91.93727604999992, 70.87762500000039, 86.1503560500003]",-1.08336480814815,4.09048921756324,3,2,"[1.4319754392592592, 0.8422069362962952, -8.324012371481482, -0.20666443407407398, 0.8396703892592592]",-0.277146278444445,0.450487187111504,1,4,"[-0.1151565611111085, -0.28179649629629644, -1.0471189966666685, 0.0790442359259238, -0.020703574074076414]",1.88612871981333,0.825935350175712,5,0,"[2.4385804292666666, 2.725905899533333, 0.5981083321333336, 1.998070168266667, 1.6699787698666668]",0.614857437413333,1.60611888412401,4,1,"[1.6793208294, 1.8105343745333338, -2.1458970348, 0.9310178039999997, 0.7993112139333336]",-0.0133333333333326,0.0298142396999955,0,1,"[0.0, 0.0, 0.0, 0.0, -0.06666666666666288]"
A,1,7,whole_phase,FIXED_C2,5,1.54285714285714,0.787787868256186,5,0,"[0.25396825396826017, 1.650793650793645, 2.4126984126984112, 1.746031746031747, 1.650793650793652]",48.6,24.8153178500699,5,0,"[8, 52, 76, 55, 52]",-4.3368195648254,0.246807842963149,0,5,"[-4.739417193015873, -4.162864448571427, -4.17656382920635, -4.410540346984124, -4.194712006349207]",-7.10811206,0.387853365145087,0,5,"[-7.683561900000006, -7.0153113499999975, -6.9845509, -7.230418200000004, -6.6267179500000015]",6.4420852824127,0.0518788813244234,5,0,"[6.416052681587303, 6.497064084126983, 6.365302666031745, 6.469579581904762, 6.4624273984127]",8.41060316,0.0824488486247883,5,0,"[8.274154299999998, 8.471269800000004, 8.431662399999999, 8.4763816, 8.3995477]",2.56540427295238,0.224942918685934,5,0,"[2.2123674892063505, 2.8121421380952363, 2.672910570158731, 2.616397042222225, 2.513204125079369]",-0.122208369999998,0.668253308926781,3,2,"[-1.2821894499999829, 0.32984324999999615, 0.32806600000001396, 0.020815749999997024, -0.00757740000001661]",0.256525508507936,0.0404659450448363,5,0,"[0.23757926380952354, 0.2915842501587299, 0.19442197015873008, 0.28439226412698426, 0.27464979428571423]",0.203613046857144,0.137521424666704,4,1,"[0.2981527368253971, 0.18635825238095372, 0.2897497631746049, 0.272965543174605, -0.029161061269839195]",-0.910451621586667,0.0518455210559011,0,5,"[-0.9950523632666668, -0.8738763677999999, -0.8768970675333334, -0.9258677050666666, -0.8805646042666668]",0.538570111773333,0.0475775758349692,5,0,"[0.46379729013333293, 0.5907761396, 0.5618908758666663, 0.5480398626000005, 0.5283463906666661]",0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
A,1,7,whole_phase,FIXED_C4,5,0.107936507936508,0.642259177117844,2,3,"[-0.41269841269841123, -0.2857142857142918, 1.047619047619051, 0.5079365079365061, -0.31746031746031633]",3.4,20.231164079212,2,3,"[-13, -9, 33, 16, -10]",-0.00778324552380916,0.117542669858577,2,3,"[0.04082214793650785, 0.15540395523809547, -0.1519011596825397, -0.0816996688888878, -0.0015415022222216024]",0.0663327500000001,0.364610384016903,2,3,"[-0.04345565000000029, 0.5328986000000029, -0.33562069999999977, -0.17512350000000154, 0.3529649999999993]",-0.0260349357460321,0.1113210295176,2,3,"[0.06969649079365148, 0.09158168253968135, -0.15508129809524007, -0.12459925523809545, -0.011772298730157615]",0.0305640500000003,0.0877605601056575,3,2,"[-0.06992149999999953, 0.14489774999999838, 0.036536550000001, -0.04019865000000067, 0.08150610000000214]",-0.0399449826031727,0.100458024652982,2,3,"[0.078878633333332, -0.040979921587300794, -0.046695473333329574, 0.004627950793654634, -0.19555610222221986]",-0.00309471000000627,0.188207808930697,2,3,"[-0.11899069999999767, -0.06257970000000057, 0.0548493499999978, -0.183609550000007, 0.2948570499999761]",0.00687928222222218,0.0380168413605907,3,2,"[0.02610771238095233, -0.003504651111111201, -0.05535801650793648, 0.03204510984126996, 0.035106256507936306]",-0.013006083555555,0.256065355064954,2,3,"[-0.05774771777777943, -0.2844609082539691, 0.315645000952383, 0.1788817650793657, -0.2173485577777754]",-0.00162880165333341,0.0246868996551068,2,3,"[0.008601050599999827, 0.03263483059999994, -0.0318992435333334, -0.017156930466666775, -0.00032371546666665196]",-0.00760659796000009,0.0206085806914373,2,3,"[0.01604757226666642, -0.0072267118666662356, -0.0075814206000002216, 0.0009764792666668853, -0.04024890886666732]",0.0666666666666629,0.0471404520791005,4,0,"[0.13333333333332575, 0.06666666666666288, 0.06666666666666288, 0.0, 0.06666666666666288]"
A,2,6,whole_phase,FIXED_C2,5,0.140740740740738,0.644380584319984,2,2,"[1.185185185185187, 0.0, -0.5555555555555642, -0.11111111111111427, 0.18518518518518334]",3.8,17.3982757766395,2,2,"[32, 0, -15, -3, 5]",0.0714750540740743,0.134867560272184,3,2,"[0.18654715888888784, 0.1159999100000002, -0.0843353918518508, -0.0593540774074075, 0.1985176707407419]",0.115637649999999,0.208355623887285,3,2,"[0.17061634999999953, 0.24114454999999246, -0.13200264999999867, -0.06443545000000128, 0.36286545000000103]",0.0369608091851855,0.0323538972679738,4,1,"[0.07081498259259256, 0.04975521074074152, -0.011059366296295892, 0.020758462592594285, 0.05453475629629523]",-0.0426832099999995,0.106378920770126,3,2,"[0.04031630000000064, 0.028147450000000518, -0.20284514999999992, -0.1015177499999993, 0.022483100000000533]",0.0804620180740749,0.141237894296027,4,1,"[0.2780844322222258, 0.03460502481481953, -0.08086646888889604, 0.005989270740744956, 0.16449783148148]",0.139310130000001,0.161133593736154,3,2,"[0.17940005000000525, -0.015214800000002526, -0.038771049999994034, 0.24154994999999957, 0.3295864999999978]",-0.0144779387407407,0.0209339664037508,2,3,"[0.006906815925925902, -0.042347087037037046, -0.027460528888888835, -0.013713762962962894, 0.004224869259259134]",-0.0134959064444448,0.0723463313482114,3,2,"[0.013815474814814266, -0.08880300888889003, 0.04198881814815003, 0.05829864851851774, -0.09277946481481614]",0.0125850227066667,0.0242610919662247,3,2,"[0.03335324133333328, 0.02055481740000009, -0.015361707133333402, -0.011029501733333502, 0.03540826366666683]",0.0145905886533335,0.0255459734983704,4,1,"[0.050815191133333215, 0.006148309066666968, -0.014850517933333585, 0.002027098066666788, 0.02881286293333396]",-0.0266666666666652,0.036514837167009,0,2,"[0.0, 0.0, 0.0, -0.06666666666666288, -0.06666666666666288]"
A,2,6,whole_phase,FIXED_C4,5,-0.200000000000001,0.511593974809837,2,3,"[0.44444444444444287, -0.3333333333333357, -0.6666666666666714, -0.6666666666666643, 0.22222222222222143]",-5.4,13.8130373198656,2,3,"[12, -9, -18, -18, 6]",3.08672722948148,0.165983959000716,5,0,"[3.329391964074074, 3.171209317407408, 2.9297447603703715, 2.951356620740742, 3.051933484814816]",0.92572595,0.399587604427169,5,0,"[1.448696550000001, 1.1064282499999987, 0.4330411000000023, 0.636475149999999, 1.0039887000000007]",-5.51186875896296,0.0662740230254924,0,5,"[-5.417408149259261, -5.493526127037036, -5.585127805185186, -5.564511558148148, -5.498770155185181]",-8.56417128,0.180776688624945,0,5,"[-8.4175156, -8.54264615, -8.728593299999996, -8.768174349999997, -8.363927]",-2.49569844207407,0.169407253521421,0,5,"[-2.2145000140740763, -2.668631007777769, -2.5264759937037056, -2.5038847411111114, -2.5650004537037034]",-0.255520819999997,0.193563222788525,1,4,"[0.018193250000010153, -0.4505881499999944, -0.43236974999999944, -0.1864340999999996, -0.22640535000000028]",-0.0299717582962963,0.0261971530198855,1,4,"[0.015026015185185204, -0.041330726296296305, -0.029248865555555503, -0.04667731444444434, -0.047627900370370346]",-0.0405851542962971,0.199444485505792,2,3,"[-0.14150984407407563, -0.3049834718518536, 0.15815591666666684, 0.15594751074073976, -0.07053588296296276]",0.5556052214,0.0298667336505495,5,0,"[0.5992621539999999, 0.5708176771333333, 0.5273540568666667, 0.5312441917333333, 0.5493480272666668]",-0.449794589573333,0.0314047166526559,0,5,"[-0.3978568152666666, -0.48232000480000004, -0.45605201446666666, -0.45071925366666665, -0.4620248596666663]",-0.0666666666666629,0.0666666666666629,0,3,"[-0.13333333333332575, -0.13333333333332575, -0.06666666666666288, 0.0, 0.0]"
A,3,7,whole_phase,FIXED_C2,5,1.54285714285714,1.21438426822799,4,1,"[2.5714285714285694, 1.4603174603174622, 1.7777777777777786, 2.3809523809523867, -0.4761904761904745]",48.6,38.2531044491816,4,1,"[81, 46, 56, 75, -15]",-4.13300521161905,0.159740799005095,0,5,"[-4.064999167936507, -3.955947700317461, -4.265193263492065, -4.0440982238095255, -4.334787702539682]",-6.96724382,0.290047978323857,0,5,"[-7.042823349999997, -6.622122899999997, -7.40997855, -6.862227099999991, -6.89906719999999]",6.51196685244444,0.0691264639192756,5,0,"[6.544944597142857, 6.595717755238098, 6.4730304952380955, 6.529948939365081, 6.416192475238095]",8.33782343,0.260943168120092,5,0,"[8.42132105, 8.4620211, 8.422546699999998, 8.50787045, 7.87535785]",2.71176836234921,0.551088621374841,5,0,"[3.1752696834920613, 2.7890880946031764, 2.725931228888893, 3.0822650968253917, 1.7862877079365092]",0.0328798000000049,1.17147307598094,4,1,"[0.7198025500000185, 0.4532903500000032, 0.26435830000000493, 0.7582853500000013, -2.0313375500000035]",0.244817216126984,0.0444546434750639,5,0,"[0.2869845673015873, 0.21785863873015876, 0.21508083841269843, 0.2990396866666667, 0.2051223495238096]",0.0879895053968244,0.37523875844024,3,2,"[0.40833968698412626, -0.06854059904762089, 0.30301315873015966, 0.29737469460317456, -0.5002394142857174]",-0.867252142586667,0.0335313808439497,0,5,"[-0.8535470390000002, -0.8294697098000001, -0.8948566523333332, -0.8489045202666667, -0.9094827915333332]",0.57044964724,0.114650153420318,5,0,"[0.6652018586000006, 0.5879165106666671, 0.5739774727333335, 0.6478249306000006, 0.37732746359999947]",0.0399999999999977,0.153478192442961,3,1,"[-0.20000000000001705, 0.13333333333332575, 0.0, 0.06666666666666288, 0.20000000000001705]"
A,3,7,whole_phase,FIXED_C4,5,-0.0698412698412667,0.339993923441024,3,1,"[0.15873015873016527, 0.03174603174603163, 0.0, 0.12698412698413364, -0.6666666666666643]",-2.2,10.7098085883922,3,1,"[5, 1, 0, 4, -21]",0.0482591483809529,0.189612172141011,3,2,"[0.24902104190476315, 0.20773785809523826, -0.16227081841269797, -0.13276302507936588, 0.07957068539682677]",0.11074965,0.247662402479548,3,2,"[0.35727370000000036, 0.3270690500000004, -0.21717615000000023, -0.05952395000000088, 0.1461055999999985]",0.0459930850158752,0.160538373806094,3,2,"[0.17403028095238327, 0.23204679396825867, -0.1066268104761896, -0.12348783015872833, 0.05400299079365212]",0.0103362800000028,0.15968778452976,3,2,"[-0.08714019999999323, 0.18250970000000066, 0.0004951499999990006, -0.19624014999999773, 0.15205690000000516]",0.0988837326984125,0.1781837284421,3,2,"[0.37999969999999905, 0.15603500317460117, -0.06965276666666398, 0.04481200031745658, -0.016775273333330176]",0.140903150000007,0.312890749290387,3,2,"[0.3491997000000069, 0.5392334000000076, -0.20667985000000044, -0.12125029999999981, 0.14401280000002004]",-0.00250669193650794,0.0385682648186029,2,3,"[0.04657702063492053, -0.04039957396825389, -0.04091172761904771, 0.022495795873015867, -0.00029497460317451374]",0.007138191238095,0.237059472285541,2,3,"[-0.08962864349206257, -0.24335007492063632, 0.24015658984127164, 0.2785670596825405, -0.1500539749206382]",0.0100602606666667,0.0397107102870604,3,2,"[0.05187881059999988, 0.04362495020000012, -0.034076871866666636, -0.02788023526666672, 0.01675464966666662]",0.0208741592533332,0.036638327451844,3,2,"[0.0780137688, 0.033258041799999916, -0.014884298133333473, 0.011149384866667056, -0.0031661010666672595]",-0.0133333333333383,0.109544511501039,2,1,"[-0.20000000000001705, 0.06666666666666288, 0.0, 0.0, 0.06666666666666288]"
B,0,7,whole_phase,FIXED_C2,5,-39.5111111111111,7.5917699534066,0,5,"[-27.047619047619044, -43.01587301587302, -44.92063492063492, -37.58730158730159, -44.98412698412698]",-1244.6,239.140753532308,0,5,"[-852, -1355, -1415, -1184, -1417]",-217.404243754159,82.2106422742341,0,5,"[-82.71440992825397, -286.7139679803175, -223.99338845619047, -212.75883902666666, -280.8406133793651]",-169.23373578,50.7398078659199,0,5,"[-124.15198660000019, -158.7242138, -168.15466045000005, -140.34841550000007, -254.7894025500004]",6.14089975930159,0.154411161503705,5,0,"[6.3183731228571425, 5.985025646984127, 6.084085267936507, 6.292166929206347, 6.024847829523807]",7.13576183,0.456891628336808,5,0,"[7.700145099999993, 6.614986749999995, 6.8614315500000025, 7.5188832499999965, 6.983362499999995]",-211.184982957905,82.6400803408569,0,5,"[-76.24952668603174, -279.34501170095234, -218.0809395926984, -204.90431737015876, -277.3451194396826]",-136.03875002,50.3517685903343,0,5,"[-92.82585610000001, -115.33300625000066, -138.67575535000012, -112.08814130000005, -221.27099110000012]",0.0459269353015872,1.31509055620294,3,2,"[-0.0528160136507938, 1.2223951180952382, 0.22456008000000072, 0.9511911165079363, -2.115695624444445]",0.032434101650793,0.436511898149616,3,2,"[0.1993261330158731, 0.1615355142857151, -0.396196484444447, 0.6111636107936498, -0.41365826539682615]",-45.4108489611867,17.1587240352671,0,5,"[-17.369764529333334, -59.7555559298, -46.70322483306667, -44.2979900586, -58.92770945513334]",-44.0859613759733,17.2437975452435,0,5,"[-16.0127998046, -58.17699206566666, -45.4350800012, -42.6204996228, -58.1844353856]",2.18666666666668,1.54589060990026,4,0,"[0.0, 3.6000000000000227, 3.133333333333354, 3.066666666666663, 1.1333333333333542]"
B,0,7,whole_phase,FIXED_C4,5,2.16507936507937,5.02617988664954,3,2,"[0.8571428571428541, 4.412698412698411, -1.5873015873015817, 9.746031746031747, -2.603174603174594]",68.2,158.324666429461,3,2,"[27, 139, -50, 307, -82]",-1.66969862526984,10.610701937431,2,3,"[-3.105749051746031, 13.16170427650794, -6.95217169460318, 3.425399840317457, -14.877676496825394]",-12.53678048,64.6535770175501,2,3,"[-29.394840200000118, 78.23489040000004, -50.056507649999986, 24.613645799999972, -86.0810907500001]",0.132512962984126,0.195135321033271,3,2,"[0.17911720031746015, 0.18841900761904817, -0.025692297777780482, 0.4057518371428568, -0.08503093238095616]",0.371694349999997,0.461099256078088,5,0,"[0.41564974999999293, 0.0751037500000038, 0.05856224999999782, 1.155803499999994, 0.1533524999999969]",-1.63199103720635,13.7540935811582,2,3,"[-4.158259633650793, 17.13839169523809, -9.082181891428569, 6.296208028888884, -18.35411338507936]",-13.2488029500002,75.1431646915279,2,3,"[-29.503328100000033, 94.26610874999932, -61.89850560000011, 26.63280720000003, -95.74109700000002]",-0.367458980571429,2.45057662896049,2,3,"[-1.2153749907936509, 3.2334316219047614, -1.8261640028571415, 0.905112118730159, -2.934299649841271]",0.272653605650794,0.814884937678798,2,3,"[-0.016252791428568614, 0.5548367892063482, -0.27815389619047615, 1.559944232698415, -0.45710630603174707]",-0.35079685912,2.22815130786853,2,3,"[-0.6522073008666665, 2.7639578980666673, -1.4599560558666669, 0.7185332274, -3.124312064333333]",-0.34313231072,2.88847163416415,2,3,"[-0.873267159200001, 3.5999204054000007, -1.9079161947333336, 1.3200789615333335, -3.8544775666]",-0.0133333333333326,0.0730296743340375,1,1,"[0.0, 0.0, 0.0, -0.13333333333335418, 0.0666666666666913]"
