trace,round,phase,K,fixed,delta_DMR_percent,delta_miss_count,contribution_to_whole_run_DMR_pp
A,1,0,6,FIXED_C2,3.00000000000001,81,0.692307692307692
A,1,0,6,FIXED_C4,4.51851851851853,122,1.04273504273504
A,1,1,7,FIXED_C2,0.25396825396826,8,0.0683760683760684
A,1,1,7,FIXED_C4,-0.412698412698411,-13,-0.111111111111111
A,1,2,6,FIXED_C2,1.18518518518519,32,0.273504273504274
A,1,2,6,FIXED_C4,0.444444444444443,12,0.102564102564103
A,1,3,7,FIXED_C2,2.57142857142857,81,0.692307692307692
A,1,3,7,FIXED_C4,0.158730158730165,5,0.0427350427350427
B,1,0,7,FIXED_C2,-27.047619047619,-852,-7.28205128205128
B,1,0,7,FIXED_C4,0.857142857142854,27,0.230769230769231
B,1,1,6,FIXED_C2,-0.185185185185183,-5,-0.0427350427350427
B,1,1,6,FIXED_C4,-0.518518518518519,-14,-0.11965811965812
B,1,2,7,FIXED_C2,1.49206349206349,47,0.401709401709402
B,1,2,7,FIXED_C4,0.0317460317460245,1,0.00854700854700855
B,1,3,6,FIXED_C2,-0.148148148148145,-4,-0.0341880341880342
B,1,3,6,FIXED_C4,0.703703703703702,19,0.162393162393162
B,2,0,7,FIXED_C2,-43.015873015873,-1355,-11.5811965811966
B,2,0,7,FIXED_C4,4.41269841269841,139,1.18803418803419
B,2,1,6,FIXED_C2,-4.40740740740741,-119,-1.01709401709402
B,2,1,6,FIXED_C4,-0.25925925925926,-7,-0.0598290598290598
B,2,2,7,FIXED_C2,2.34920634920635,74,0.632478632478632
B,2,2,7,FIXED_C4,1.61904761904761,51,0.435897435897436
B,2,3,6,FIXED_C2,-0.407407407407405,-11,-0.094017094017094
B,2,3,6,FIXED_C4,-0.222222222222221,-6,-0.0512820512820513
A,2,0,6,FIXED_C2,2.77777777777777,75,0.641025641025641
A,2,0,6,FIXED_C4,4.81481481481481,130,1.11111111111111
A,2,1,7,FIXED_C2,1.65079365079364,52,0.444444444444444
A,2,1,7,FIXED_C4,-0.285714285714292,-9,-0.0769230769230769
A,2,2,6,FIXED_C2,0,0,0
A,2,2,6,FIXED_C4,-0.333333333333336,-9,-0.0769230769230769
A,2,3,7,FIXED_C2,1.46031746031746,46,0.393162393162393
A,2,3,7,FIXED_C4,0.0317460317460316,1,0.00854700854700855
A,3,0,6,FIXED_C2,-1.44444444444445,-39,-0.333333333333333
A,3,0,6,FIXED_C4,-0.851851851851855,-23,-0.196581196581197
A,3,1,7,FIXED_C2,2.41269841269841,76,0.64957264957265
A,3,1,7,FIXED_C4,1.04761904761905,33,0.282051282051282
A,3,2,6,FIXED_C2,-0.555555555555564,-15,-0.128205128205128
A,3,2,6,FIXED_C4,-0.666666666666671,-18,-0.153846153846154
A,3,3,7,FIXED_C2,1.77777777777778,56,0.478632478632479
A,3,3,7,FIXED_C4,0,0,0
B,3,0,7,FIXED_C2,-44.9206349206349,-1415,-12.0940170940171
B,3,0,7,FIXED_C4,-1.58730158730158,-50,-0.427350427350427
B,3,1,6,FIXED_C2,-5.77777777777778,-156,-1.33333333333333
B,3,1,6,FIXED_C4,-0.25925925925926,-7,-0.0598290598290598
B,3,2,7,FIXED_C2,2.31746031746032,73,0.623931623931624
B,3,2,7,FIXED_C4,-0.412698412698411,-13,-0.111111111111111
B,3,3,6,FIXED_C2,-0.111111111111107,-3,-0.0256410256410256
B,3,3,6,FIXED_C4,-0.592592592592588,-16,-0.136752136752137
B,4,0,7,FIXED_C2,-37.5873015873016,-1184,-10.1196581196581
B,4,0,7,FIXED_C4,9.74603174603175,307,2.62393162393162
B,4,1,6,FIXED_C2,-6,-162,-1.38461538461538
B,4,1,6,FIXED_C4,0.925925925925924,25,0.213675213675214
B,4,2,7,FIXED_C2,9.96825396825397,314,2.68376068376068
B,4,2,7,FIXED_C4,11.4603174603175,361,3.08547008547009
B,4,3,6,FIXED_C2,1.51851851851852,41,0.35042735042735
B,4,3,6,FIXED_C4,0.407407407407405,11,0.094017094017094
A,4,0,6,FIXED_C2,1.55555555555556,42,0.358974358974359
A,4,0,6,FIXED_C4,2.66666666666667,72,0.615384615384615
A,4,1,7,FIXED_C2,1.74603174603175,55,0.47008547008547
A,4,1,7,FIXED_C4,0.507936507936506,16,0.136752136752137
A,4,2,6,FIXED_C2,-0.111111111111114,-3,-0.0256410256410256
A,4,2,6,FIXED_C4,-0.666666666666664,-18,-0.153846153846154
A,4,3,7,FIXED_C2,2.38095238095239,75,0.641025641025641
A,4,3,7,FIXED_C4,0.126984126984134,4,0.0341880341880342
A,5,0,6,FIXED_C2,-1.77777777777778,-48,-0.41025641025641
A,5,0,6,FIXED_C4,2.77777777777777,75,0.641025641025641
A,5,1,7,FIXED_C2,1.65079365079365,52,0.444444444444444
A,5,1,7,FIXED_C4,-0.317460317460316,-10,-0.0854700854700855
A,5,2,6,FIXED_C2,0.185185185185183,5,0.0427350427350427
A,5,2,6,FIXED_C4,0.222222222222221,6,0.0512820512820513
A,5,3,7,FIXED_C2,-0.476190476190474,-15,-0.128205128205128
A,5,3,7,FIXED_C4,-0.666666666666664,-21,-0.179487179487179
B,5,0,7,FIXED_C2,-44.984126984127,-1417,-12.1111111111111
B,5,0,7,FIXED_C4,-2.60317460317459,-82,-0.700854700854701
B,5,1,6,FIXED_C2,-0.888888888888893,-24,-0.205128205128205
B,5,1,6,FIXED_C4,0.25925925925926,7,0.0598290598290598
B,5,2,7,FIXED_C2,1.33333333333333,42,0.358974358974359
B,5,2,7,FIXED_C4,0.222222222222221,7,0.0598290598290598
B,5,3,6,FIXED_C2,0.296296296296291,8,0.0683760683760684
B,5,3,6,FIXED_C4,-0.148148148148152,-4,-0.0341880341880342
