acquisition_id,round,trace,policy,phase,K,window,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_01,1,B,FIXED_C4,0,7,startup,0,1,210,210,100,252.980311361905,311.04786485,326.70145412,157.89622482381,201.5818,205.84201516,17.8377953333333,21.8349823,55.55632276,51.8760953047619,194.9274208,203.25054077,25.3701959,33.1146269,236.03944816,167,29.898702492,49,49.173017978,67,48.964817655,67,3.052594333,4
primary_01,1,B,FIXED_C4,0,7,phase_remainder,1,15,2940,1477,50.2380952380952,43.4196346323129,122.75053525,184.55934673,14.0693249,88.0903840499998,150.44021058,14.9963076034014,19.01582965,21.92215108,0.984099543877551,3.59715025,5.83095742,13.369902585034,17.4451479,19.59380025,212.857142857143,3.18737999478571,41,9.3988276115,50,9.35355628285714,50,3.19710716964286,4
primary_01,1,B,FIXED_C4,1,6,transition,15,16,180,66,36.6666666666667,32.0972788666667,40.41847095,43.66836121,4.49022502777778,16.2964449,18.06391355,14.5259583055556,19.950848,23.39210212,0.672616588888889,2.29110035,3.82688399,12.4084789444444,15.42051925,17.37505686,182,0.808240505,3,5.796609882,12,5.765471097,12,2.633772181,4
primary_01,1,B,FIXED_C4,1,6,phase_remainder,16,30,2520,819,32.5,31.0495528563492,38.67376485,40.44713071,4.22162820833333,14.73492255,16.31990848,14.0965105805556,18.50482965,19.8592321,0.575194292063492,1.9558098,3.51618736,12.1562197753968,14.8918502,16.59678334,179.928571428571,0.7598930775,4,5.58867099607143,11,5.55877922457143,10,2.53712338642857,4
primary_01,1,B,FIXED_C4,2,7,transition,30,31,210,102,48.5714285714286,34.924982552381,45.71953155,47.76801245,5.37173468571429,15.5816905,18.13613038,14.9763166666667,19.71230055,22.59919385,1.06422202857143,3.9241399,5.97073867,13.5127091714286,17.9527586,19.90548642,207,1.126215866,3,7.299793819,13,7.241093219,13,3.112422401,4
primary_01,1,B,FIXED_C4,2,7,phase_remainder,31,45,2940,1331,45.2721088435374,34.5294738462585,45.4831304,48.20546074,5.42736520510204,15.0221272,16.85513531,14.9049843761905,18.7927083,21.18593018,0.919715670068027,3.2665034,5.10913914000001,13.277408594898,16.8777919,18.94773558,210.071428571429,1.13987872292857,9,7.25085039971429,14,7.20488505064286,14,3.12957558114286,4
primary_01,1,B,FIXED_C4,3,6,transition,45,46,180,59,32.7777777777778,30.9781167888889,38.5884479,40.43973355,4.22586444444444,15.0303658,15.71476324,14.2055251555556,18.3115903,19.97511225,0.549942344444444,2.05367055,2.76634762,11.9967848444444,15.20007495,17.53023514,182,0.7606556,4,5.609228141,10,5.582149759,10,2.590161647,4
primary_01,1,B,FIXED_C4,3,6,phase_remainder,46,60,2520,794,31.5079365079365,30.8804495392857,38.7384522,40.17912517,4.17033150198413,14.6046983,16.35268949,14.0593344888889,18.3956977,19.74945771,0.554762976984127,1.8647269,3.18427934,12.0960205714286,14.74696475,16.35316778,180,0.750659670357143,3,5.55857127328571,8,5.53044038614286,8,2.53077056421429,4
primary_02,1,A,FIXED_C2,0,6,startup,0,1,180,180,100,165.210581033333,243.51701915,258.21622496,109.181462427778,147.58117805,155.28843188,10.2542514166667,14.74229205,24.0243525900002,25.6166358333333,135.6411802,158.39199526,20.1582313555556,42.5772321999999,169.63309625,160,18.86280237,34,28.773235512,40,28.706647591,40,1.670957048,2
primary_02,1,A,FIXED_C2,0,6,phase_remainder,1,15,2520,864,34.2857142857143,30.0525740865079,39.2420519,89.72162885,8.78608614047619,16.35481145,66.60987996,8.66336182738095,10.10194295,11.40162532,0.565636246031746,1.82550675,3.38129898,12.037489872619,14.8643185,16.84005073,181.285714285714,1.63791413864286,21,5.47768511342857,26,5.44882388414286,26,1.57120827342857,2
