trace,round,K,C,phase_a,phase_b,history_a,history_b,start_A_a,start_A_b,difference_start_A,start_ready_queue_a,start_ready_queue_b,difference_start_ready_queue,start_unfinished_backlog_a,start_unfinished_backlog_b,difference_start_unfinished_backlog,start_unfinished_slack_p10_ms_a,start_unfinished_slack_p10_ms_b,difference_start_unfinished_slack_p10_ms,start_unfinished_slack_median_ms_a,start_unfinished_slack_median_ms_b,difference_start_unfinished_slack_median_ms,start_unfinished_late_count_a,start_unfinished_late_count_b,difference_start_unfinished_late_count,phase_DMR_percent_a,phase_DMR_percent_b,difference_phase_DMR_percent,phase_queue_mean_ms_a,phase_queue_mean_ms_b,difference_phase_queue_mean_ms,phase_local_p95_ms_a,phase_local_p95_ms_b,difference_phase_local_p95_ms,candidate,qualification
A,1,6,2,0,2,STARTUP,K7_TO_K6,0,3,3,0,0,0,0,3,3,,-6.66666666666667e-07,,,-6.66666666666667e-07,,0,3,3,41.6666666666667,32.7407407407407,-8.92592592592593,23.5803482785185,7.49582593037037,-16.0845223481482,218.8436707,38.74671185,-180.09695885,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,2,6,2,0,2,STARTUP,K7_TO_K6,0,3,3,0,0,0,0,3,3,,-6.66666666666667e-07,,,-6.66666666666667e-07,,0,3,3,41.8888888888889,32.5185185185185,-9.37037037037037,23.3858655081482,7.4706483337037,-15.9152171744444,215.5402382,38.4360139,-177.1042243,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,3,6,2,0,2,STARTUP,K7_TO_K6,0,3,3,0,0,0,0,3,3,,-6.66666666666667e-07,,,-6.66666666666667e-07,,0,3,3,38.962962962963,32.3333333333333,-6.62962962962963,17.0930361459259,7.34446907148148,-9.74856707444445,156.1111984,38.53121905,-117.57997935,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,4,6,2,0,2,STARTUP,K7_TO_K6,0,3,3,0,0,0,0,3,3,,-6.66666666666667e-07,,,-6.66666666666667e-07,,0,3,3,41.0740740740741,32.6666666666667,-8.40740740740741,22.6159733725926,7.34291075592593,-15.2730626166667,208.82613685,38.8323427,-169.99379415,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,5,6,2,0,2,STARTUP,K7_TO_K6,0,3,3,0,0,0,0,3,3,,-6.66666666666667e-07,,,-6.66666666666667e-07,,0,3,3,38.962962962963,32.4444444444444,-6.51851851851852,17.1233460518519,7.41813785481482,-9.70520819703703,151.17276955,38.72335895,-112.4494106,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,1,7,4,1,3,K6_TO_K7,K6_TO_K7,2,2,0,0,0,0,2,2,0,-6.66666666666667e-07,-6.66666666666667e-07,0,-6.66666666666667e-07,-6.66666666666667e-07,0,2,2,0,45.2698412698413,45.3650793650794,0.0952380952380949,5.49974649396825,5.66326033142857,0.163513837460317,45.3225286,45.4530613,0.130532700000003,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,2,7,4,1,3,K6_TO_K7,K6_TO_K7,2,2,0,0,0,0,2,2,0,-6.66666666666667e-07,-6.66666666666667e-07,0,-6.66666666666667e-07,-6.66666666666667e-07,0,2,2,0,44.984126984127,44.952380952381,-0.0317460317460245,5.5764074215873,5.65848348857143,0.0820760669841265,45.21065135,45.3138771,0.10322575,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,3,7,4,1,3,K6_TO_K7,K6_TO_K7,2,2,0,0,0,0,2,2,0,-6.66666666666667e-07,-6.66666666666667e-07,0,-6.66666666666667e-07,-6.66666666666667e-07,0,2,2,0,45.5555555555556,45.3333333333333,-0.222222222222229,5.42654184285714,5.50671853460317,0.0801766917460318,45.1937365,45.2588777,0.0651411999999993,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,4,7,4,1,3,K6_TO_K7,K6_TO_K7,2,2,0,0,0,0,2,2,0,-6.66666666666667e-07,-6.66666666666667e-07,0,-6.66666666666667e-07,-6.66666666666667e-07,0,2,2,0,46,45.2698412698413,-0.730158730158728,5.51672084476191,5.52973721523809,0.0130163704761888,45.5024335,45.5307268,0.0282933000000014,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
A,5,7,4,1,3,K6_TO_K7,K6_TO_K7,2,2,0,0,0,0,2,2,0,-6.66666666666667e-07,-6.66666666666667e-07,0,-6.66666666666667e-07,-6.66666666666667e-07,0,2,2,0,45.4603174603175,45.0793650793651,-0.38095238095238,5.49582631619048,5.63270274190476,0.136876425714287,45.59912885,45.51275925,-0.0863695999999834,CURRENT_K_STATE_ALIASING_CANDIDATE,descriptive paired history contrast; no substantial-effect cutoff or causal proof
