acquisition_id,round,trace,policy,second,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_01,1,B,FIXED_C4,0,85498225180489,RIGHT_CONTINUOUS,4,0,0,7,0,7,0,7,0,85498125200711,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,,,,,0,,0,0,,,,,0,,0,0
primary_01,1,B,FIXED_C4,1,85499225180489,RIGHT_CONTINUOUS,4,4,39,50,43,7,4,7,758,85499222038778,-200.000000666667,-166.666666666667,-66.6666666666667,33.3333333333333,43,0.86,0,0,-166.666666666667,-140.000000266667,-66.6666666666667,-6.66666666666667e-07,39,1,0,0,-200.000000666667,-166.666666666667,-100.000000666667,-6.66666666666667e-07,43,1,0,0
primary_01,1,B,FIXED_C4,2,85500225180489,RIGHT_CONTINUOUS,4,4,13,24,17,7,4,7,1650,85500221943854,-66.6666666666667,-56.6666667666667,-6.66666666666667e-07,33.3333333333333,17,0.708333333333333,0,0,-33.3333336666667,-33.3333336666667,-6.66666666666667e-07,-6.66666666666667e-07,13,1,0,0,-66.6666666666667,-66.6666666666667,-33.3333336666667,-6.66666666666667e-07,17,1,0,0
primary_01,1,B,FIXED_C4,3,85501225180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,2517,85501220664967,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,4,85502225180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,3357,85502219706166,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,5,85503225180489,RIGHT_CONTINUOUS,4,4,1,12,5,7,4,7,4194,85503222386424,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,5,0.416666666666667,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,5,1,0,0
primary_01,1,B,FIXED_C4,6,85504225180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,5037,85504223255974,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,7,85505225180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,5877,85505223292768,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,8,85506225180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,6717,85506223978087,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
primary_01,1,B,FIXED_C4,9,85507225180489,RIGHT_CONTINUOUS,4,3,0,10,3,7,3,7,7557,85507221636142,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,3,0.3,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,3,1,0,0
