K,reference_C,tested_C,scope,deadline_miss_pp_delta,deadline_miss_pp_tested_C_improved,local_latency_mean_ms_delta,local_latency_mean_ms_tested_C_improved,local_latency_p95_ms_delta,local_latency_p95_ms_tested_C_improved,local_latency_p99_ms_delta,local_latency_p99_ms_tested_C_improved,queue_wait_mean_ms_delta,queue_wait_mean_ms_tested_C_improved,queue_wait_p95_ms_delta,queue_wait_p95_ms_tested_C_improved,inference_mean_ms_delta,inference_mean_ms_tested_C_improved,inference_p95_ms_delta,inference_p95_ms_tested_C_improved,deadline_miss_pp_tested_C_improved_count,local_latency_mean_ms_tested_C_improved_count,local_latency_p95_ms_tested_C_improved_count,local_latency_p99_ms_tested_C_improved_count,queue_wait_mean_ms_tested_C_improved_count,queue_wait_p95_ms_tested_C_improved_count,inference_mean_ms_tested_C_improved_count,inference_p95_ms_tested_C_improved_count
5,2,4,run01,3.444444444444444,False,3.6262424755555536,False,1.3732650500000005,False,10.072335170000002,False,-3.682110998222222,True,-0.3000759500000001,True,6.523403981333333,False,9.156635249999999,False,,,,,,,,
5,2,4,run02,0.9555555555555553,False,2.975548909999997,False,0.4634456,False,14.265533559999994,False,-3.6671878824444444,True,-1.103656149999999,True,6.201698954222222,False,8.564758349999998,False,,,,,,,,
5,2,4,two_run_mean,2.1999999999999997,,3.3008956927777753,,0.9183553250000003,,12.168934364999998,,-3.674649440333333,,-0.7018660499999996,,6.362551467777777,,8.8606968,,0,0,0,0,2,2,0,0
5,4,7,run01,35.31111111111112,False,10.10820498266667,False,7.168235249999995,False,194.92505701,False,-3.0752349524444442,True,-14.3009148,True,4.212611045333334,False,7.016229000000003,False,,,,,,,,
5,4,7,run02,16.955555555555556,False,10.341390247333337,False,4.4944526000000025,False,203.99638281999998,False,-2.9578864731111114,True,-13.2127806,True,6.065920595555557,False,6.2951413500000015,False,,,,,,,,
5,4,7,two_run_mean,26.133333333333336,,10.224797615000004,,5.831343924999999,,199.46071991499997,,-3.016560712777778,,-13.7568477,,5.139265820444446,,6.655685175000002,,0,0,0,0,2,2,0,0
5,2,7,run01,38.75555555555556,False,13.734447458222224,False,8.541500299999996,False,204.99739218,False,-6.757345950666666,True,-14.60099075,True,10.736015026666667,False,16.172864250000003,False,,,,,,,,
5,2,7,run02,17.91111111111111,False,13.316939157333334,False,4.9578982000000025,False,218.26191637999997,False,-6.625074355555555,True,-14.31643675,True,12.267619549777779,False,14.8598997,False,,,,,,,,
5,2,7,two_run_mean,28.333333333333336,,13.525693307777779,,6.749699249999999,,211.62965427999998,,-6.691210153111111,,-14.45871375,,11.501817288222224,,15.516381975000002,,0,0,0,0,2,2,0,0
6,2,4,run01,1.2037037037037024,False,1.869229430740738,False,0.029035600000000272,False,-4.693611349999998,True,-5.232839545,True,-0.5103707000000028,True,5.813746517962963,False,8.623025100000001,False,,,,,,,,
6,2,4,run02,0.94444444444445,False,4.950809088703707,False,-16.77115475,True,93.52954468000001,False,-4.675282682222222,True,-16.133301200000002,True,5.606297014259258,False,8.18376405,False,,,,,,,,
6,2,4,two_run_mean,1.0740740740740762,,3.4100192597222225,,-8.371059575,,44.41796666500001,,-4.954061113611111,,-8.321835950000002,,5.710021766111111,,8.403394575,,0,0,1,1,2,2,0,0
6,4,7,run01,49.98148148148149,False,20.48591891740741,False,176.2481752,False,276.18425285,False,-5.531509877407407,True,-15.455355349999998,True,9.15027781351852,False,8.559614749999998,False,,,,,,,,
6,4,7,run02,45.14814814814814,False,21.81477191111111,False,240.7070798,False,207.90940217000002,False,-7.260109231851852,True,-16.0242177,True,8.408505839074076,False,9.514820199999999,False,,,,,,,,
6,4,7,two_run_mean,47.56481481481481,,21.15034541425926,,208.47762749999998,,242.04682751,,-6.395809554629629,,-15.739786525,,8.779391826296298,,9.037217474999999,,0,0,0,0,2,2,0,0
6,2,7,run01,51.18518518518519,False,22.35514834814815,False,176.27721079999998,False,271.49064150000004,False,-10.764349422407406,True,-15.96572605,True,14.964024331481482,False,17.18263985,False,,,,,,,,
6,2,7,run02,46.09259259259259,False,26.765580999814816,False,223.93592505,False,301.43894685000004,False,-11.935391914074074,True,-32.1575189,True,14.014802853333334,False,17.69858425,False,,,,,,,,
6,2,7,two_run_mean,48.638888888888886,,24.560364673981482,,200.10656792499998,,286.46479417500007,,-11.34987066824074,,-24.061622475,,14.48941359240741,,17.44061205,,0,0,0,0,2,2,0,0
7,2,4,run01,-26.52380952380952,True,-82.39734715444445,True,-131.5150222,True,-26.325840389999996,True,-90.26428229507937,True,-159.0910714,True,5.984285903650795,False,6.8032230999999985,False,,,,,,,,
7,2,4,run02,-48.82539682539682,True,-188.08931966793648,True,-142.77662095,True,-40.94323406999999,True,-193.9611471963492,True,-166.63323915,True,5.789508941746032,False,5.512606799999999,False,,,,,,,,
7,2,4,two_run_mean,-37.67460317460317,,-135.24333341119046,,-137.145821575,,-33.63453722999999,,-142.1127147457143,,-162.86215527500002,,5.886897422698413,,6.1579149499999986,,2,2,2,2,2,2,0,0
7,4,7,run01,48.93650793650794,False,65.26472369142857,False,381.52812625,False,377.22091088,False,-11.54116853952381,True,-77.59075575,True,11.878580448730157,False,13.747666000000002,False,,,,,,,,
7,4,7,run02,45.82539682539682,False,59.9549373768254,False,384.24794905,False,395.54272435000007,False,-11.312351945873015,True,-68.54194544999999,True,11.660464936666669,False,13.402463349999998,False,,,,,,,,
7,4,7,two_run_mean,47.38095238095238,,62.609830534126985,,382.88803765,,386.38181761500005,,-11.426760242698412,,-73.06635059999999,,11.769522692698413,,13.575064675,,0,0,0,0,2,2,0,0
7,2,7,run01,22.41269841269842,False,-17.132623463015875,True,250.01310404999998,False,350.89507049,False,-101.80545083460318,True,-236.68182715,True,17.86286635238095,False,20.5508891,False,,,,,,,,
7,2,7,run02,-3.0,True,-128.13438229111108,True,241.4713281,False,354.59949028000005,False,-205.27349914222222,True,-235.1751846,True,17.4499738784127,False,18.91507015,False,,,,,,,,
7,2,7,two_run_mean,9.70634920634921,,-72.63350287706348,,245.742216075,,352.74728038500007,,-153.5394749884127,,-235.92850587499998,,17.656420115396827,,19.732979625,,1,2,0,0,2,2,0,0
