sequence,rep,C,valid,exit_code,retried,started_utc_ns,finished_utc_ns,elapsed_seconds,throughput_qps,latency_min_ms,latency_max_ms,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,enqueue_min_ms,enqueue_max_ms,enqueue_mean_ms,enqueue_median_ms,enqueue_p90_ms,enqueue_p95_ms,enqueue_p99_ms,h2d_min_ms,h2d_max_ms,h2d_mean_ms,h2d_median_ms,h2d_p90_ms,h2d_p95_ms,h2d_p99_ms,gpu_compute_min_ms,gpu_compute_max_ms,gpu_compute_mean_ms,gpu_compute_median_ms,gpu_compute_p90_ms,gpu_compute_p95_ms,gpu_compute_p99_ms,d2h_min_ms,d2h_max_ms,d2h_mean_ms,d2h_median_ms,d2h_p90_ms,d2h_p95_ms,d2h_p99_ms,timing_rows,multi_stream_latency_warning
1,1,1,True,0,False,1789102302752113895,1789102335700083074,32.947975216,238.728,3.96094,4.48682,4.18018,4.17383,4.30908,4.34326,4.4043,2.04492,3.55859,2.5892,2.51904,3.00977,3.03711,3.0625,0.0234375,0.238281,0.0541675,0.0429688,0.0820312,0.118164,0.197266,3.91992,4.41504,4.1207,4.11621,4.2373,4.27148,4.33105,0.00195312,0.0292969,0.00531526,0.00585938,0.00683594,0.0078125,0.0151367,7165,False
2,1,2,True,0,False,1789102335863577067,1789102368650901466,32.787328353,238.335,4.30469,5.54883,5.07886,5.17383,5.35547,5.38867,5.44727,2.30078,3.0708,2.61695,2.55469,2.92188,2.94922,3.01172,0.0332031,0.161377,0.0549186,0.0488281,0.0722656,0.0869141,0.105469,4.23828,5.46484,5.01413,5.10742,5.29102,5.32617,5.37891,0.00195312,0.0761719,0.00982025,0.00683594,0.0214844,0.0253906,0.03125,7155,True
3,1,3,True,0,False,1789102368807365446,1789102401737401906,32.930040405,243.163,4.22949,6.01953,5.05203,5.11963,5.29395,5.33887,5.4209,2.19336,3.1377,2.40343,2.375,2.68359,2.73096,2.80151,0.029541,0.173828,0.0603847,0.0527344,0.0898438,0.105957,0.149414,4.17676,5.95312,4.98188,5.05078,5.22266,5.26562,5.34277,0.00195312,0.0644531,0.00975379,0.00585938,0.0219727,0.0273438,0.0351562,7300,True
4,1,4,True,0,False,1789102401906626006,1789102435029550673,33.122928445,241.317,4.31641,5.56641,5.14007,5.19531,5.35547,5.39844,5.46338,1.81836,3.16992,2.27497,2.24805,2.39746,2.59961,2.65039,0.0305176,0.156738,0.0540394,0.0507812,0.0712891,0.0761719,0.107422,4.2749,5.50586,5.07629,5.13086,5.29297,5.33984,5.40625,0.00195312,0.0703125,0.00974446,0.00585938,0.0219727,0.0273438,0.0322266,7248,True
5,1,5,True,0,False,1789102435191015576,1789102468496788718,33.305777086,245.148,4.23242,6.09106,5.07904,5.12012,5.29688,5.37109,5.46973,1.76074,3.1377,2.10792,2.08984,2.17676,2.41992,2.4668,0.0322266,0.136719,0.0565292,0.0524902,0.0703125,0.0756836,0.103516,4.18359,6.02979,5.01347,5.05566,5.23438,5.30957,5.41016,0.00195312,0.0878906,0.00903743,0.00585938,0.0195312,0.0258789,0.0332031,7366,True
6,1,6,True,0,False,1789102468657750039,1789102502096045534,33.438299681,241.178,4.24414,6.30859,5.15827,5.19922,5.37109,5.43262,5.53711,1.61523,3.2207,2.06398,2.0459,2.17773,2.3125,2.44141,0.0371094,0.163086,0.0587302,0.0546875,0.0751953,0.0996094,0.112305,4.19531,6.23633,5.0895,5.13086,5.30322,5.36719,5.47656,0.00195312,0.0771484,0.0100495,0.00585938,0.0244141,0.0275879,0.0332031,7243,True
7,1,7,True,0,False,1789102502263337783,1789102535961194607,33.697860268,245.671,4.24414,5.55713,5.0625,5.10498,5.26953,5.3291,5.4248,1.75195,5.41797,2.02823,1.98254,2.11719,2.3291,4.60742,0.0292969,0.146484,0.0572398,0.0527344,0.0732422,0.09375,0.107422,4.18164,5.50195,4.99639,5.03906,5.20361,5.26562,5.35938,0.00195312,0.0742188,0.00886968,0.00585938,0.0197754,0.0263672,0.0332031,7382,True
8,2,2,True,0,False,1789102536128737323,1789102568902219903,32.773486655,240.247,4.24805,5.55713,5.01987,5.11328,5.29688,5.33789,5.4082,1.78223,3.19824,2.62589,2.5752,2.91797,2.97729,2.99854,0.0273438,0.15918,0.0524409,0.046875,0.0722656,0.078125,0.106934,4.20703,5.45093,4.95829,5.05078,5.23779,5.27734,5.35059,0.00195312,0.0598145,0.00913693,0.00585938,0.0214844,0.0263672,0.0332031,7212,True
9,2,3,True,0,False,1789102569063040084,1789102602005864878,32.942829054,239.915,4.3208,5.58301,5.12892,5.19922,5.36133,5.39844,5.46045,2.15625,3.07666,2.42867,2.40234,2.70117,2.74805,2.7793,0.0351562,0.179688,0.0624526,0.0546875,0.0859375,0.111328,0.15332,4.27124,5.52051,5.0567,5.12695,5.2832,5.32227,5.39258,0.00195312,0.09375,0.00977422,0.00585938,0.0229492,0.0273438,0.0332031,7203,True
10,2,4,True,0,False,1789102602171199414,1789102635299723139,33.128527706,245.691,4.26221,5.71875,5.02605,5.07715,5.23242,5.27246,5.33594,1.93091,3.10059,2.25785,2.22803,2.37891,2.56641,2.59961,0.03125,0.128906,0.0536065,0.0488281,0.0703125,0.0742188,0.0996094,4.2168,5.64844,4.96404,5.01562,5.17188,5.21484,5.2793,0.00195312,0.0585938,0.00840958,0.00585938,0.0195312,0.0253906,0.0319824,7379,True
