C,K,provenance,n_runs,offered_duration_s,source_artifact,local_latency_mean_ms,local_latency_mean_ms_reference_sample_sd,local_latency_mean_ms_reference_min,local_latency_mean_ms_reference_max,local_latency_median_ms,local_latency_median_ms_reference_sample_sd,local_latency_median_ms_reference_min,local_latency_median_ms_reference_max,local_latency_p95_ms,local_latency_p95_ms_reference_sample_sd,local_latency_p95_ms_reference_min,local_latency_p95_ms_reference_max,local_latency_p99_ms,local_latency_p99_ms_reference_sample_sd,local_latency_p99_ms_reference_min,local_latency_p99_ms_reference_max,deadline_miss_pct,deadline_miss_pct_reference_sample_sd,deadline_miss_pct_reference_min,deadline_miss_pct_reference_max,start_lag_mean_ms,start_lag_mean_ms_reference_sample_sd,start_lag_mean_ms_reference_min,start_lag_mean_ms_reference_max,front_end_mean_ms,front_end_mean_ms_reference_sample_sd,front_end_mean_ms_reference_min,front_end_mean_ms_reference_max,queue_wait_mean_ms,queue_wait_mean_ms_reference_sample_sd,queue_wait_mean_ms_reference_min,queue_wait_mean_ms_reference_max,queue_wait_p95_ms,queue_wait_p95_ms_reference_sample_sd,queue_wait_p95_ms_reference_min,queue_wait_p95_ms_reference_max,inference_mean_ms,inference_mean_ms_reference_sample_sd,inference_mean_ms_reference_min,inference_mean_ms_reference_max,inference_p95_ms,inference_p95_ms_reference_sample_sd,inference_p95_ms_reference_min,inference_p95_ms_reference_max,peak_waiting_queue,peak_waiting_queue_reference_sample_sd,peak_waiting_queue_reference_min,peak_waiting_queue_reference_max,time_weighted_waiting_queue,time_weighted_waiting_queue_reference_sample_sd,time_weighted_waiting_queue_reference_min,time_weighted_waiting_queue_reference_max,max_active_inferences,max_active_inferences_reference_sample_sd,max_active_inferences_reference_min,max_active_inferences_reference_max,service_overlap_pair_count,service_overlap_pair_count_reference_sample_sd,service_overlap_pair_count_reference_min,service_overlap_pair_count_reference_max,service_overlap_time_ms,service_overlap_time_ms_reference_sample_sd,service_overlap_time_ms_reference_min,service_overlap_time_ms_reference_max
2,5,FULL_SOURCE_REFERENCE_3_RUN_MEAN,3,60,results/local_inference_concurrency/c2_vs_c4_fullsource_validation/ck_summary.csv,26.413870419074076,0.20493482469143626,26.286549802555555,26.650274404,26.86082783333333,0.10572231277068808,26.793459,26.9826785,32.2001948,0.05265826552045245,32.1620888,32.26028245,79.60540099666666,19.228567552310338,66.72193258,101.70759469,1.6111111111111112,0.07777777777777775,1.5555555555555556,1.7,1.0057241261111112,0.06584644617904165,0.9500694061111111,1.0784142611111112,10.964731954333333,0.08151211498462692,10.917253937555556,11.058852802222223,6.736861684296296,0.07747901507973011,6.687134114555556,6.826133344333333,15.24418465,0.10848625397384519,15.17333695,15.3690776,7.706552654333334,0.017673580902204205,7.6868739963333335,7.721073679222222,9.066132483333334,0.035871298825430484,9.04077465,9.10717485,33.0,2.6457513110645907,30.0,35.0,1.013574738226976,0.011816529073498805,1.0061523841269102,1.0272011487112136,2.0,0.0,2.0,2.0,7222.0,1.7320508075688772,7221.0,7224.0,30518.180136666666,50.99317230727021,30479.25711,30575.904584
3,5,NEW_FULL_SOURCE_SINGLE_RUN,1,60,results/local_inference_concurrency/c356_fullsource_sanity/c3/k5/run01/summary.json,29.360434432111113,,,,27.811733,,,,38.45182075,,,,41.20382317,,,,18.2,,,,0.9223114772222222,,,,14.364685394,,,,3.150023576666667,,,,10.2428321,,,,10.923413984222222,,,,13.8947682,,,,23,,,,0.4731996535650032,,,,3,,,,12637,,,,35129.827122,,,
4,5,FULL_SOURCE_REFERENCE_3_RUN_MEAN,3,60,results/local_inference_concurrency/c2_vs_c4_fullsource_validation/ck_summary.csv,29.985506000666668,0.7221044183020402,29.481333814444444,30.81273781088889,28.189909333333333,0.10768539708025988,28.077566,28.292237,33.3459711,0.2017424127577106,33.21195465,33.57799355,65.61990096,47.757993990104495,37.99424689,120.76604891,4.9148148148148145,0.6046459359153338,4.522222222222222,5.611111111111111,1.0934972058148147,0.3219605215919935,0.8951780607777777,1.4649814283333333,11.216168848185186,0.057522970615897964,11.155276714333333,11.269593234777778,3.396258498888889,0.28014648289246485,3.177877458,3.712123504,15.020390383333334,0.27207035119579914,14.8386867,15.3331884,14.279581447777778,0.0753564660601047,14.227847513777778,14.366039643777778,18.288119516666665,0.08505559267699936,18.20081005,18.3707261,25.666666666666668,3.2145502536643185,22.0,28.0,0.5112742225822446,0.04256845627937205,0.47813834973764685,0.5592839133787637,4.0,0.0,4.0,4.0,16320.0,25.11971337416094,16305.0,16349.0,31957.441271666667,107.96066598716585,31894.810547,32082.10303
5,5,NEW_FULL_SOURCE_SINGLE_RUN,1,60,results/local_inference_concurrency/c356_fullsource_sanity/c5/k5/run01/summary.json,34.808895879666665,,,,31.9281635,,,,36.12082275,,,,184.4897245,,,,16.58888888888889,,,,2.989433218111111,,,,11.559946971777778,,,,0.4519573878888889,,,,0.7188441,,,,19.80755830188889,,,,23.31531335,,,,20,,,,0.06818804135419747,,,,5,,,,18176,,,,38703.479321,,,
6,5,NEW_FULL_SOURCE_SINGLE_RUN,1,60,results/local_inference_concurrency/c356_fullsource_sanity/c6/k5/run01/summary.json,36.61886287111111,,,,32.0515145,,,,36.40212975,,,,272.40458556,,,,19.133333333333333,,,,4.693311808555555,,,,11.882632489222223,,,,0.3647635798888889,,,,0.81559935,,,,19.678154993444444,,,,23.3369229,,,,16,,,,0.05503920115514541,,,,6,,,,18247,,,,38659.120961,,,
7,5,BOUNDED_HISTORICAL_2_RUN_MEAN,2,30,results/local_inference_concurrency/application_c247_screening_v2/bounded_contract_campaign/ck_summary.csv,40.77534624977778,0.22483866778916375,40.61636130311111,40.93433119644445,32.37038425,0.42439099437914857,32.0702945,32.670474,39.07313755,2.572040388225595,37.25443035,40.89184475,347.17675023,12.686333745727984,338.20615761,356.14734285,30.844444444444445,14.833528920891133,20.355555555555554,41.333333333333336,7.970786494555556,0.12922505732444262,7.879410580222222,8.06216240888889,13.049439641555555,1.4197965051077723,12.04549190488889,14.053387378222222,0.5163027321111111,0.015354085376851413,0.5054457542222223,0.52715971,0.85193775,0.004974284073613049,0.8484204,0.8554551,19.238817381555556,1.0503786946173164,18.496087483777778,19.981547279333334,24.629104225,0.9174423046988905,23.98037455,25.2778339,16.0,1.4142135623730951,15.0,17.0,0.07853379718779252,0.002365371531605964,0.07686122693776834,0.08020636743781671,7.0,0.0,7.0,7.0,9310.0,57.982756057296896,9269.0,9351.0,19429.362446500003,91.14251088336998,19364.914959,19493.809934
2,6,FULL_SOURCE_REFERENCE_3_RUN_MEAN,3,60,results/local_inference_concurrency/c2_vs_c4_fullsource_validation/ck_summary.csv,30.912298016666668,1.4155665291363626,29.520229750277778,32.3502472762037,28.301189333333333,0.22891520147990024,28.0756535,28.5333405,38.99308238333333,1.6355146324765109,37.92540345,40.8759787,157.35705322666666,40.25033022930965,114.59730691,194.51007302,32.29012345679013,0.5720044333637978,31.62962962962963,32.620370370370374,1.017257905925926,0.24233399514377105,0.7812400962962963,1.2654492225925926,11.972275240617284,0.47972794083528914,11.61471080361111,12.517458403796295,9.366158276388889,0.6880996138111859,8.605220626666666,9.944646035833333,16.117247633333335,0.10704273887757906,16.0385137,16.2391305,8.556606593734568,0.057410055274509944,8.519058223703704,8.62269361398148,10.056438833333333,0.5187716161976301,9.74980435,10.6554078,40.666666666666664,9.504384952922168,31.0,50.0,1.6906092267125419,0.12536379605901612,1.5520031009855266,1.7960694160594515,2.0,0.0,2.0,2.0,9043.333333333334,11.50362261782493,9032.0,9055.0,43974.312311,118.23595528632944,43854.921684,44091.358734
3,6,NEW_FULL_SOURCE_SINGLE_RUN,1,60,results/local_inference_concurrency/c356_fullsource_sanity/c3/k6/run01/summary.json,32.92090935351852,,,,30.134206,,,,39.4855512,,,,177.3732682,,,,39.638888888888886,,,,1.0800091462962964,,,,12.127993435462963,,,,7.5621877082407405,,,,12.7077038,,,,12.150719063518519,,,,14.45169285,,,,44,,,,1.3654786789176512,,,,3,,,,16337,,,,44451.236694,,,
4,6,FULL_SOURCE_REFERENCE_3_RUN_MEAN,3,60,results/local_inference_concurrency/c2_vs_c4_fullsource_validation/ck_summary.csv,33.57184185743827,0.23695237929233506,33.308208602685184,33.76705848712963,29.323184666666666,0.10769033265146558,29.2160725,29.431444,38.9018624,0.07857218542034772,38.8288835,38.9850332,155.36514859000002,14.755507312575721,140.33376046,169.82836194,33.70061728395062,0.1767362753360554,33.5,33.833333333333336,2.0568519026851853,0.534823294286236,1.496602711111111,2.5619800287037036,12.10300935101852,0.11077365934843351,12.025875973888889,12.229942521944444,5.151331080524692,0.5819969603156917,4.789572790277778,5.822688223518519,15.625871866666667,0.20124281069388772,15.41504705,15.8159208,14.260649523209876,0.06510061492923482,14.185563146203704,14.301293849444445,18.37335835,0.06300470323999761,18.31009575,18.43610195,20.666666666666668,9.814954576223638,15.0,32.0,0.9307285986942418,0.10493626684785179,0.8655683029106379,1.0517803351894395,4.0,0.0,4.0,4.0,21791.333333333332,7.023769168568492,21784.0,21798.0,45622.545214666665,198.3731773394063,45399.056177,45777.78002
5,6,NEW_FULL_SOURCE_SINGLE_RUN,1,60,results/local_inference_concurrency/c356_fullsource_sanity/c5/k6/run01/summary.json,43.15667116638889,,,,33.0968035,,,,41.15887835,,,,407.8638611,,,,45.833333333333336,,,,9.07847360138889,,,,12.69558429462963,,,,3.0322285987962965,,,,17.1852718,,,,18.350384671574073,,,,24.11534345,,,,21,,,,0.5503015494253021,,,,5,,,,25644,,,,42107.76744,,,
6,6,NEW_FULL_SOURCE_SINGLE_RUN,1,60,results/local_inference_concurrency/c356_fullsource_sanity/c6/k6/run01/summary.json,46.47539434962963,,,,37.716108,,,,40.8473909,,,,403.24183447,,,,89.95370370370371,,,,9.318975108888889,,,,12.535898307592593,,,,0.3400100236111111,,,,0.90713795,,,,24.280510909537036,,,,27.2823136,,,,15,,,,0.06171621338290902,,,,6,,,,27420,,,,48224.992901,,,
7,6,BOUNDED_HISTORICAL_2_RUN_MEAN,2,30,results/local_inference_concurrency/application_c247_screening_v2/bounded_contract_campaign/ck_summary.csv,58.491826996851856,4.07890112696537,55.60760835018519,61.376045643518516,38.11150575,0.9032338071037462,37.472823,38.7501885,248.837022975,46.87382133343707,215.69222605,281.9818199,501.03152132,36.88258205675398,474.95159744,527.1114452,82.5,3.1688859453175002,80.25925925925925,84.74074074074075,20.666163022314816,3.8067069867934427,17.974414697962963,23.35791134666667,14.069242719537037,1.0207281334457934,13.34747893462963,14.791006504444445,0.697753857962963,0.09021452790680447,0.6339625535185185,0.7615451624074074,1.0562632,0.16709272650693077,0.9381108,1.1744156,23.058667397037038,0.6583194653670559,22.59316523888889,23.524169555185185,27.371412425,0.4290533382962448,27.0680259,27.67479895,19.0,4.242640687119285,16.0,22.0,0.12779461752316015,0.01642809866252815,0.11617819755688484,0.13941103748943545,7.0,0.0,7.0,7.0,14207.0,114.5512985522207,14126.0,14288.0,24102.877330000003,197.36559698355143,23963.318778,24242.435882
