K,run_id,local_latency_mean_ms_C1,local_latency_mean_ms_C2,local_latency_mean_ms_difference,local_latency_p95_ms_C1,local_latency_p95_ms_C2,local_latency_p95_ms_difference,local_latency_p99_ms_C1,local_latency_p99_ms_C2,local_latency_p99_ms_difference,deadline_miss_pct_C1,deadline_miss_pct_C2,deadline_miss_difference_pp,queue_wait_mean_ms_C1,queue_wait_mean_ms_C2,queue_wait_mean_ms_difference,queue_wait_p95_ms_C1,queue_wait_p95_ms_C2,queue_wait_p95_ms_difference,inference_mean_ms_C1,inference_mean_ms_C2,inference_mean_ms_difference,inference_p95_ms_C1,inference_p95_ms_C2,inference_p95_ms_difference,peak_waiting_queue_C1,peak_waiting_queue_C2,peak_waiting_queue_difference,time_weighted_waiting_queue_C1,time_weighted_waiting_queue_C2,time_weighted_waiting_queue_difference,C2_improved_miss,C2_improved_queue_wait,C2_improved_local_latency
5,run01,28.310250911666667,25.78785614811111,-2.522394763555557,39.45152085,32.13598085,-7.315539999999999,139.2332833,37.15328655,-102.07999675000002,19.31111111111111,1.3333333333333333,-17.977777777777778,9.292512527,6.215502940666667,-3.0770095863333324,16.00433945,14.9691656,-1.0351738499999996,5.112984892777778,7.682653204666667,2.569668311888889,7.91413785,9.07139255,1.1572547000000002,37,26,-11,1.3970616905300062,0.9344931962188564,-0.46256849431114977,1,1,1
5,run02,26.067761998555557,25.453442342,-0.6143196565555584,34.9551509,32.1368495,-2.818301400000003,101.05463966,33.31180332,-67.74283634,15.122222222222222,1.0,-14.122222222222222,9.548823425555556,6.068810014666667,-3.4800134108888887,16.826228,15.06276765,-1.7634603500000008,4.812240657111111,7.704909702,2.8926690448888888,5.42201795,9.07504115,3.6530232000000007,32,21,-11,1.4348460206836795,0.9119371814576506,-0.5229088392260289,1,1,1
5,run03,25.95634485088889,26.343367899333334,0.38702304844444413,34.87433265,32.20566645,-2.668666199999997,106.06303243,73.43347515,-32.62955728,12.122222222222222,1.5222222222222221,-10.6,9.398410967111111,6.660044883777778,-2.738366083333333,16.8065346,15.23662845,-1.5699061499999996,4.772348324111111,7.690998208222222,2.918649884111111,5.27127395,9.0555464,3.7842724500000005,31,32,1,1.4130409191746094,1.0019761179776714,-0.411064801196938,1,1,0
5,run04,26.240331320333333,25.831323518333335,-0.40900780199999787,34.81157195,32.230064,-2.5815079500000024,120.26740642,35.29016151,-84.97724491,11.133333333333333,1.2444444444444445,-9.88888888888889,9.761684558,6.487059741222223,-3.274624816777778,17.02194935,15.3560429,-1.6659064499999996,4.737587770222222,7.69793672,2.960348949777778,5.18909455,9.01259975,3.8235051999999996,30,28,-2,1.4677440666178594,0.9752209623659579,-0.4925231042519015,1,1,1
5,run05,26.369295527666665,26.500643573666668,0.13134804600000294,34.8697207,32.1778149,-2.6919058000000007,115.59450147,86.90091406,-28.693587409999992,12.188888888888888,1.5333333333333334,-10.655555555555555,9.65204512488889,6.867304807,-2.7847403178888896,16.8859477,15.33730625,-1.5486414499999999,4.753314085333334,7.692126385111111,2.9388122997777772,5.2324096,9.0165509,3.7841413,37,34,-3,1.451846759705861,1.0333045455298189,-0.4185422141760422,1,1,0
6,run01,47.05027575444444,31.30728892435185,-15.74298683009259,187.4224533,38.15064455,-149.27180875,238.12376298,188.70903602,-49.414726959999996,38.97222222222222,32.97222222222222,-6.0,28.957121097685185,9.86493789824074,-19.092183199444445,162.57375045,16.19106925,-146.3826812,5.119758013425926,8.54405548111111,3.424297467685184,7.21331105,9.7940552,2.580744150000001,45,46,1,5.227472540072192,1.7812241284807453,-3.446248411591447,1,1,1
6,run02,110.56924260527778,30.403840851203704,-80.16540175407408,231.41839435,38.08972095,-193.3286734,248.55070997,142.89071486,-105.65999511000001,64.79629629629629,32.47222222222222,-32.32407407407407,91.67467074111111,9.307620504074075,-82.36705023703703,211.42280685,16.22864115,-195.19416569999999,5.260767132222222,8.556906871666667,3.2961397394444454,8.00510915,9.7809605,1.7758513500000017,44,38,-6,16.542179628260236,1.6795353173496326,-14.862644310910603,1,1,1
6,run03,40.51923977935185,31.73681915722222,-8.782420622129628,147.2806438,37.99507115,-109.28557265,247.32938271,204.61088598,-42.71849673,36.666666666666664,32.49074074074074,-4.175925925925924,22.634961871944444,10.268002164166667,-12.366959707777777,123.74495735,16.303706,-107.44125135000002,5.119235688518518,8.527295608888888,3.40805992037037,7.175021,9.7913498,2.6163288000000007,50,49,-1,4.086530835165036,1.8548305661508868,-2.2317002690141488,1,1,1
6,run04,168.28761844842592,30.143694793333335,-138.14392365509258,243.1905618,37.9082438,-205.282318,256.08892451,137.73104845,-118.35787606000002,86.21296296296296,32.28703703703704,-53.925925925925924,148.2248405960185,9.088756126388889,-139.13608446962962,219.40702495,16.11812205,-203.28890289999998,5.380383159074074,8.520761208981481,3.140378049907407,9.2096458,9.7868135,0.5771676999999986,46,38,-8,26.763509332680986,1.639519366626391,-25.123989966054594,1,1,1
6,run05,41.98227479027778,31.03062624462963,-10.951648545648148,167.9515963,38.21630675,-129.73528955,275.87352507,163.09154712,-112.78197795000003,38.629629629629626,33.083333333333336,-5.5462962962962905,23.89045329398148,9.781648563055555,-14.108804730925925,144.3028164,16.32207045,-127.98074595000001,5.203408110740741,8.5807887775,3.37738066675926,7.09416385,9.8576215,2.7634576500000003,52,42,-10,4.3136488001212685,1.7652860762654288,-2.5483627238558397,1,1,1
