K,row_type,run_id,run_count,period_count,period_inference_service_sum_mean_ms,period_inference_service_sum_median_ms,period_inference_service_sum_p95_ms,period_inference_service_sum_p99_ms,periods_service_sum_over_33p33ms,period_service_sum_over_33p33_pct,period_service_sum_after_first_1s_mean_ms,period_service_sum_after_first_1s_over_period_pct
1,run,run01,1,1800,12.141193860555555,12.331819,14.1937248,14.55888859,0,0.0,12.234429139548022,0.0
1,run,run02,1,1800,12.327796144444445,12.6007455,14.076541549999998,14.418540539999999,0,0.0,12.417307332768361,0.0
1,run,run03,1,1800,11.80077591888889,11.9107705,14.0415432,14.393498169999999,0,0.0,11.89031273841808,0.0
1,run,run04,1,1800,12.252373702222222,12.3647285,14.20404685,14.56302775,0,0.0,12.344081915254238,0.0
1,run,run05,1,1800,11.955948081666667,12.099323,13.99266015,14.34456412,0,0.0,12.039867327118644,0.0
1,mean,ALL,5,1800.0,12.095617541555557,12.2614773,14.10170331,14.455703834,0.0,0.0,12.185199690621468,0.0
1,sample_sd,ALL,5,0.0,0.21621501964615353,0.2645755814348238,0.09365484310200785,0.099709838906409,0.0,0.0,0.21772739144970962,0.0
1,min,ALL,5,1800.0,11.80077591888889,11.9107705,13.99266015,14.34456412,0.0,0.0,11.89031273841808,0.0
1,max,ALL,5,1800.0,12.327796144444445,12.6007455,14.20404685,14.56302775,0.0,0.0,12.417307332768361,0.0
2,run,run01,1,1800,11.355889601666666,11.1384775,12.6825925,13.11169655,1,0.05555555555555555,11.362555018644068,0.0
2,run,run02,1,1800,11.709980547777777,11.638982,13.072657099999999,14.012505959999999,1,0.05555555555555555,11.711067272881355,0.0
2,run,run03,1,1800,11.654343994444444,11.4988335,13.1902689,13.97062339,1,0.05555555555555555,11.659968349152543,0.0
2,run,run04,1,1800,11.790394398888889,11.5127445,13.335642,13.9656441,1,0.05555555555555555,11.799328833898306,0.0
2,run,run05,1,1800,11.59495367,11.4664,12.85555295,13.21224996,1,0.05555555555555555,11.605329794915255,0.0
2,mean,ALL,5,1800.0,11.621112442555555,11.451087499999998,13.027342690000001,13.654543991999997,1.0,0.05555555555555556,11.627649853898307,0.0
2,sample_sd,ALL,5,0.0,0.16483756672673153,0.18664477895959203,0.2607734737657339,0.4514237448342875,0.0,7.757919228897728e-18,0.16450689940744923,0.0
2,min,ALL,5,1800.0,11.355889601666666,11.1384775,12.6825925,13.11169655,1.0,0.05555555555555555,11.362555018644068,0.0
2,max,ALL,5,1800.0,11.790394398888889,11.638982,13.335642,14.012505959999999,1.0,0.05555555555555555,11.799328833898306,0.0
3,run,run01,1,1800,13.993817225555556,13.9305005,14.554953150000001,15.082601709999999,1,0.05555555555555555,13.960866938418079,0.0
3,run,run02,1,1800,13.888334602777777,13.792513,14.427485,14.83133338,1,0.05555555555555555,13.85902177740113,0.0
3,run,run03,1,1800,13.894024291666666,13.8314435,14.45403665,14.836592060000001,1,0.05555555555555555,13.870128090960453,0.0
3,run,run04,1,1800,13.96434977,13.9101665,14.4624986,14.760764129999998,1,0.05555555555555555,13.931094450282487,0.0
3,run,run05,1,1800,13.90330100777778,13.7855235,14.601773099999999,15.13317253,1,0.05555555555555555,13.881034470621469,0.0
3,mean,ALL,5,1800.0,13.928765379555557,13.8500294,14.5001493,14.928892761999998,1.0,0.05555555555555556,13.900429145536725,0.0
3,sample_sd,ALL,5,0.0,0.04740257545720873,0.06690786914519144,0.07442262911283225,0.16707868940525183,0.0,7.757919228897728e-18,0.04359462461972574,0.0
3,min,ALL,5,1800.0,13.888334602777777,13.7855235,14.427485,14.760764129999998,1.0,0.05555555555555555,13.85902177740113,0.0
3,max,ALL,5,1800.0,13.993817225555556,13.9305005,14.601773099999999,15.13317253,1.0,0.05555555555555555,13.960866938418079,0.0
4,run,run01,1,1800,18.523912803333335,18.4388545,19.05474025,19.930868789999998,1,0.05555555555555555,18.488856010734466,0.0
4,run,run02,1,1800,18.408503742777775,18.329474,18.858793149999997,19.53256729,1,0.05555555555555555,18.373577232768362,0.0
4,run,run03,1,1800,18.55503468166667,18.468152,19.1038183,19.59660779,1,0.05555555555555555,18.517077198870055,0.0
4,run,run04,1,1800,18.33254244722222,18.2430335,18.84715735,19.59677894,1,0.05555555555555555,18.28076756214689,0.0
4,run,run05,1,1800,18.486614997777778,18.3936545,19.0587863,19.785576199999998,1,0.05555555555555555,18.448899433333334,0.0
4,mean,ALL,5,1800.0,18.461321734555558,18.374633699999997,18.98465907,19.688479801999996,1.0,0.05555555555555556,18.421835487570622,0.0
4,sample_sd,ALL,5,0.0,0.09043416474560809,0.09026320618654686,0.12181347722262087,0.16533175593852098,0.0,7.757919228897728e-18,0.09555654084959588,0.0
4,min,ALL,5,1800.0,18.33254244722222,18.2430335,18.84715735,19.53256729,1.0,0.05555555555555555,18.28076756214689,0.0
4,max,ALL,5,1800.0,18.55503468166667,18.468152,19.1038183,19.930868789999998,1.0,0.05555555555555555,18.517077198870055,0.0
5,run,run01,1,1800,23.107314943888888,22.7248115,25.684275,27.208073229999997,3,0.16666666666666669,23.02731496101695,0.0
5,run,run02,1,1800,23.541223693333333,22.814178,27.14893255,28.4523527,1,0.05555555555555555,23.48875661920904,0.0
