K,row_type,run_id,depth_group,group_definition,run_count_present,metric,value,unit
5,run,run01,0,exact_depth,1,frame_count,3494,frames
5,run,run01,0,exact_depth,1,wait_mean_ms,1.9265274791070406,ms
5,run,run01,0,exact_depth,1,wait_median_ms,0.3133385,ms
5,run,run01,0,exact_depth,1,wait_p95_ms,4.5199742,ms
5,run,run01,1,exact_depth,1,frame_count,1815,frames
5,run,run01,1,exact_depth,1,wait_mean_ms,7.550257807162534,ms
5,run,run01,1,exact_depth,1,wait_median_ms,7.679047,ms
5,run,run01,1,exact_depth,1,wait_p95_ms,8.871389,ms
5,run,run01,2,exact_depth,1,frame_count,1883,frames
5,run,run01,2,exact_depth,1,wait_mean_ms,11.805902446627721,ms
5,run,run01,2,exact_depth,1,wait_median_ms,11.808451,ms
5,run,run01,2,exact_depth,1,wait_p95_ms,13.1377277,ms
5,run,run01,3,exact_depth,1,frame_count,1658,frames
5,run,run01,3,exact_depth,1,wait_mean_ms,15.962916819059107,ms
5,run,run01,3,exact_depth,1,wait_median_ms,15.931706,ms
5,run,run01,3,exact_depth,1,wait_p95_ms,17.01430235,ms
5,run,run01,4,exact_depth,1,frame_count,4,frames
5,run,run01,4,exact_depth,1,wait_mean_ms,31.77814225,ms
5,run,run01,4,exact_depth,1,wait_median_ms,22.8791725,ms
5,run,run01,4,exact_depth,1,wait_p95_ms,56.98288059999999,ms
5,run,run01,5,exact_depth,1,frame_count,7,frames
5,run,run01,5,exact_depth,1,wait_mean_ms,34.27191071428572,ms
5,run,run01,5,exact_depth,1,wait_median_ms,28.773305,ms
5,run,run01,5,exact_depth,1,wait_p95_ms,58.29764369999997,ms
5,run,run01,6,exact_depth,1,frame_count,4,frames
5,run,run01,6,exact_depth,1,wait_mean_ms,44.878103,ms
5,run,run01,6,exact_depth,1,wait_median_ms,36.263847,ms
5,run,run01,6,exact_depth,1,wait_p95_ms,69.82587704999999,ms
5,run,run01,7,exact_depth,1,frame_count,6,frames
5,run,run01,7,exact_depth,1,wait_mean_ms,45.59637216666666,ms
5,run,run01,7,exact_depth,1,wait_median_ms,39.719679,ms
5,run,run01,7,exact_depth,1,wait_p95_ms,70.93749975,ms
5,run,run01,8,exact_depth,1,frame_count,9,frames
5,run,run01,8,exact_depth,1,wait_mean_ms,54.45483322222223,ms
5,run,run01,8,exact_depth,1,wait_median_ms,45.347288,ms
5,run,run01,8,exact_depth,1,wait_p95_ms,86.9007564,ms
5,run,run01,9,exact_depth,1,frame_count,7,frames
5,run,run01,9,exact_depth,1,wait_mean_ms,57.427077714285716,ms
5,run,run01,9,exact_depth,1,wait_median_ms,51.725389,ms
5,run,run01,9,exact_depth,1,wait_p95_ms,77.98425739999998,ms
5,run,run01,10,exact_depth,1,frame_count,9,frames
5,run,run01,10,exact_depth,1,wait_mean_ms,60.974746777777774,ms
5,run,run01,10,exact_depth,1,wait_median_ms,57.283636,ms
5,run,run01,10,exact_depth,1,wait_p95_ms,79.25432819999999,ms
5,run,run01,11,exact_depth,1,frame_count,6,frames
5,run,run01,11,exact_depth,1,wait_mean_ms,70.38029783333333,ms
5,run,run01,11,exact_depth,1,wait_median_ms,66.3429305,ms
5,run,run01,11,exact_depth,1,wait_p95_ms,87.16126025,ms
5,run,run01,12,exact_depth,1,frame_count,8,frames
5,run,run01,12,exact_depth,1,wait_mean_ms,76.848522625,ms
5,run,run01,12,exact_depth,1,wait_median_ms,71.8177755,ms
5,run,run01,12,exact_depth,1,wait_p95_ms,97.77758995,ms
5,run,run01,13,exact_depth,1,frame_count,3,frames
5,run,run01,13,exact_depth,1,wait_mean_ms,81.75532033333333,ms
5,run,run01,13,exact_depth,1,wait_median_ms,73.716757,ms
5,run,run01,13,exact_depth,1,wait_p95_ms,98.2114567,ms
5,run,run01,14,exact_depth,1,frame_count,5,frames
5,run,run01,14,exact_depth,1,wait_mean_ms,82.3450992,ms
5,run,run01,14,exact_depth,1,wait_median_ms,77.687547,ms
5,run,run01,14,exact_depth,1,wait_p95_ms,98.5807456,ms
5,run,run01,15,exact_depth,1,frame_count,8,frames
5,run,run01,15,exact_depth,1,wait_mean_ms,85.759159125,ms
5,run,run01,15,exact_depth,1,wait_median_ms,80.367464,ms
5,run,run01,15,exact_depth,1,wait_p95_ms,104.69610390000001,ms
5,run,run01,16,exact_depth,1,frame_count,5,frames
5,run,run01,16,exact_depth,1,wait_mean_ms,91.0627268,ms
5,run,run01,16,exact_depth,1,wait_median_ms,93.047197,ms
5,run,run01,16,exact_depth,1,wait_p95_ms,103.5608628,ms
5,run,run01,17,exact_depth,1,frame_count,7,frames
5,run,run01,17,exact_depth,1,wait_mean_ms,94.84769657142857,ms
5,run,run01,17,exact_depth,1,wait_median_ms,92.524047,ms
5,run,run01,17,exact_depth,1,wait_p95_ms,107.70991169999999,ms
5,run,run01,18,exact_depth,1,frame_count,5,frames
5,run,run01,18,exact_depth,1,wait_mean_ms,106.3797878,ms
5,run,run01,18,exact_depth,1,wait_median_ms,105.804777,ms
5,run,run01,18,exact_depth,1,wait_p95_ms,111.91250959999999,ms
5,run,run01,19,exact_depth,1,frame_count,6,frames
5,run,run01,19,exact_depth,1,wait_mean_ms,111.28311016666667,ms
5,run,run01,19,exact_depth,1,wait_median_ms,111.619961,ms
5,run,run01,19,exact_depth,1,wait_p95_ms,116.156274,ms
5,run,run01,20,exact_depth,1,frame_count,3,frames
5,run,run01,20,exact_depth,1,wait_mean_ms,113.20860333333333,ms
5,run,run01,20,exact_depth,1,wait_median_ms,113.69649,ms
5,run,run01,20,exact_depth,1,wait_p95_ms,117.86437559999999,ms
5,run,run01,21,exact_depth,1,frame_count,4,frames
5,run,run01,21,exact_depth,1,wait_mean_ms,114.45836175,ms
5,run,run01,21,exact_depth,1,wait_median_ms,115.150201,ms
5,run,run01,21,exact_depth,1,wait_p95_ms,120.47072725,ms
5,run,run01,22,exact_depth,1,frame_count,4,frames
5,run,run01,22,exact_depth,1,wait_mean_ms,118.211289,ms
5,run,run01,22,exact_depth,1,wait_median_ms,120.082145,ms
5,run,run01,22,exact_depth,1,wait_p95_ms,123.4392788,ms
5,run,run01,23,exact_depth,1,frame_count,4,frames
5,run,run01,23,exact_depth,1,wait_mean_ms,121.84817025,ms
5,run,run01,23,exact_depth,1,wait_median_ms,120.9797725,ms
5,run,run01,23,exact_depth,1,wait_p95_ms,130.26573489999998,ms
5,run,run01,24,exact_depth,1,frame_count,3,frames
5,run,run01,24,exact_depth,1,wait_mean_ms,122.87144466666668,ms
5,run,run01,24,exact_depth,1,wait_median_ms,120.589474,ms
5,run,run01,24,exact_depth,1,wait_p95_ms,128.9766118,ms
5,run,run01,25,exact_depth,1,frame_count,4,frames
5,run,run01,25,exact_depth,1,wait_mean_ms,126.025746,ms
5,run,run01,25,exact_depth,1,wait_median_ms,126.0616525,ms
5,run,run01,25,exact_depth,1,wait_p95_ms,129.7333175,ms
5,run,run01,26,exact_depth,1,frame_count,4,frames
5,run,run01,26,exact_depth,1,wait_mean_ms,130.621706,ms
5,run,run01,26,exact_depth,1,wait_median_ms,130.1891865,ms
5,run,run01,26,exact_depth,1,wait_p95_ms,133.485622,ms
5,run,run01,27,exact_depth,1,frame_count,5,frames
5,run,run01,27,exact_depth,1,wait_mean_ms,133.64864,ms
5,run,run01,27,exact_depth,1,wait_median_ms,133.08349,ms
5,run,run01,27,exact_depth,1,wait_p95_ms,136.0319212,ms
5,run,run01,28,exact_depth,1,frame_count,4,frames
5,run,run01,28,exact_depth,1,wait_mean_ms,138.06135675,ms
5,run,run01,28,exact_depth,1,wait_median_ms,137.7939925,ms
5,run,run01,28,exact_depth,1,wait_p95_ms,140.18857755000002,ms
5,run,run01,29,exact_depth,1,frame_count,5,frames
5,run,run01,29,exact_depth,1,wait_mean_ms,141.99320880000002,ms
