K,run_id,frame_start_lag_mean_ms,frame_start_lag_p95_ms,front_end_mean_ms,front_end_p95_ms,inference_queue_wait_mean_ms,inference_queue_wait_p95_ms,inference_mean_ms,inference_p95_ms,e2e_mean_ms,e2e_p95_ms,e2e_p99_ms,deadline_miss_pct
1,run01,0.39223432722222223,0.5699894,9.601230348333333,9.7345797,0.17569783277777778,0.2583548,12.141193860555555,14.1937248,22.31035636888889,24.41852175,24.84586436,0.16666666666666666
2,run01,0.5559356783333333,0.90393465,10.080956000277778,10.5079633,2.8836589591666666,6.2881116,5.677944800833333,6.4324459,19.19849543861111,22.9584059,23.79224518,0.3333333333333333
3,run01,0.7204056451851852,0.8600423,10.334685963518519,11.17878415,4.360820687037037,8.716217,4.664605741851852,5.04927495,20.080518037592594,24.51995835,25.34075456,0.6111111111111112
4,run01,0.7721187701388889,1.1750941,10.56330647,11.70209885,6.529868333333333,12.69213865,4.630978200833333,5.05893405,22.496271774305555,29.0524599,30.06114048,0.8055555555555556
5,run01,0.9740434772222222,1.5558946,11.018160052777779,13.2194772,9.203976482,16.3853522,4.621462988777778,5.0096851,25.817643000777778,33.29914395,112.13286628,4.811111111111111
6,run01,1.2058633726851853,2.271535,11.617031178148148,13.557492,16.449789640092593,24.32370195,4.800515571111111,6.2394006,34.073199762037035,43.1500006,251.52784037,26.64814814814815
7,run01,0.8292137088095238,2.32197345,13.565817415396825,17.5722435,4306.867809863968,7272.14203535,5.2627561288095235,8.6058601,4326.5255971169845,7290.7622677,7417.11035767,100.0
2,run02,0.5490857794444445,0.8964237,9.978888030277778,10.40348865,3.0687169680555555,6.60944345,5.854990273888889,6.64048785,19.451681051666668,23.45971755,24.34309784,0.3333333333333333
3,run02,0.7712541381481481,0.96424055,10.358720172037037,10.881292,4.388346310185185,8.90479665,4.629444867592593,5.02201635,20.147765487962964,24.6770005,25.34024998,0.5740740740740741
4,run02,0.81840727,1.3126306,10.572429544583333,11.6580235,6.55655781875,12.7513307,4.602125935694445,5.01458575,22.549520569027777,29.0988663,30.06661512,0.8333333333333334
5,run02,1.1060782085555556,2.57095815,11.93154301188889,14.75333945,8.487047637555555,15.92046535,4.708244738666667,5.46534485,26.232913596666666,36.22308575,110.14479438,7.166666666666667
6,run02,0.9832308131481482,2.6885389,12.7249896275,18.08993025,55.60545011759259,144.5818731,5.052107809722222,7.66444765,74.36577836796296,165.46659685,193.02067422,56.388888888888886
7,run02,1.2811499482539683,2.62437655,13.49063999563492,17.35526725,4107.452012083175,6818.00564075,5.220978701666667,8.53605645,4127.44478072873,6837.9692601,6965.45758505,100.0
1,run02,0.33133811,0.52588955,9.672895504444444,9.7359505,0.212046745,0.25229165,12.327796144444445,14.07654155,22.54407650388889,24.27790845,24.61184861,0.16666666666666666
3,run03,0.6858683131481481,0.8293818,10.166389508518519,10.84515555,4.286632192777778,8.85682645,4.631341430555556,5.021213,19.770231445,24.5224895,25.38372714,0.5
4,run03,0.7231391311111112,1.2883065,10.583907874722222,11.6542732,6.699154135833333,13.0593146,4.638758670416666,5.1072797,22.644959812083332,29.3647505,30.25726732,0.7638888888888888
5,run03,0.9048834507777778,1.4857026,11.009116124333334,12.4190435,8.905207478333333,16.2728858,4.589247311444445,4.98038975,25.40845436488889,33.2373351,90.48142369,4.288888888888889
6,run03,0.9103556589814815,2.13021595,11.729706773518519,14.0015993,18.282046859907407,100.69530025,4.8941079715740745,6.6436541,35.81621726398148,122.90566435,210.51896033,30.287037037037038
7,run03,1.2707652993650793,2.6531763,13.42921730436508,17.30719885,4455.096520262857,7515.1440901,5.274132145079365,8.5623568,4475.070635011667,7532.5745973,7663.02877914,100.0
1,run03,0.3584286477777778,0.55668305,9.626563742222222,9.690616,0.14297783555555554,0.25454455,11.800775918888888,14.0415432,21.928746144444446,24.22124105,24.59126372,0.16666666666666666
2,run03,0.6145099541666666,0.97617115,9.888485903333333,10.38902395,3.009306083333333,6.57920075,5.827171997222222,6.7335137,19.339473938055555,23.41751115,24.4696153,0.3888888888888889
4,run04,0.9262326361111111,2.82658255,12.32659929763889,15.1035041,5.891190619444444,12.5129549,4.583135611805556,4.9254262,23.727158165,31.150409,32.253725,0.8472222222222222
5,run04,0.9120258983333334,1.4864846,10.888720786444445,12.2779995,9.274723362,16.3456292,4.600555220555556,5.01065475,25.676025267333333,33.16940275,111.59987299,4.088888888888889
6,run04,0.9245558407407407,2.22528125,11.812791465555556,14.3045559,20.747580602407407,115.40044425,4.8867633373148145,6.63132005,38.37169124601852,139.90585175,213.85236464,32.166666666666664
7,run04,0.7641556903174603,2.46539695,13.350808775714286,17.26864225,4359.897009317539,7349.30432155,5.271558625873016,8.5889103,4379.283532409445,7367.2626895,7489.75212258,100.0
1,run04,0.27036142333333335,0.3453074,9.623671708888889,9.7010243,0.1721351227777778,0.2531251,12.252373702222222,14.20404685,22.318541957222223,24.31483655,24.65898682,0.16666666666666666
2,run04,0.4761550175,0.9106991,9.965237901666667,10.40365435,3.1355672755555557,6.70459385,5.8951971994444445,6.77298305,19.47215739416667,23.5830886,24.3586124,0.2777777777777778
