K,Run,offered_load_fps,rows,e2e_mean_ms,e2e_median_ms,e2e_p95_ms,ready_wait_mean_ms,ready_wait_p95_ms,front_end_mean_ms,inference_mean_ms,peak_backlog,final_arrival_backlog,final_backlog,time_weighted_backlog
1,1,30,1800,21.254118704770615,21.175801168283215,23.061783913908585,0.13397247393287318,0.25498985196463764,9.553793539988773,11.30783812937807,2,1,0,0.6354195441397423
1,2,30,1800,21.198248347835843,21.30940550159721,23.23378878281801,0.15524349276852767,0.26176504979957826,9.514124309393488,11.15757909274382,3,1,0,0.6313099197770567
1,3,30,1800,21.064893149725524,21.30015033253585,23.08984559676901,0.19136868166848822,0.26144764888158534,9.471037402767656,11.128932377218412,2,1,0,0.6286015492160317
1,4,30,1800,21.252461958536312,21.265746669087093,23.242759653294343,0.15894870056500723,0.25890900287777185,9.496867716691971,11.282392778341293,2,1,0,0.634108087665417
1,5,30,1800,20.787326441940323,20.73728816867515,22.820132718698005,0.12384568830384524,0.2551352998125367,9.430107277253732,11.008666238410822,3,1,0,0.6208810849796002
2,1,60,3600,19.21721950713921,18.894934335548896,23.189313934199163,2.9424961657959,6.349215597219882,10.009401332505755,5.8321470214175655,8,2,0,1.1459342819815328
2,2,60,3600,19.656028481326253,18.84931083441188,23.77590330252133,3.1966143102807916,6.832700499580824,9.920086324686459,6.132703470000504,7,2,0,1.173594673571212
2,3,60,3600,19.47765462352335,19.398468835788663,23.633446620442555,3.10963816471182,6.775895050850521,9.947927291675821,6.0211595211088325,7,2,0,1.1627806138409134
2,4,60,3600,19.852627027179956,20.13121199888701,23.792323452107667,3.2405718013928384,6.814411999948788,10.022542641387796,6.120459140007976,8,2,0,1.1823693893074882
2,5,60,3600,19.403556548352046,18.668977167180856,23.524130882105965,3.0363191641956493,6.636533498931385,9.942812246165179,5.9970201652433595,6,2,0,1.157040623848328
3,1,90,5400,19.728023543803257,19.30523366900161,24.473763384048652,4.37467802184781,8.779827149010089,10.120437168548555,4.666867957217215,17,3,0,1.7663260394110931
3,2,90,5400,19.60238053421428,19.194158834579866,24.43765258540225,4.392506679113366,8.88937915024144,10.014721294440582,4.638519218666193,17,3,0,1.7549411455113217
3,3,90,5400,19.583798603824917,19.29089633449621,24.4643336347508,4.239682860353679,8.710593549949408,10.118714731122088,4.67733895464941,14,3,0,1.7527366533454576
3,4,90,5400,19.69548461798695,19.392518668610137,24.55644571691664,4.311778292942311,8.900410700516659,10.131642638333249,4.657292046670557,15,3,0,1.7623201250639722
3,5,90,5400,19.582868454435136,19.17588833566697,24.54201525233657,4.210441776848946,8.705703648956842,10.169818847009958,4.663483949066345,15,3,0,1.7545300576317222
4,1,120,7200,22.317718255756315,23.23776466801064,29.04129328653653,6.5965150266583805,12.88650295082334,10.36692910152548,4.656170604601154,22,4,0,2.6645547669648266
4,2,120,7200,22.3883535444712,23.18006716996024,29.25785765164619,6.520791780137895,12.889682450077087,10.599484203909116,4.652640631368033,21,4,0,2.6731925077138037
4,3,120,7200,22.349259294127883,23.234621667143074,29.169858419663797,6.685472777375152,12.974710649541521,10.351105382911657,4.6685504845719255,22,4,0,2.6699487763080145
4,4,120,7200,22.15201105991582,23.114064500987297,29.163949852045334,6.416960639988044,12.866316448889846,10.436568756398023,4.651838825278294,20,4,0,2.646739958490073
4,5,120,7200,22.410874979838507,22.771440335418447,29.12968280415953,6.64752487543309,12.912600502750138,10.393291248860805,4.67394105667558,23,4,0,2.676562233747626
5,1,150,9000,25.34451435731939,23.93700050197367,33.385109033952176,9.123578249526973,16.666351901403686,10.745843407129643,4.655454922001001,32,5,0,3.784386387602235
5,2,150,9000,25.869503800479126,23.974193001777167,33.50367648545216,9.608310007127228,16.708351250235864,10.75190833809716,4.658828796779239,38,5,0,3.8621127507863715
5,3,150,9000,25.023632087715264,23.72599266891484,33.10682310093398,8.873439774132244,16.404523548408175,10.723047190190604,4.640242902454095,33,5,0,3.7369209837407285
