fold,level,test_frames,usage_percent,lookup_groups,training_samples_min,training_samples_weighted_mean,training_samples_max,training_runs_min,training_runs_max,old_joint_backoff_differences
0,KCQA,1882184,95.35370893212766,2299,200.0,5478.044023326093,7519.0,3.0,4.0,0
0,KCQ,9884,0.5007353473864138,328,204.0,2521.0178065560503,35590.0,3.0,4.0,0
0,KCA,81691,4.138564474235484,416,450.0,44759.74518612822,50138.0,3.0,4.0,0
0,KC,138,0.006991246250437586,29,7195.0,24551.594202898552,41607.0,4.0,4.0,0
0,C,0,0.0,0,,,,,,0
1,KCQA,376481,95.37659824032062,455,201.0,5449.951299003137,7512.0,3.0,4.0,0
1,KCQ,1909,0.4836204909165989,58,218.0,2527.639601885804,35590.0,3.0,4.0,0
1,KCA,16311,4.132181156281113,84,496.0,44709.79731469561,50130.0,4.0,4.0,0
1,KC,30,0.007600112481664729,6,7195.0,23664.966666666667,28690.0,4.0,4.0,0
1,C,0,0.0,0,,,,,,0
2,KCQA,376625,95.41815510121354,457,200.0,5456.808902754729,7187.0,3.0,4.0,0
2,KCQ,1783,0.451724050568772,66,231.0,2339.3303421200226,35479.0,3.0,4.0,0
2,KCA,16277,4.1237870841883915,82,550.0,45556.36689807704,50138.0,4.0,4.0,0
2,KC,25,0.006333764029287325,6,7195.0,24365.24,35297.0,4.0,4.0,0
2,C,0,0.0,0,,,,,,0
3,KCQA,374060,94.77215260429598,452,200.0,5485.594126610704,7483.0,3.0,4.0,0
3,KCQ,1887,0.47809188890634263,68,204.0,2425.85373608903,35560.0,3.0,4.0,0
3,KCA,18719,4.742661403517662,85,469.0,42399.68326299482,50112.0,3.0,4.0,0
3,KC,28,0.007094103280009324,6,14360.0,24298.321428571428,35297.0,4.0,4.0,0
3,C,0,0.0,0,,,,,,0
4,KCQA,377569,95.57716793953033,465,202.0,5491.360297058286,7519.0,3.0,4.0,0
4,KCQ,2079,0.5262744879645403,65,204.0,2850.1962481962482,35085.0,3.0,4.0,0
4,KCA,15368,3.8902291154589017,83,467.0,45823.81806350859,50133.0,4.0,4.0,0
4,KC,25,0.006328457046230644,5,14361.0,24108.84,28705.0,4.0,4.0,0
4,C,0,0.0,0,,,,,,0
5,KCQA,377449,95.6242510532756,470,200.0,5506.450643663117,7475.0,3.0,4.0,0
5,KCQ,2226,0.563942632897667,71,221.0,2434.099730458221,35378.0,3.0,4.0,0
5,KCA,15016,3.8042060088011533,82,450.0,45803.52617208311,50115.0,4.0,4.0,0
5,KC,30,0.007600305025575026,6,14364.0,26198.866666666665,41607.0,4.0,4.0,0
5,C,0,0.0,0,,,,,,0
