scope,K,C,model,stage,n_runs,n_frames,observed_rate,observed_run_SD,predicted_rate,predicted_run_SD,signed_error,absolute_error,mean_run_absolute_error,run_absolute_error_SD
ALL,,,B1,Queue,280,1973897,0.04970613055568109,0.18483827667405273,0.05182481191622658,0.15496966671103352,0.0021186813605454866,0.0021186813605454866,0.02209937230583108,0.061290915220964644
ALL,,,B1,Service,280,1973897,0.16473629315184335,0.2901674926283662,0.16951910153279068,0.2655397021744081,0.004782808380947329,0.004782808380947329,0.03411226109346997,0.04240275714856622
ALL,,,B1,On_time,280,1973897,0.7855575762924756,0.33578372898420533,0.7786560865509827,0.3112397540337054,-0.00690148974149285,0.00690148974149285,0.0378947638598647,0.04244961698322475
ALL,,,P-old,Queue,280,1973897,0.04970613055568109,0.18483827667405273,0.04696234330623146,0.18209827018174274,-0.002743787249449632,0.002743787249449632,0.0037806565102399357,0.013086658644615246
ALL,,,P-old,Service,280,1973897,0.16473629315184335,0.2901674926283662,0.17777769547951494,0.28680178980442356,0.013041402327671592,0.013041402327671592,0.019956784087367004,0.03771098249931481
ALL,,,P-old,On_time,280,1973897,0.7855575762924756,0.33578372898420533,0.7752599612142537,0.33001168793178487,-0.010297615078221911,0.010297615078221911,0.01846327124818275,0.03568934891593902
ALL,,,P-joint,Queue,280,1973897,0.04970613055568109,0.18483827667405273,0.04696234330623146,0.18209827018174274,-0.002743787249449632,0.002743787249449632,0.003780656510239935,0.013086658644615246
ALL,,,P-joint,Service,280,1973897,0.16473629315184335,0.2901674926283662,0.1751696214295265,0.2943248457166495,0.010433328277683146,0.010433328277683146,0.011437243677027984,0.02774807723462371
ALL,,,P-joint,On_time,280,1973897,0.7855575762924756,0.33578372898420533,0.7778680352642421,0.33761165086674344,-0.007689541028233493,0.007689541028233493,0.010740120464048493,0.025620847276686353
K1,1.0,,B1,Queue,40,71891,8.342605474148936e-05,0.0002011237281061517,0.003389523667900385,0.0024643669945772586,0.0033060976131588956,0.0033060976131588956,0.003306097613158897,0.0023613978979662572
K1,1.0,,B1,Service,40,71891,0.0005145922908032145,0.0003182509210706374,0.017917650484414835,0.017745219663523767,0.01740305819361162,0.01740305819361162,0.01740305819361162,0.01774394152261316
K1,1.0,,B1,On_time,40,71891,0.9994019816544555,0.0003422341646569869,0.9786928258476848,0.017390188174536487,-0.020709155806770685,0.020709155806770685,0.020709155806770525,0.017413917723894744
K1,1.0,,P-old,Queue,40,71891,8.342605474148936e-05,0.0002011237281061517,6.247569959656636e-06,3.9087072560618606e-05,-7.717848478183272e-05,7.717848478183272e-05,7.721328808764766e-05,0.00018954299012543358
K1,1.0,,P-old,Service,40,71891,0.0005145922908032145,0.0003182509210706374,0.00024064462742404407,0.0002608740448162881,-0.00027394766337917047,0.00027394766337917047,0.0003330525545573418,0.0002871109120828709
K1,1.0,,P-old,On_time,40,71891,0.9994019816544555,0.0003422341646569869,0.9997531078026164,0.0002688558563499508,0.00035112614816090737,0.00035112614816090737,0.0003823980793483506,0.00027286756058652033
K1,1.0,,P-joint,Queue,40,71891,8.342605474148936e-05,0.0002011237281061517,6.247569959656636e-06,3.9087072560618606e-05,-7.717848478183272e-05,7.717848478183272e-05,7.721328808764766e-05,0.00018954299012543358
K1,1.0,,P-joint,Service,40,71891,0.0005145922908032145,0.0003182509210706374,0.00024051624040847554,0.0002609343132780408,-0.000274076050394739,0.000274076050394739,0.00033311664866852054,0.0002871368766322247
K1,1.0,,P-joint,On_time,40,71891,0.9994019816544555,0.0003422341646569869,0.9997532361896319,0.0002689086015405499,0.00035125453517637073,0.00035125453517637073,0.0003824748793729349,0.00027284506730621363
K2,2.0,,B1,Queue,40,143444,0.00014617751935097316,0.00027476757604692027,0.004107104405162715,0.003064412877447636,0.0039609268858117426,0.0039609268858117426,0.003960926885811742,0.00289668571828807
K2,2.0,,B1,Service,40,143444,0.00014627474539087034,0.00017824744720198275,0.012090478475606565,0.012010987158947262,0.011944203730215694,0.011944203730215694,0.011944203730215696,0.012081837425275911
K2,2.0,,B1,On_time,40,143444,0.9997075477352582,0.0003333257414183971,0.9838024171192308,0.011759001386798447,-0.015905130616027385,0.015905130616027385,0.015905130616027437,0.011890273480886664
K2,2.0,,P-old,Queue,40,143444,0.00014617751935097316,0.00027476757604692027,3.1445762493816555e-05,0.0001048595629329356,-0.00011473175685715662,0.00011473175685715662,0.00011709832900475841,0.00021250669219100466
K2,2.0,,P-old,Service,40,143444,0.00014627474539087034,0.00017824744720198275,0.00021661094520057533,0.00017214604986085882,7.0336199809705e-05,7.0336199809705e-05,0.00010275594413865688,0.00013916224581076215
K2,2.0,,P-old,On_time,40,143444,0.9997075477352582,0.0003333257414183971,0.9997519432923057,0.00017076609598826436,4.4395557047494094e-05,4.4395557047494094e-05,0.00017042994905299146,0.00021628228085267717
K2,2.0,,P-joint,Queue,40,143444,0.00014617751935097316,0.00027476757604692027,3.1445762493816555e-05,0.0001048595629329356,-0.00011473175685715662,0.00011473175685715662,0.00011709832900475841,0.00021250669219100466
K2,2.0,,P-joint,Service,40,143444,0.00014627474539087034,0.00017824744720198275,0.00021608732780072602,0.00017171493960698714,6.981258240985568e-05,6.981258240985568e-05,0.00010301811431744326,0.00013858728239889812
K2,2.0,,P-joint,On_time,40,143444,0.9997075477352582,0.0003333257414183971,0.9997524669097053,0.00017060007074616015,4.491917444715554e-05,4.491917444715554e-05,0.0001702219009574901,0.00021813849258106905
