run_index,K,C,valid_slot,run_id,acquisition_phase,total_frames,ready_on_time,service_start_on_time,ON_TIME_count,ON_TIME_percent,PRE_READY_LATE_count,PRE_READY_LATE_percent,QUEUE_STAGE_MISS_count,QUEUE_STAGE_MISS_percent,SERVICE_STAGE_MISS_count,SERVICE_STAGE_MISS_percent
0,1,1,1,run01,ORIGINAL_CAMPAIGN,1800,1798,1797,1797,99.83333333333333,2,0.1111111111111111,1,0.05555555555555555,0,0.0
1,1,1,2,run02,ORIGINAL_CAMPAIGN,1800,1798,1797,1796,99.77777777777777,2,0.1111111111111111,1,0.05555555555555555,1,0.05555555555555555
2,1,1,3,run03,ORIGINAL_CAMPAIGN,1800,1799,1798,1797,99.83333333333333,1,0.05555555555555555,1,0.05555555555555555,1,0.05555555555555555
3,1,1,4,run04,ORIGINAL_CAMPAIGN,1800,1799,1798,1797,99.83333333333333,1,0.05555555555555555,1,0.05555555555555555,1,0.05555555555555555
4,1,1,5,run05,ORIGINAL_CAMPAIGN,1800,1799,1799,1798,99.8888888888889,1,0.05555555555555555,0,0.0,1,0.05555555555555555
5,1,2,1,run01,ORIGINAL_CAMPAIGN,1800,1797,1797,1797,99.83333333333333,3,0.16666666666666669,0,0.0,0,0.0
6,1,2,2,run02,ORIGINAL_CAMPAIGN,1800,1798,1798,1797,99.83333333333333,2,0.1111111111111111,0,0.0,1,0.05555555555555555
7,1,2,3,run03,ORIGINAL_CAMPAIGN,1800,1798,1798,1797,99.83333333333333,2,0.1111111111111111,0,0.0,1,0.05555555555555555
8,1,2,4,run04,ORIGINAL_CAMPAIGN,1800,1798,1797,1797,99.83333333333333,2,0.1111111111111111,1,0.05555555555555555,0,0.0
9,1,2,5,run05,ORIGINAL_CAMPAIGN,1800,1798,1798,1797,99.83333333333333,2,0.1111111111111111,0,0.0,1,0.05555555555555555
10,1,3,1,run01,ORIGINAL_CAMPAIGN,1800,1798,1798,1797,99.83333333333333,2,0.1111111111111111,0,0.0,1,0.05555555555555555
11,1,3,2,run02,ORIGINAL_CAMPAIGN,1800,1798,1798,1797,99.83333333333333,2,0.1111111111111111,0,0.0,1,0.05555555555555555
12,1,3,3,run03,ORIGINAL_CAMPAIGN,1800,1799,1799,1797,99.83333333333333,1,0.05555555555555555,0,0.0,2,0.1111111111111111
13,1,3,4,run04,ORIGINAL_CAMPAIGN,1800,1799,1799,1798,99.8888888888889,1,0.05555555555555555,0,0.0,1,0.05555555555555555
14,1,3,5,run05,ORIGINAL_CAMPAIGN,1800,1798,1798,1797,99.83333333333333,2,0.1111111111111111,0,0.0,1,0.05555555555555555
15,1,4,1,run01,ORIGINAL_CAMPAIGN,1800,1799,1799,1798,99.8888888888889,1,0.05555555555555555,0,0.0,1,0.05555555555555555
16,1,4,2,run02,ORIGINAL_CAMPAIGN,1800,1799,1799,1798,99.8888888888889,1,0.05555555555555555,0,0.0,1,0.05555555555555555
