fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
1,0,1,1,0,KCA_start,"(1, 1, 0)",7195,4
1,1,1,2,0,KCA_start,"(1, 2, 0)",7186,4
1,2,1,2,1,CA_start,"(2, 1)",155984,28
1,3,1,3,0,KCA_start,"(1, 3, 0)",7187,4
1,4,1,3,1,CA_start,"(3, 1)",42573,26
1,5,1,3,2,CA_start,"(3, 2)",110614,26
1,6,1,4,0,KCA_start,"(1, 4, 0)",7187,4
1,7,1,4,1,CA_start,"(4, 1)",42242,27
1,8,1,4,2,CA_start,"(4, 2)",35565,23
1,9,1,4,3,CA_start,"(4, 3)",73641,22
1,10,1,5,0,KCA_start,"(1, 5, 0)",7183,4
1,11,1,5,1,CA_start,"(5, 1)",41690,27
1,12,1,5,2,CA_start,"(5, 2)",35509,23
1,13,1,5,3,CA_start,"(5, 3)",28238,18
1,14,1,5,4,CA_start,"(5, 4)",42873,15
1,15,1,6,0,KCA_start,"(1, 6, 0)",7176,4
1,16,1,6,1,CA_start,"(6, 1)",42695,24
1,17,1,6,2,CA_start,"(6, 2)",35249,23
1,18,1,6,3,CA_start,"(6, 3)",27958,22
1,19,1,6,4,CA_start,"(6, 4)",20797,15
1,20,1,6,5,CA_start,"(6, 5)",20683,12
1,21,1,7,0,KCA_start,"(1, 7, 0)",7176,4
1,22,1,7,1,CA_start,"(7, 1)",40360,24
1,23,1,7,2,CA_start,"(7, 2)",34673,21
1,24,1,7,3,CA_start,"(7, 3)",28306,22
1,25,1,7,4,CA_start,"(7, 4)",21691,16
1,26,1,7,5,CA_start,"(7, 5)",14717,13
1,27,1,7,6,CA_start,"(7, 6)",8824,10
1,28,1,8,0,KCA_start,"(1, 8, 0)",7177,4
1,29,1,8,1,CA_start,"(8, 1)",40508,24
1,30,1,8,2,CA_start,"(8, 2)",34842,21
1,31,1,8,3,CA_start,"(8, 3)",28401,22
1,32,1,8,4,CA_start,"(8, 4)",21604,15
1,33,1,8,5,CA_start,"(8, 5)",14506,11
1,34,1,8,6,CA_start,"(8, 6)",7381,11
1,35,1,8,7,CA_start,"(8, 7)",1175,6
1,36,2,1,0,KCA_start,"(2, 1, 0)",14365,4
1,37,2,2,0,KCA_start,"(2, 2, 0)",7177,4
1,38,2,2,1,KCA_start,"(2, 2, 1)",7186,4
1,39,2,3,0,KCA_start,"(2, 3, 0)",7181,4
1,40,2,3,1,KCA_start,"(2, 3, 1)",7180,4
1,41,2,3,2,CA_start,"(3, 2)",110614,26
1,42,2,4,0,KCA_start,"(2, 4, 0)",7182,4
1,43,2,4,1,KCA_start,"(2, 4, 1)",7178,4
1,44,2,4,2,CA_start,"(4, 2)",35565,23
1,45,2,4,3,CA_start,"(4, 3)",73641,22
1,46,2,5,0,KCA_start,"(2, 5, 0)",7173,4
1,47,2,5,1,KCA_start,"(2, 5, 1)",7174,4
1,48,2,5,2,CA_start,"(5, 2)",35509,23
1,49,2,5,3,CA_start,"(5, 3)",28238,18
1,50,2,5,4,CA_start,"(5, 4)",42873,15
1,51,2,6,0,KCA_start,"(2, 6, 0)",7159,4
1,52,2,6,1,KCA_start,"(2, 6, 1)",7158,4
1,53,2,6,2,CA_start,"(6, 2)",35249,23
1,54,2,6,3,CA_start,"(6, 3)",27958,22
1,55,2,6,4,CA_start,"(6, 4)",20797,15
1,56,2,6,5,CA_start,"(6, 5)",20683,12
1,57,2,7,0,KCA_start,"(2, 7, 0)",7159,4
1,58,2,7,1,KCA_start,"(2, 7, 1)",7160,4
1,59,2,7,2,CA_start,"(7, 2)",34673,21
1,60,2,7,3,CA_start,"(7, 3)",28306,22
1,61,2,7,4,CA_start,"(7, 4)",21691,16
1,62,2,7,5,CA_start,"(7, 5)",14717,13
1,63,2,7,6,CA_start,"(7, 6)",8824,10
1,64,2,8,0,KCA_start,"(2, 8, 0)",7156,4
1,65,2,8,1,KCA_start,"(2, 8, 1)",7160,4
1,66,2,8,2,CA_start,"(8, 2)",34842,21
1,67,2,8,3,CA_start,"(8, 3)",28401,22
1,68,2,8,4,CA_start,"(8, 4)",21604,15
1,69,2,8,5,CA_start,"(8, 5)",14506,11
1,70,2,8,6,CA_start,"(8, 6)",7381,11
1,71,2,8,7,CA_start,"(8, 7)",1175,6
1,72,3,1,0,KCA_start,"(3, 1, 0)",21521,4
1,73,3,2,0,KCA_start,"(3, 2, 0)",7167,4
1,74,3,2,1,KCA_start,"(3, 2, 1)",14370,4
1,75,3,3,0,KCA_start,"(3, 3, 0)",7159,4
1,76,3,3,1,KCA_start,"(3, 3, 1)",7161,4
1,77,3,3,2,KCA_start,"(3, 3, 2)",7193,4
1,78,3,4,0,KCA_start,"(3, 4, 0)",7163,4
1,79,3,4,1,KCA_start,"(3, 4, 1)",7161,4
1,80,3,4,2,KCA_start,"(3, 4, 2)",7160,4
1,81,3,4,3,CA_start,"(4, 3)",73641,22
1,82,3,5,0,KCA_start,"(3, 5, 0)",7156,4
1,83,3,5,1,KCA_start,"(3, 5, 1)",7157,4
