fold,metric,old_value,joint_value,delta_joint_minus_old,improved
1,Brier,0.10539212092331257,0.09473338646228464,-0.010658734461027927,True
1,logloss,0.16990865757600923,0.15457022592310532,-0.015338431652903911,True
2,Brier,0.11518640908944196,0.10495198141576752,-0.01023442767367444,True
2,logloss,0.18908612632814695,0.17419534732661807,-0.014890779001528881,True
3,Brier,0.1032316933319052,0.08991130412425094,-0.013320389207654257,True
3,logloss,0.16568345336601392,0.14644481545577293,-0.019238637910240997,True
4,Brier,0.10081384260038333,0.08972892472275365,-0.011084917877629677,True
4,logloss,0.1631703860079725,0.14672914024794811,-0.016441245760024398,True
5,Brier,0.10096868124601341,0.08918104097575592,-0.011787640270257485,True
5,logloss,0.1641768670465308,0.14720894765987225,-0.016967919386658564,True
