kind,fold,level,predictions_or_mixture_weight,minimum_training_samples,minimum_training_runs
transition,1,KC,30.0,7195,4
transition,1,KCA,16311.0,496,4
transition,1,KCQ,1909.0,218,3
transition,1,KCQA,376481.0,201,3
transition,2,KC,25.0,7195,4
transition,2,KCA,16277.0,550,4
transition,2,KCQ,1783.0,231,3
transition,2,KCQA,376625.0,200,3
transition,3,KC,28.0,14360,4
transition,3,KCA,18719.0,469,3
transition,3,KCQ,1887.0,204,3
transition,3,KCQA,374060.0,200,3
transition,4,KC,25.0,14361,4
transition,4,KCA,15368.0,467,4
transition,4,KCQ,2079.0,204,3
transition,4,KCQA,377569.0,202,3
transition,5,KC,30.0,14364,4
transition,5,KCA,15016.0,450,4
transition,5,KCQ,2226.0,221,3
transition,5,KCQA,377449.0,200,3
service_mixture,1,KCA_start,394730.68635236594,1170,4
service_mixture,1,CA_start,0.3136476342390979,1175,6
service_mixture,2,KCA_start,394709.97975525464,1293,3
service_mixture,2,CA_start,0.020244745130735285,1294,5
service_mixture,3,KCA_start,394693.7605760589,1096,3
service_mixture,3,CA_start,0.23942394165489372,1102,7
service_mixture,4,KCA_start,395040.7022146762,1141,3
service_mixture,4,CA_start,0.2977853238607531,1147,7
service_mixture,5,KCA_start,394720.73991567246,1014,3
service_mixture,5,CA_start,0.26008432713848045,1102,7
