comparison,metric,fold,delta,improved
P_minus_B0,Brier,1,-0.059264831446609184,True
P_minus_B0,Brier,2,-0.060314526281759304,True
P_minus_B0,Brier,3,-0.057095186005423196,True
P_minus_B0,Brier,4,-0.056046171875958214,True
P_minus_B0,Brier,5,-0.06254314802762423,True
P_minus_B0,logloss,1,-0.12730053356123064,True
P_minus_B0,logloss,2,-0.12457763268367691,True
P_minus_B0,logloss,3,-0.12317959161198488,True
P_minus_B0,logloss,4,-0.11990614897562685,True
P_minus_B0,logloss,5,-0.1305139067495276,True
P_minus_B1,Brier,1,-0.05056633167127125,True
P_minus_B1,Brier,2,-0.04711975116989227,True
P_minus_B1,Brier,3,-0.045012494552906554,True
P_minus_B1,Brier,4,-0.04285853425804821,True
P_minus_B1,Brier,5,-0.04749318630379376,True
P_minus_B1,logloss,1,-0.11097299167840038,True
P_minus_B1,logloss,2,-0.10175370775660389,True
P_minus_B1,logloss,3,-0.10202651790275469,True
P_minus_B1,logloss,4,-0.095032932030368,True
P_minus_B1,logloss,5,-0.10318998404098526,True
