run_index,K,C,valid_slot,run_id,acquisition_phase,ordering_violations,decomposition_violations,queue_event_before_state,A_before_state,A_start_excludes_target,ambiguous_timestamp_ties
0,1,1,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
1,1,1,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
2,1,1,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
3,1,1,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
4,1,1,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
5,1,2,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
6,1,2,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
7,1,2,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
8,1,2,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
9,1,2,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
10,1,3,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
11,1,3,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
12,1,3,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
13,1,3,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
14,1,3,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
15,1,4,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
16,1,4,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
17,1,4,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
18,1,4,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
19,1,4,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
20,1,5,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
21,1,5,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
22,1,5,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
23,1,5,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
24,1,5,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
25,1,6,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
26,1,6,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
27,1,6,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
28,1,6,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
29,1,6,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
30,1,7,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
31,1,7,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
32,1,7,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
33,1,7,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
34,1,7,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
35,1,8,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
36,1,8,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
37,1,8,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
38,1,8,4,run04,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
39,1,8,5,run05,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
40,2,1,1,run01,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
41,2,1,2,run02,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
42,2,1,3,run03,ORIGINAL_CAMPAIGN,0,0,PASS,PASS,True,0
