fold,model,scope,stage,bin,n,predicted,observed
1,B0,ALL,Queue,0,321681,0.01651320542137382,0.0036371436298693427
1,B0,ALL,Queue,1,24651,0.14278783908139261,0.11699322542696036
1,B0,ALL,Queue,2,13079,0.2441915432580226,0.22081198868415017
1,B0,ALL,Queue,3,7092,0.3447461726615082,0.5207275803722504
1,B0,ALL,Queue,4,4181,0.4488848165030009,0.8096149246591724
1,B0,ALL,Queue,5,4079,0.5503863820456688,0.9335621475851924
1,B0,ALL,Queue,6,4537,0.6503373179724239,0.9554771875688781
1,B0,ALL,Queue,7,6503,0.7537349591511184,0.9538674457942488
1,B0,ALL,Queue,8,7930,0.8472602506589108,0.9959646910466583
1,B0,ALL,Queue,9,998,0.9172375452246967,0.9949899799599199
1,B0,ALL,Service,0,199953,0.020262272742567713,0.01687896655714093
1,B0,ALL,Service,1,43117,0.14758582151856922,0.050304984112994874
1,B0,ALL,Service,2,25731,0.24170595470912634,0.13077610664179395
1,B0,ALL,Service,3,20071,0.3508495270533819,0.3172238553136366
1,B0,ALL,Service,4,14753,0.4518192522352398,0.5313495560225039
1,B0,ALL,Service,5,14976,0.5469011852249448,0.5872729700854701
1,B0,ALL,Service,6,15490,0.6517287477523158,0.7545513234344738
1,B0,ALL,Service,7,15031,0.745697224831072,0.8680726498569623
1,B0,ALL,Service,8,23324,0.8540986252101944,0.9366746698679472
1,B0,ALL,Service,9,22285,0.92453835526997,0.9951088175903073
1,B0,ALL,On_time,0,59640,0.03855260641207983,0.0069081153588195846
1,B0,ALL,On_time,1,24003,0.14633181818440683,0.05632629254676499
1,B0,ALL,On_time,2,18328,0.24909222415327378,0.14846137058053252
1,B0,ALL,On_time,3,16925,0.3498762760551224,0.2776957163958641
1,B0,ALL,On_time,4,14901,0.4494855233590748,0.41668344406415675
1,B0,ALL,On_time,5,13440,0.5489888967781548,0.5566964285714285
1,B0,ALL,On_time,6,13360,0.6511764555994691,0.707934131736527
1,B0,ALL,On_time,7,18278,0.75179524131934,0.810099573257468
1,B0,ALL,On_time,8,25892,0.8545405929566817,0.8893866831453731
1,B0,ALL,On_time,9,189964,0.9757120728621844,0.9824808911162115
1,B0,K5,Queue,0,70715,0.008406062011477828,0.0022201795941455137
1,B0,K5,Queue,1,279,0.13366663353638517,0.11827956989247312
1,B0,K5,Queue,2,68,0.2461147606527732,0.3088235294117647
1,B0,K5,Queue,3,27,0.3428179551017574,0.37037037037037035
1,B0,K5,Queue,4,22,0.4487157938707046,0.5909090909090909
1,B0,K5,Queue,5,8,0.5449018760182047,0.75
1,B0,K5,Queue,6,12,0.6266402784539243,0.6666666666666666
1,B0,K5,Queue,7,5,0.7605737978900817,1.0
1,B0,K5,Queue,8,7,0.8363807312839474,1.0
1,B0,K5,Queue,9,4,0.9292839778364221,1.0
1,B0,K5,Service,0,47962,0.028303064351063105,0.06911721779742296
1,B0,K5,Service,1,10347,0.1464603815794889,0.19358268097032957
1,B0,K5,Service,2,7486,0.2445461981596369,0.2578145872294951
1,B0,K5,Service,3,2916,0.34143525223865845,0.31550068587105623
1,B0,K5,Service,4,1101,0.4414867675579724,0.3478655767484105
1,B0,K5,Service,5,576,0.5475590062817661,0.3420138888888889
1,B0,K5,Service,6,384,0.6467630729159376,0.375
1,B0,K5,Service,7,229,0.745222422957788,0.4410480349344978
1,B0,K5,Service,8,111,0.8458614398814788,0.36936936936936937
1,B0,K5,Service,9,35,0.9197008113944577,0.5714285714285714
1,B0,K5,On_time,0,147,0.04282633383607589,0.30612244897959184
