K,fold,model,Queue_absolute_error,Service_absolute_error,On_time_absolute_error
1,1,B0,0.004807493576179563,0.0240754720702635,0.028882965646443125
1,1,B1,0.0031893518260891875,0.01705471948132054,0.02024407130740974
1,1,P,6.953134521028279e-05,0.00025321656525264917,0.00032244425667159166
1,2,B0,0.0044558079164140375,0.023026957923925888,0.027482765840339974
1,2,B1,0.0029401356915451124,0.016667104429287774,0.019607240120832987
1,2,P,6.948306226478866e-05,0.0003309419571675053,0.00040035588452567593
1,3,B0,0.004585017555175762,0.024891933559733726,0.029476951114909535
1,3,B1,0.00316686850625805,0.017643417414481402,0.020810285920739552
1,3,P,6.9434733630725e-05,0.00031421955610046333,0.0003836542897312033
1,4,B0,0.004679436668711775,0.02412737545906904,0.028806812127780874
1,4,B1,0.0034790257701080123,0.0174015896409521,0.02088061541106015
1,4,P,0.00017760763683118984,0.0002273910783693624,0.00026605201241779983
1,5,B0,0.005235010227142362,0.025914869514983764,0.031149879742126213
1,5,B1,0.0037551062717938876,0.018248460002016013,0.022003566273809963
1,5,P,9.662501201047552e-09,0.0005394936158965875,0.000539483953395325
2,1,B0,0.005699079043899562,0.013424174660781937,0.019123253704681587
2,1,B1,0.004202464396199687,0.011906888089234487,0.01610935248543425
2,1,P,3.483554477604305e-05,6.997065098661269e-05,0.00010466640085448749
2,2,B0,0.005319332690288113,0.013735551259104188,0.01905488394939236
2,2,B1,0.004058377590289913,0.012294903271476875,0.016353280861766836
2,2,P,9.050362496916776e-05,0.00011821656455517055,0.00013908127550335263
2,3,B0,0.005038378272143212,0.013540294834297,0.018578673106440187
2,3,B1,0.0038846479545180624,0.011904915640043187,0.015789563594561323
2,3,P,0.00011202417905636862,0.0001269159657831169,0.00022289660509391458
2,4,B0,0.0047824684405084255,0.013108438970499025,0.017890907411007476
2,4,B1,0.00380926310385735,0.011934175175967175,0.015743438279824613
2,4,P,0.00017442202767004999,8.478399479624776e-05,0.0002195190609380643
2,5,B0,0.004733587054672725,0.013029610115728,0.017763197170400775
2,5,B1,0.0038498813841934374,0.0116801364743565,0.015530017858549938
2,5,P,0.0001737062685520875,0.00011389254457203001,0.00016598640287504368
3,1,B0,0.0037048307290141747,0.011890500236776487,0.015595330965790676
3,1,B1,0.0034133956001689376,0.011979019875061038,0.01539241547523
3,1,P,0.000782628077271125,0.00012874418644042625,0.0009063546405042939
3,2,B0,0.023936010008272453,0.013621921348360825,0.03755793135663334
3,2,B1,0.013063767297921537,0.013646230835837037,0.0267099981337587
3,2,P,0.0004747675933760526,0.00015191112115798094,0.00053933687642815
3,3,B0,0.00395520727593135,0.012081617996761837,0.015987293184800324
3,3,B1,0.0038029663540467876,0.012097071504323362,0.0159000378583702
3,3,P,0.0006160306230582661,0.0002186200061291735,0.0007002990377980125
3,4,B0,0.0035874481254539,0.0118107689300006,0.015398217055454574
3,4,B1,0.0034849905939521126,0.011981544035073875,0.015466534629025988
3,4,P,0.0006462167923646773,6.61030318272602e-05,0.0006644364371492127
3,5,B0,0.004292173869494563,0.012102515475557251,0.016394689345051887
3,5,B1,0.00415371574129035,0.012217525180343875,0.016371240921634236
3,5,P,0.0005387157763954499,8.093189953708208e-05,0.0005989555177964857
4,1,B0,0.02258756120669955,0.0140169532330972,0.03655319300093405
4,1,B1,0.021091761584567513,0.013829500466803138,0.034921262051370666
4,1,P,0.0012600851220491668,0.014423186677568747,0.014771958470064048
4,2,B0,0.0057246585881940626,0.01179487187455405,0.0174107124896619
4,2,B1,0.005278341183394776,0.0125878270657816,0.017819554342582436
4,2,P,0.00145291952515615,0.011710518448814999,0.012584745400969786
4,3,B0,0.004908082085555675,0.0191834394586371,0.023863080480313638
4,3,B1,0.004254164501048362,0.018149911988194163,0.022321183162619936
4,3,P,0.0013818933680176167,0.009519115874952676,0.009956723753351437
4,4,B0,0.00378640626619074,0.008749818063234788,0.012536224329425487
4,4,B1,0.003147864932457875,0.01046566997474215,0.013613534907200076
4,4,P,0.00132391948341484,0.010545963216952439,0.010973658580170626
4,5,B0,0.007755477790171462,0.02000067526125615,0.027438300466098575
4,5,B1,0.007797125368699762,0.018753032660449587,0.0264887234187795
4,5,P,0.00135320002152177,0.012279786330800832,0.01278483943109885
5,1,B0,0.0062886221822703505,0.04176279480442995,0.04205421106248902
5,1,B1,0.005998966264402862,0.04431918739868069,0.04439810890333526
5,1,P,0.002760630970370252,0.05204582565090099,0.05235099818654214
5,2,B0,0.02301409412188069,0.07205841976647534,0.08912783232447168
5,2,B1,0.022917262309299948,0.058874855046322824,0.08018430440598633
5,2,P,0.0032027436927469515,0.12088751409684817,0.11768477333228661
5,3,B0,0.004657715650698375,0.05102568361414628,0.05255329897919906
5,3,B1,0.004477908942402837,0.05642163620402338,0.059347015404508645
5,3,P,0.0032621595473279683,0.08597313855431397,0.08271262131090286
5,4,B0,0.004971269403658424,0.03312543140065564,0.03466865135726945
5,4,B1,0.004907170894862437,0.03457349469129201,0.03853072612450637
5,4,P,0.003001808545689425,0.07037736338001603,0.0676927654867953
5,5,B0,0.004178583683411688,0.04049529998881253,0.041007014988173336
5,5,B1,0.0038240900130919625,0.044410228045374825,0.04707037691011598
5,5,P,0.003626159527261897,0.07039833286973544,0.07041690586224077
6,1,B0,0.05697119424615661,0.07471647420020844,0.05303119292131918
6,1,B1,0.06988322147952392,0.07817042962527607,0.06996613209341807
6,1,P,0.007209184014956034,0.021365313389713526,0.016356196047123163
6,2,B0,0.10257446741598976,0.10424258432165397,0.09773998477255687
6,2,B1,0.10855574566300011,0.10087489517709146,0.10761578535418798
6,2,P,0.012746592481347534,0.025391171899252177,0.025573910072594727
6,3,B0,0.07511593542787676,0.09097101786614034,0.06981692444596246
6,3,B1,0.08487509351025727,0.08979458549526244,0.08010560494770633
6,3,P,0.005067298416495789,0.018170680590572138,0.014476357163089513
6,4,B0,0.03063612986995845,0.071807122006712,0.05706057998421441
6,4,B1,0.036497352111228024,0.07578761013026121,0.05394753106968681
6,4,P,0.0062727661264540225,0.020034076904665438,0.0178751283114775
6,5,B0,0.03134284767722643,0.0957741679068441,0.08729396416411031
6,5,B1,0.04640603104661152,0.09445611739362986,0.08098583490550156
6,5,P,0.00960408568404795,0.01518245433340145,0.011834545974967674
7,1,B0,0.1148169511321793,0.0850617690072047,0.08139100222085954
7,1,B1,0.07386003102189667,0.05611580315287869,0.061099569289409676
7,1,P,0.011537982482376793,0.028044578091193987,0.023353401547598965
7,2,B0,0.09245231060467213,0.07335523232940658,0.07105846061343031
7,2,B1,0.04277046109910212,0.039525585484346426,0.04892234845091424
7,2,P,0.00482552181477186,0.023639134255455763,0.023823844168431762
7,3,B0,0.10162237829178068,0.0884896272512413,0.0720600017551559
7,3,B1,0.056184550881417904,0.05567189267062975,0.0481775928620466
7,3,P,0.03007336780626322,0.04223856624011565,0.02300205079807239
7,4,B0,0.12807389640883748,0.07734781191550857,0.0996838667439501
7,4,B1,0.07013450067052561,0.04508134810425722,0.07168036420119378
7,4,P,0.006657225127342551,0.023149007386356987,0.017658306047294736
7,5,B0,0.1087955138670017,0.07181015848235708,0.07887784230748476
7,5,B1,0.03636242914406225,0.03740782644637461,0.04620952315818416
7,5,P,0.011673517152857565,0.020286362127640727,0.014157241089639326
