protocol_version,K,C,freq_state,requested_freq_MHz,actual_freq_mean_MHz,admission_fps_per_stream,source_fps,aggregate_admitted_fps,aggregate_ready_fps,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,g_B,backlog_at_active_end,backlog_peak,queue_stable,avg_power_W,median_power_W,active_energy_J,energy_per_frame_J,temperature,OC3_delta,integrity_status,hardware_status,supply_status,active_concurrency_peak,active_concurrency_mean,frontend_ready_deficit_fraction,frontend_pending_slope,source_pending_slope,pipeline_audit_status,attempted_repetitions,valid_repetitions,invalid_repetitions,clean_runs,protection_limited_runs,OC3_occurrence_rate,frontend_limited_runs,per_stream_completed_fps
2,6,2,HIGH,1575,1575.0,30,180.0,180.0,180.0,179.97222222222223,29.983333333333334,29.99537037037037,0.003196513528643537,1.6666666666666667,11,QUEUE_STABLE,46.017407795001205,46.03808792238153,2761.0444677000723,0.25569171152295556,70.43218739870177,60.666666666666664,VALID,PROTECTION_LIMITED,NORMAL,2,1.5701525511333376,0.0,0.0035162354891069593,0.0006833281821769035,PASS,3,3,0,0,3,1.0,0,"[30.0, 29.98888888888889, 30.0, 30.0, 29.994444444444444, 29.98888888888889]"
2,6,2,LOW,945,945.0,30,180.0,180.0,180.0,164.61666666666667,27.427777777777777,27.436111111111114,15.264608849704551,923,929,UNSTABLE,33.681831200560175,33.731967741862896,2020.9098720336108,,66.26918864128382,0,VALID,CLEAN,NORMAL,2,1.993220488749995,0.0,-0.0004863334076860421,-7.641856210745508e-05,PASS,3,3,0,3,0,0.0,0,"[27.444444444444446, 27.427777777777777, 27.433333333333334, 27.433333333333334, 27.43888888888889, 27.43888888888889]"
2,6,2,MID,1260,1260.0,30,180.0,180.0,180.0,179.9611111111111,29.983333333333334,29.993518518518517,-0.005301756279901743,2.3333333333333335,13,QUEUE_STABLE,41.89362355337388,41.928145478224565,2513.6174132024325,0.23279262593080058,68.83338070479492,0,VALID,CLEAN,NORMAL,2,1.7818754304055577,0.0,-0.0021792436388435484,-6.76205690738134e-05,PASS,3,3,0,3,0,0.0,0,"[30.0, 29.994444444444444, 29.98888888888889, 29.98888888888889, 29.994444444444444, 29.994444444444444]"
2,7,4,HIGH,1575,1575.0,21,210.0,147.0,147.0,146.95,20.983333333333334,20.992857142857144,0.002893063381528253,3,14,QUEUE_STABLE,38.59529976260108,39.362695380988,2315.7179857560645,0.26264239375706755,62.963898837560386,16.333333333333332,VALID,PROTECTION_LIMITED,NORMAL,4,2.2281149406499985,0.0,0.0016819467436611597,0.0003021415930521587,PASS,3,3,0,0,3,1.0,0,"[20.98888888888889, 21.0, 21.0, 20.98888888888889, 20.98888888888889, 20.98888888888889, 20.994444444444444]"
2,7,4,HIGH,1575,1575.0,24,210.0,168.0,168.0,167.95,23.983333333333334,23.992857142857144,-0.0006560027160905195,3,14.666666666666666,QUEUE_STABLE,43.687916582891184,43.980704983375304,2621.274994973471,0.2601245405352259,68.59204599033816,16.666666666666668,VALID,PROTECTION_LIMITED,NORMAL,4,2.550590948405558,0.0,-1.3496406837080368e-05,-0.0003341309207273089,PASS,3,3,0,0,3,1.0,0,"[23.994444444444444, 23.98888888888889, 23.994444444444444, 23.994444444444444, 23.983333333333334, 24.0, 23.994444444444444]"
2,7,4,HIGH,1575,1575.0,27,210.0,189.0,189.0,188.95,26.983333333333334,26.992857142857144,7.727751756215813e-05,3,15.666666666666666,QUEUE_STABLE,48.39665547068222,48.7431965789664,2903.799328240933,0.2561347206704537,70.38178041666667,24.333333333333332,VALID,PROTECTION_LIMITED,NORMAL,4,2.905076666555545,0.0,1.5359472658591862e-06,-0.00039801793394935646,PASS,3,3,0,0,3,1.0,0,"[27.0, 26.98888888888889, 26.994444444444444, 26.994444444444444, 26.98888888888889, 26.994444444444444, 26.98888888888889]"
2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.92222222222222,29.983333333333334,29.98888888888889,0.00265700438241418,4.666666666666667,17.333333333333332,QUEUE_STABLE,52.70683765014291,52.949985214353106,3162.4102590085745,0.25107846164106173,70.72800522648083,23,VALID,PROTECTION_LIMITED,NORMAL,4,3.286199493022217,0.0,0.0006104302967876117,0.0006050222745663219,PASS,3,3,0,0,3,1.0,0,"[29.994444444444444, 29.98888888888889, 29.983333333333334, 29.994444444444444, 29.994444444444444, 29.983333333333334, 29.983333333333334]"
2,7,4,LOW,945,945.0,21,210.0,147.0,147.0,146.87777777777777,20.977777777777778,20.982539682539684,0.0040668056266379175,7.333333333333333,16.666666666666668,QUEUE_STABLE,30.72059574095672,30.894077326639604,1843.2357444574034,0.20915774762402442,64.41799157319147,0,VALID,CLEAN,NORMAL,4,3.2126267472499905,0.0,0.001208842580234583,0.0006948407572249842,PASS,3,3,0,3,0,0.0,0,"[20.983333333333334, 20.983333333333334, 20.977777777777778, 20.983333333333334, 20.983333333333334, 20.983333333333334, 20.983333333333334]"
2,7,4,LOW,945,945.0,24,210.0,168.0,162.6611111111111,162.57777777777778,22.81111111111111,23.225396825396825,5.395387816102693,325.3333333333333,330.6666666666667,UNSTABLE,32.08547587680611,32.33572779482202,1925.1285526083664,,59.860125938763716,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.568559047866672,0.03177910052910053,5.394825808086878,6.742733714583497,PASS,3,3,0,3,0,0.0,3,"[23.4, 23.27777777777778, 23.355555555555554, 23.294444444444444, 23.16111111111111, 23.22222222222222, 22.866666666666667]"
2,7,4,LOW,945,945.0,27,210.0,189.0,164.26111111111112,164.15,23.13888888888889,23.45,24.623032053416473,1491,1496.6666666666667,UNSTABLE,32.87123160898855,33.014516473551204,1972.273896539313,,65.32783376460299,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.7901096687833244,0.13089359200470313,24.627359077979666,27.361121947743694,PASS,3,3,0,3,0,0.0,3,"[23.544444444444444, 23.516666666666666, 23.272222222222222, 23.52777777777778, 23.51111111111111, 23.288888888888888, 23.488888888888887]"
2,7,4,LOW,945,945.0,30,210.0,210.0,166.75555555555556,164.1888888888889,23.32777777777778,23.455555555555556,45.86620343031195,2748.6666666666665,2754,UNSTABLE,32.81560745380131,33.05509189178069,1968.9364472280788,,65.59026458694396,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.9877427606666864,0.20592592592592593,43.275497080879205,43.27522247361943,PASS,3,3,0,3,0,0.0,3,"[23.47222222222222, 23.394444444444446, 23.5, 23.561111111111114, 23.433333333333334, 23.43888888888889, 23.38888888888889]"
2,7,4,MID,1260,1260.0,21,210.0,147.0,147.0,146.94444444444443,20.983333333333334,20.992063492063494,0.0024206867027716803,3.3333333333333335,14,QUEUE_STABLE,35.3134921082557,35.59268050075928,2118.809526495342,0.24031873337198156,65.44802604166667,0,VALID,CLEAN,NORMAL,4,2.520178060116663,0.0,0.0005250538053692289,-5.122792835990038e-05,PASS,3,3,0,3,0,0.0,0,"[20.994444444444444, 20.994444444444444, 20.98888888888889, 20.98888888888889, 20.994444444444444, 20.98888888888889, 20.994444444444444]"
2,7,4,MID,1260,1260.0,24,210.0,168.0,168.0,167.9388888888889,23.983333333333334,23.99126984126984,0.002668157568720664,3.6666666666666665,19.666666666666668,QUEUE_STABLE,39.45145827518783,39.59836111970768,2367.08749651127,0.23491553244780644,66.41875868055556,0,VALID,CLEAN,NORMAL,4,2.9283868734555636,0.0,0.0008581354489125099,-0.0002818815771062683,PASS,3,3,0,3,0,0.0,0,"[23.994444444444444, 23.983333333333334, 24.0, 23.994444444444444, 23.98888888888889, 23.98888888888889, 23.98888888888889]"
2,7,4,MID,1260,1260.0,27,210.0,189.0,189.0,188.92222222222222,26.983333333333334,26.988888888888887,0.0014651301765408256,4.666666666666667,20.666666666666668,QUEUE_STABLE,43.280537378198844,43.38964477735967,2596.832242691931,0.22909181215198784,65.56603015801127,0,VALID,CLEAN,NORMAL,4,3.3999793145166763,0.0,0.00015903204638510502,0.00021228799873858624,PASS,3,3,0,3,0,0.0,0,"[26.983333333333334, 27.0, 26.994444444444444, 26.983333333333334, 26.983333333333334, 26.98888888888889, 26.98888888888889]"
2,7,4,MID,1260,1260.0,30,210.0,210.0,206.49444444444444,203.5388888888889,28.98888888888889,29.076984126984126,6.208734330789521,387.6666666666667,395,UNSTABLE,46.20774114415021,46.305834313564354,2772.4644686490124,,69.95751716152353,0,VALID,CLEAN,FRONTEND_LIMITED,4,3.987784942005542,0.016693121693121694,4.16349951678271,4.162600772344666,PASS,3,3,0,3,0,0.0,2,"[29.083333333333332, 29.06111111111111, 29.183333333333334, 29.094444444444445, 29.005555555555556, 29.02777777777778, 29.083333333333332]"
