sample_id,member,jpeg_sha256,preprocessed_fp32_sha256
0,n03063599/ILSVRC2012_val_00046597.JPEG,23a6c15f9189cbdb6dd731d14a2df87f3778c95c3f31148d0754ba69175bd0f1,7ab6cf3da25978cfb8b411994e4741372d4993d1f866042079887cf364ebd687
1,n13037406/ILSVRC2012_val_00023237.JPEG,da5a0c4c5983623f03444bcd11787ae5115e3ffaa88c94d0a064f33e5cff8401,1be735f00fe3a0b1e91a901b94a89819676ed997171d843702208d2b2e67da7b
2,n03314780/ILSVRC2012_val_00009520.JPEG,7df322612b8457330cbfc7f33e1a3844a3bc70c50c75e4023d5fdd75aa455103,39465547ccf752776741ea58b87f6297a2446a51dd4638dbde690c26050ea5e3
3,n01728920/ILSVRC2012_val_00004351.JPEG,a189c4cebc7a59d2feaf2b89baa74e24d3cce90660d957692520ea56eac50fee,4d38e597d187ceb2f142047521b3fb6388e4f557bcf8cd39dbd909b8d0d558df
4,n02389026/ILSVRC2012_val_00019729.JPEG,7475383f76794ea03a03f646679c727ae717e97b919a522210cb51a79b4bcc11,39e19d9fcd942f60a603eadd745ae717375846a035f3c61e3f6ab2cd0af31e9c
5,n03791053/ILSVRC2012_val_00004789.JPEG,363d244d5ccf09c75c8e1b5255bdb14153e40e14fbf3192d7536b9141003e51c,ad15fcd95f2816f0ebc8d0c6f740ebbafb4c93bda68a77aeca64f58a51270c58
6,n03709823/ILSVRC2012_val_00042613.JPEG,dd2d52872036c0862bf8a9300517c83574407a8a50e514962c054541c462ea94,c4165637debaff16c888df8a8e05819662e07045e392d51a5d2ad1e67d0600c0
7,n03196217/ILSVRC2012_val_00042585.JPEG,21cdd4fff0ca731711fedfaf8b1d7c74dd721ae39c516849eb5812d330023b0f,3796cdeb2291ca4d537bbe1777a3f2b2c2c77451caf69a1851f90d6a6ea9e508
8,n02655020/ILSVRC2012_val_00021476.JPEG,f09590a29e02ceab69621ebe16a8bcfdfbcdcdcd1a324925b07a350a176601e6,1075bca556bfa8c4137170c3bcae26e62cf8861d9e091f8df3593d07cac7cbf9
9,n03661043/ILSVRC2012_val_00036001.JPEG,2b3a918098fe740fc2cc2d97d94bc623901a6d38bab902b2aa1a515d9285bcef,67dfc261eb25727f957f26da418b9125ae8aae800ba34cea373977bd0040324b
