request_id,phase,round,iteration,sample_id,split_point,network_used,activation_shape,payload_bytes,request_payload_sha256,output_shape,response_payload_bytes,response_payload_sha256,device_inference_wall_ms,device_inference_cuda_ms,remote_roundtrip_ms,e2e_inference_ms,success,error
1,preflight,0,0,0,0,True,"[1, 3, 384, 384]",1769472,7ab6cf3da25978cfb8b411994e4741372d4993d1f866042079887cf364ebd687,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,0.0,0.0,1051.783541,1051.783541,True,
2,preflight,0,0,0,1,True,"[1, 24, 192, 192]",3538944,78efa18f2814adfce7884ad1c2dc9896ec2ce31de7ef7b55c58241c16f69fc21,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,0.442335,0.1260800063610077,148.67285,149.115185,True,
3,preflight,0,0,0,2,True,"[1, 24, 192, 192]",3538944,a80d9c872917c6ff7756b22db93e3d34ecf2940223c2fd089433443e484c00c9,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,2.310716,1.9757119417190552,118.087707,120.398423,True,
4,preflight,0,0,0,3,True,"[1, 48, 96, 96]",1769472,4f390f8e3e072df6b22d9e592c684fd44155e96fde037d647a1a40ed9fe0f62f,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,5.904169,5.739776134490967,63.890879,69.795048,True,
5,preflight,0,0,0,4,True,"[1, 64, 48, 48]",589824,1897a1cda5ca8d586fff8a7e818f074909070b49c8eef3270a835efa8e43255d,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,7.605002,7.25878381729126,37.69754,45.302542,True,
6,preflight,0,0,0,5,True,"[1, 128, 24, 24]",294912,4374ce04152dea8ef393a08e8e26550bf031e2788b3173e6d5398c19e6b39f09,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,9.792764,9.441535949707031,22.738203,32.530967,True,
7,preflight,0,0,0,6,True,"[1, 160, 24, 24]",368640,4d72df879cc42ce6b8cefc6971851320f70743146cd85141c7b0730f712cde11,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,15.222227,14.866751670837402,20.177514,35.399741,True,
8,preflight,0,0,0,7,True,"[1, 256, 12, 12]",147456,90b2283c578501bf446dc5ae83fde5e832ffe269df7c90a908e63f6c8fed3836,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,23.565827,23.2126407623291,9.930811,33.496638,True,
9,preflight,0,0,0,8,True,"[1, 1280]",5120,ed0665df177a724dee349ef4a86ec0f1551887ba068b54a38b826e59191fa1a1,"[1, 1000]",4000,cd4bb223fec7df70abd3d77c02dde7f3d4e305038d0a5d7b6cbc10d6c9de0fff,23.904145,23.853023529052734,6.486645,30.39079,True,
10,preflight,0,0,0,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,24.225692,24.17888069152832,NA,24.281878,True,
11,preflight,0,1,149,0,True,"[1, 3, 384, 384]",1769472,47a6bc967793854f8c725a134ffa98bb8518d6b4fc7bf08f4ed5c37513073571,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,0.0,0.0,67.008159,67.008159,True,
12,preflight,0,1,149,1,True,"[1, 24, 192, 192]",3538944,3d7f2fc4c950875182f6eca5fee15289187bc27045a07908310d74278f27d97d,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,0.516383,0.13763199746608734,117.387462,117.903845,True,
13,preflight,0,1,149,2,True,"[1, 24, 192, 192]",3538944,d4ae850c17fe4904cfa303fe15bd84c68fb59ca9fef222e9190c405f109feedd,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,2.920673,2.5161280632019043,116.633195,119.553868,True,
14,preflight,0,1,149,3,True,"[1, 48, 96, 96]",1769472,d517ee466078c00f4053d8413e5b10789889d668588574d7ed1461fe4d32201f,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,8.044774,7.6096320152282715,64.681931,72.726705,True,
15,preflight,0,1,149,4,True,"[1, 64, 48, 48]",589824,c2daf35102573c9a49f537698efe6dcce61f0b8d84712071dad8d61405b2898a,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,10.845381,10.346783638000488,31.995112,42.840493,True,
16,preflight,0,1,149,5,True,"[1, 128, 24, 24]",294912,02d307fb9b44f7c70147e811846cdb6f30caedd9111fefb28d8117f6567f11cb,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,13.866703,13.40550422668457,19.994614,33.861317,True,
17,preflight,0,1,149,6,True,"[1, 160, 24, 24]",368640,218d67e35cc224b9a1092f76cb5190d92b96f7f254a9b3ac75643c73bdaf2082,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,21.239408,21.052032470703125,26.151682,47.39109,True,
18,preflight,0,1,149,7,True,"[1, 256, 12, 12]",147456,8b21c9cbbac63ecdc45a93b0bd9713dbc5ecd65391a784831031b79fbe447dca,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,33.3521,32.87446212768555,11.905776,45.257876,True,
19,preflight,0,1,149,8,True,"[1, 1280]",5120,f536598bbde266fb3492cfbd37526ed1b95a0450d52f86d96709e52d099cd6b6,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,15.34009,15.285440444946289,6.967149,22.307239,True,
20,preflight,0,1,149,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,15.295349,15.245439529418945,NA,15.361229,True,
21,preflight,0,2,299,0,True,"[1, 3, 384, 384]",1769472,9618940284a7da9a7ec5bbd0b175a97efcb58e117ff029f53788e8d1d4e0b11b,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,0.0,0.0,69.463243,69.463243,True,
22,preflight,0,2,299,1,True,"[1, 24, 192, 192]",3538944,67e01a742d07c2ca535a73c4c8de89e995a61b9dbd0703ceb4d7c6da57e3172a,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,0.293048,0.1685120016336441,128.202507,128.495555,True,
23,preflight,0,2,299,2,True,"[1, 24, 192, 192]",3538944,1d01cc285401cc9ecbef6af2d9ade12e821830439b456379e4367e78e41941cf,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,1.664388,1.3995519876480103,120.198394,121.862782,True,
24,preflight,0,2,299,3,True,"[1, 48, 96, 96]",1769472,794fb10063d9065ad49143f0072e9463705e2dfc8cab44d53319c987a4727c64,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,4.399273,4.124608039855957,66.329971,70.729244,True,
25,preflight,0,2,299,4,True,"[1, 64, 48, 48]",589824,cf90276a5b62ce83322d240681e2e3daad2573426900cae90894787a703ba180,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,5.625548,5.493728160858154,32.660505,38.286053,True,
26,preflight,0,2,299,5,True,"[1, 128, 24, 24]",294912,16dccb383c7e1d5c1d741faa2bae01e58365bfb67ac1a83ec93e9a1bd33fb5a4,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,7.12399,6.851200103759766,19.336667,26.460657,True,
27,preflight,0,2,299,6,True,"[1, 160, 24, 24]",368640,7b78e48598cd0151590557db307961300c31d5ea3967a8a5fb9c5108b17ce82c,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,10.821853,10.551199913024902,21.821411,32.643264,True,
