request_id,phase,round,iteration,sample_id,split_point,output_shape,finite,top1,reference_top1,top1_matches,max_abs_error,mean_abs_error,max_rel_error,assert_close_passed,error
1,preflight,0,0,0,0,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
2,preflight,0,0,0,1,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
3,preflight,0,0,0,2,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
4,preflight,0,0,0,3,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
5,preflight,0,0,0,4,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
6,preflight,0,0,0,5,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
7,preflight,0,0,0,6,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
8,preflight,0,0,0,7,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
9,preflight,0,0,0,8,"[1, 1000]",True,968,968,True,1.430511474609375e-06,7.817708080892771e-08,0.00010217733506578952,True,
10,preflight,0,0,0,9,"[1, 1000]",True,968,968,True,0.0,0.0,0.0,True,
11,preflight,0,1,149,0,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
12,preflight,0,1,149,1,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
13,preflight,0,1,149,2,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
14,preflight,0,1,149,3,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
15,preflight,0,1,149,4,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
16,preflight,0,1,149,5,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
17,preflight,0,1,149,6,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
18,preflight,0,1,149,7,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
19,preflight,0,1,149,8,"[1, 1000]",True,288,288,True,3.725290298461914e-07,6.749853298515518e-08,0.0006716083735227585,True,
20,preflight,0,1,149,9,"[1, 1000]",True,288,288,True,0.0,0.0,0.0,True,
21,preflight,0,2,299,0,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
22,preflight,0,2,299,1,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
23,preflight,0,2,299,2,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
24,preflight,0,2,299,3,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
25,preflight,0,2,299,4,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
26,preflight,0,2,299,5,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
27,preflight,0,2,299,6,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
28,preflight,0,2,299,7,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
29,preflight,0,2,299,8,"[1, 1000]",True,217,217,True,9.5367431640625e-07,7.292814530046599e-08,0.00023787196550983936,True,
30,preflight,0,2,299,9,"[1, 1000]",True,217,217,True,0.0,0.0,0.0,True,
